Steamboat Springs,,,,,,,,,Akron,,,,,,,,,coordinates,,,,
,,,,,,,,,,,,,,,,,,,,,,
Month,Total Precipitation Normal (inches),Mean Max Temperature Normal (°F),Mean Min Temperature Normal (°F),Mean Avg Temperature Normal (°F),,,,,Month,Total Precipitation Normal (inches),Mean Max Temperature Normal (°F),Mean Min Temperature Normal (°F),Mean Avg Temperature Normal (°F),,,,,name,lat,lon,elevation,
January,2.46,29.2,4.6,16.9,,,,,January,0.34,41.3,16,28.7,,,,,Steamboat Springs,40.4883 degrees,-106.8233 degrees,6866 feet,
February,1.92,34.3,7.9,21.1,,,,,February,0.44,43.9,18.1,31,,,,,Akron,40.1743 degrees,-103.2146 degrees,4685 feet,
March,1.58,44.8,17.6,31.2,,,,,March,0.86,54.1,26.3,40.2,,,,,Grand Junction,39.1344 degrees,-108.5408 degrees,4824 feet,
April,2.54,54.4,26.7,40.5,,,,,April,1.49,61.2,33.3,47.2,,,,,Climax,39.3671 degrees,-106.1898 degrees,11344 feet,
May,2.65,65.2,34,49.6,,,,,May,2.75,70.5,43.4,57,,,,,Denver,39.7675 degrees,-104.8695 degrees,5284 feet,
June,1.58,75.9,39.2,57.6,,,,,June,2.35,82.9,53.6,68.2,,,,,Vallecito Dam,37.5811 degrees,-106.1866 degrees,7695 feet,
July,1.72,83.1,45.8,64.5,,,,,July,2.37,89.4,59.6,74.5,,,,,Monte Vista,37.3805 degrees,-107.5812 degrees,7644 feet,
August,1.8,81.5,44.2,62.8,,,,,August,2.34,87.3,57.6,72.5,,,,,Rocky Ford,38.0385 degrees,-103.6948 degrees,4170 feet,
September,2.32,73.5,35.7,54.6,,,,,September,1.27,79.2,48.9,64.1,,,,,,,,,
October,2.22,59.3,26.1,42.7,,,,,October,1.07,65.1,35.7,50.4,,,,,,,,,
November,1.93,42.9,16.4,29.7,,,,,November,0.54,51.7,25,38.4,,,,,,,,,
December,1.96,30.4,6.3,18.3,,,,,December,0.41,41.8,16.4,29.1,,,,,,,,,
Annual,24.68,56.2,25.4,40.8,,,,,Annual,16.23,64,36.2,50.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,Denver,,,,
Grand Junction,,,,,,,,,Climax ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
