division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,-2.47,34.55,5.32,1.62,0.18,-15.56,-3.29,-4.14,-2.58,8.15,-18.66,15.18,-1.53
Northeast,-21.06,13.15,-3.12,20.51,-6.55,-11.92,-6.97,6.31,4.62,8.22,-32.99,16.45,-2.07
Pikes Peak,13.92,29.55,-7.03,-8.08,-4.91,-8.32,2.66,-7.5,-0.54,-0.76,-41.57,1.34,-4.27
Southeast,16.84,-0.6,-13.68,-0.79,-16.04,-5.17,7.96,1.04,-2.43,13.98,-40.06,23.89,-2.6
South Park,17.18,27.42,-4.26,-7.13,-3.45,-16.79,7.16,-13.27,2.23,-6.24,-26.4,9.14,-3.22
San Luis Valley & SdC,20.69,14.4,-6.3,-2.61,-10.43,-20.49,9.61,-18.36,2.72,-8.93,-34.24,12.4,-5.15
Southwest,-5.77,8.58,-28.7,-22.13,-10.51,-22.18,3.47,-19.04,13.99,-21.39,-23.68,15.8,-9.51
Mesas & Valleys,-12.55,-2.82,-17.32,-9.95,-7.62,-29.14,5.92,-7.5,16.29,0.45,-18.71,18.0,-4.91
Central Mountains,-13.97,-2.05,-16.9,-3.44,-3.07,-26.06,-1.14,-6.77,6.23,0.31,-13.55,8.33,-5.79
Northwest,-8.14,-2.33,-4.95,-5.48,-0.61,-26.06,-22.36,-13.55,10.47,3.11,-9.87,21.54,-4.12
Northern Mountains,-14.36,10.31,-6.9,6.88,-1.44,-23.08,-2.37,-9.38,4.95,16.02,-7.09,6.34,-1.49
statewide,-6.51,6.85,-12.17,-2.5,-6.58,-15.59,1.25,-7.59,5.97,-0.01,-21.4,13.72,-4.17
