YEAR,MONTH,bccr_bcm2_0.1.sresb1,cccma_cgcm3_1.1.sresb1,cnrm_cm3.1.sresb1,csiro_mk3_0.1.sresb1,gfdl_cm2_0.1.sresb1,gfdl_cm2_1.1.sresb1,giss_model_e_r.1.sresb1,inmcm3_0.1.sresb1,ipsl_cm4.1.sresb1,miroc3_2_medres.1.sresb1,miub_echo_g.1.sresb1,mpi_echam5.1.sresb1,mri_cgcm2_3_2a.1.sresb1,ncar_ccsm3_0.1.sresb1,ncar_pcm1.2.sresb1,ukmo_hadcm3.1.sresb1
1950,1,0.528,0.883,1.271,0.778,1.069,1.082,1.287,3.069,1.565,0.622,0.543,1.432,0.47,1.037,0.552,1.797
1950,2,0.792,0.466,1.858,1.103,1.291,0.611,1.326,3.408,1.658,1.19,1.194,0.664,0.935,1.372,0.7,0.807
1950,3,1.206,1.516,1.21,1.365,1.434,1.559,0.873,2.758,2.354,1.96,1.113,2.297,2.479,1.531,1.395,1.936
1950,4,3.595,1.446,2.91,2.987,2.864,2.504,1.706,4.514,2.15,2.179,1.495,1.96,2.885,1.169,2.691,3.218
1950,5,4.052,1.767,5.278,2.94,2.786,3.758,2.981,3.013,1.659,8.217,3.126,1.603,2.696,1.656,4.886,2.621
1950,6,3.259,3.136,3.526,3.167,4.167,5.154,1.27,2.016,1.513,3.041,2.317,1.572,3.777,3.213,6.16,3.228
1950,7,2.235,1.238,5.31,2.809,2.396,4.622,1.116,1.006,0.543,3.361,2.863,2.92,1.709,2.271,6.599,3.178
1950,8,0.936,1.236,3.835,1.764,1.748,2.349,1.51,0.741,1.209,3.366,2.433,1.971,1.303,1.3,4.636,1.529
1950,9,2.772,2.175,2.213,2.89,2.418,2.266,2,2.118,2.632,2.983,1.831,1.821,0.927,0.779,2.371,2.086
1950,10,2.097,0.987,2.202,3.508,1.938,0.836,0.861,3.458,1.47,2.635,1.582,2.493,1.537,1.686,3.823,0.85
1950,11,0.822,1.602,1.515,1.622,1.179,1.381,0.896,3.56,1.932,1.034,0.989,0.773,0.805,1.534,1.269,1.749
1950,12,0.648,0.724,0.352,0.87,1.197,1.413,1.675,2.64,0.908,0.85,1.459,1.371,0.833,1.254,0.945,0.898
1951,1,0.716,0.532,0.558,0.948,0.782,1.082,1.579,2.564,1.622,1.394,1.047,0.66,1.193,1.174,0.881,1.185
1951,2,1.135,1.063,1.475,1.59,1.513,1.372,0.937,3.427,1.263,0.892,1.055,0.978,0.706,0.916,1.557,1.304
1951,3,2.489,0.909,2.322,2.212,1.872,2.09,1.7,2.122,1.905,2.216,1.348,2.117,0.701,1.149,2.637,1.533
1951,4,3.323,1.437,3.275,3.038,3.297,2.404,2.374,6.278,2.2,2.329,2.237,1.526,3.206,2.978,2.54,4.557
1951,5,5.117,1.604,4.594,4.496,2.681,3.682,2.724,3.06,1.597,2.897,3.247,1.63,1.646,2.662,4.094,2.725
1951,6,2.96,2.017,4.34,3.3,2.709,5.535,1.814,1.673,0.404,2.416,2.922,1.132,2.982,3.379,5.128,2.69
1951,7,2.076,1.154,4.532,3.126,2.874,3.591,0.775,1.861,0.303,1.591,3.275,1.316,2.987,0.871,6.746,4.343
1951,8,4.63,1.916,2.99,1.898,2.116,2.727,1.371,1.979,0.964,3.078,2.1,2.764,1.499,1.458,3.988,2.631
1951,9,3.425,1.719,2.92,1.73,1.437,2.597,1.336,2.661,1.556,2.638,2.378,3.912,0.852,0.841,2.871,0.985
1951,10,1.271,0.825,1.772,1.058,2.333,0.524,1.961,3.948,1.96,2.094,0.829,0.568,1.169,0.698,0.787,2.66
1951,11,1.3,0.703,0.62,1.494,1.089,1.03,0.977,4.462,1.013,1.67,0.928,1.709,0.593,1.608,0.907,1.987
1951,12,0.47,0.965,0.287,1.566,1.558,1.023,1.245,2.311,1.048,0.982,0.466,0.755,1.149,0.912,0.667,0.855
1952,1,1.148,0.976,0.635,0.586,0.888,2.199,1.637,2.942,1.621,0.837,1.521,0.687,0.57,0.708,1.174,0.942
1952,2,1.041,0.56,1.533,1.099,1.865,1.489,0.735,1.792,1.855,1.201,0.388,0.165,0.811,1.813,1.236,1.374
1952,3,0.998,1.102,1.878,1.53,1.978,1.07,0.97,2.282,2.681,1.126,1.916,1.202,1.143,2.344,1.981,2.52
1952,4,4.137,1.456,2.791,1.834,3.509,1.435,2.47,4.859,1.658,3.481,1.925,1.535,2.542,2.485,1.262,2.845
1952,5,4.556,2.127,3.24,2.656,4.469,1.421,2.509,5.665,1.659,3.252,2.07,1.428,1.372,1.674,4.013,4.009
1952,6,3.669,1.438,2.101,2.167,5.087,3.101,2.755,1.75,1.997,1.588,2.375,2.163,2.21,3.966,7.012,2.671
1952,7,3.034,0.434,4.429,3.587,3.505,2.784,2.303,1.837,0.771,2.282,2.132,1.556,1.987,2.096,6.667,1.716
1952,8,1.252,0.811,3.706,2.516,1.902,0.838,1.634,0.954,1.363,3.273,2.289,1.671,2.589,0.025,5.073,1.37
1952,9,4.555,1.222,2.686,2.841,2.112,0.642,2.423,1.234,1.383,2.601,2.327,1.659,2.262,1.607,2.354,0.492
1952,10,1.994,2.182,2.182,1.232,2.249,0.427,1.411,2.341,1.626,2.363,1.741,0.396,0.39,1.366,2.021,1.205
1952,11,1.703,0.678,1.2,1.444,1.907,1.257,1.594,3.236,1.717,1.041,2.032,1.541,1.303,0.822,1.131,1.052
1952,12,0.654,0.91,0.807,1.139,0.813,1.974,0.779,2.28,0.737,1.85,1.565,1.167,1.465,1.425,1.407,1.277
1953,1,1.011,1.725,0.574,1.029,0.664,1.931,0.32,4.041,0.999,0.424,0.964,0.901,0.415,3.008,0.417,1.015
1953,2,1.244,0.656,0.883,1.979,1.446,1.629,1.047,0.975,1.595,1.022,1.936,1.463,0.625,0.753,0.764,0.836
1953,3,1.301,1.163,2.247,1.913,1.825,1.737,1.513,2.786,2.564,0.784,2.119,1.389,1.659,1.766,1.482,1.976
1953,4,3.42,2.603,3.374,3.393,3.329,2.863,3.061,4.911,1.479,0.995,2.85,2.389,2.733,2.562,2.778,2.865
1953,5,3.908,3.465,4.576,4.43,5.009,1.424,2.215,4.61,1.472,3.021,2.532,3.322,1.857,0.997,3.788,3.215
1953,6,5.605,1.35,2.989,4.482,3.874,5.739,2.208,3.101,2.521,2.768,2.593,1.045,3.673,2.43,5.611,2.681
1953,7,2.966,2.816,4.531,4.005,4.176,5.942,0.581,2.385,0.551,2.599,2.503,1.615,2.958,1.809,5.464,1.95
1953,8,3.661,2.505,3.952,2.225,1.503,2.797,2.313,1.192,0.428,3.07,2.484,2.116,1.75,0.071,4.534,2.084
1953,9,1.927,1.409,3.937,2.441,1.919,4.041,2.982,1.581,0.533,3.014,1.27,0.441,2.083,0.369,2.452,0.792
1953,10,1.121,2.093,1.487,1.195,2.387,1.36,1.169,8.654,2.674,1.61,2.166,1.427,0.508,1.149,2.785,0.244
1953,11,1.025,1.87,0.431,2.437,1.879,1.515,1.224,3.028,1.179,0.966,0.267,0.82,0.793,0.873,1.718,0.692
1953,12,0.701,0.675,0.898,0.863,0.955,0.822,1.79,3.39,1.642,0.486,0.558,1.125,1.804,1.725,0.571,1.051
1954,1,1.103,0.628,0.562,0.975,0.565,1.734,0.579,1.735,1.277,1.043,0.992,0.318,0.623,1.105,0.771,1.557
1954,2,0.795,1.29,2.173,1.238,0.609,2.04,1.259,2.764,2.122,0.781,0.624,0.893,1.065,1.578,2.332,1.188
1954,3,1.113,1.117,1.833,1.373,2.504,1.723,2.013,1.972,1.586,1.481,1.017,1.554,1.528,0.915,1.625,1.038
1954,4,4.143,1.399,3.266,1.416,3.528,4.178,2.435,4.495,2.069,2.45,2.656,1.446,3.484,1.855,2.189,2.397
1954,5,3.689,2.714,4.383,2.637,4.41,4.818,3.039,4.765,0.825,4.428,2.939,1.588,4.547,1.535,2.507,1.667
1954,6,0.972,1.064,4.129,1.794,4.212,4.438,2.345,2.365,1.511,2.143,3.072,1.805,3.718,3.147,5.901,3.223
1954,7,3.344,1.935,3.665,3.253,2.667,4.105,1.139,2.2,0.8,3.728,4.067,1.761,3.131,2.009,6.188,2.967
1954,8,3.241,0.967,2.571,1.634,2.135,3.007,0.795,1.684,1.187,1.842,1.93,3.232,1.482,0.272,4.451,3.228
1954,9,2.474,1.787,5.052,2.503,4.89,3.114,1.569,1.802,0.999,1.25,3.141,2.521,2.398,2.32,2.049,1.677
1954,10,0.98,0.208,1.938,0.833,2.453,2.289,2.399,3.031,1.343,1.154,0.66,1.53,0.476,1.119,2.733,1.281
1954,11,1.991,0.816,0.954,1.367,1.685,1.766,0.872,2.528,2.722,0.388,0.646,1.543,1.178,1.079,0.921,1.217
1954,12,0.508,0.924,0.88,1.698,1.1,1.074,0.875,3.152,0.841,0.749,1.629,1.482,0.965,2.434,0.379,1.454
1955,1,0.518,0.784,1.332,0.873,0.922,1.867,1.105,2.994,1.059,0.853,0.944,1.047,1.255,1.182,0.593,1.378
1955,2,1.391,0.646,1.73,1.323,1.455,1.253,1.061,1.594,0.752,1.788,1.247,2.044,1.17,1.732,1.451,1.339
