YEAR,MONTH,bccr_bcm2_0.1.sresb1,cccma_cgcm3_1.1.sresb1,cnrm_cm3.1.sresb1,csiro_mk3_0.1.sresb1,gfdl_cm2_0.1.sresb1,gfdl_cm2_1.1.sresb1,giss_model_e_r.1.sresb1,inmcm3_0.1.sresb1,ipsl_cm4.1.sresb1,miroc3_2_medres.1.sresb1,miub_echo_g.1.sresb1,mpi_echam5.1.sresb1,mri_cgcm2_3_2a.1.sresb1,ncar_ccsm3_0.1.sresb1,ncar_pcm1.2.sresb1,ukmo_hadcm3.1.sresb1
1950,1,-8.795,-9.71,-6.347,-4.466,-10.816,-13.552,-2.979,-2.817,-4.326,-3.03,-0.688,-1.727,-3.513,-9.012,-4.067,-4.032
1950,2,-4.814,-4.067,-3.069,-4.264,-5.309,-3.713,-4.751,-1.528,-3.59,0.58,0.781,-1.173,0.026,-3.59,-0.877,-5.098
1950,3,0.347,0.076,-0.695,2.425,-1.734,0.07,-0.695,2.809,-1.083,1.344,3.058,3.413,2.8,0.108,-0.103,-0.741
1950,4,3.261,3.231,3.347,3.876,2.714,5.129,6.906,8.53,5.905,10.048,8.137,9.211,5.941,8.703,5.744,4.218
1950,5,9.158,12.354,9.334,10.478,6.945,9.17,13.256,10.489,11.2,14.233,12.203,11.917,14.061,11.087,10.898,11.235
1950,6,15.301,17.83,16.533,16.856,13.307,15.666,18.313,14.202,15.861,18.859,17.392,16.983,17.877,16.06,15.884,15.662
1950,7,21.957,24.09,21.52,21.103,17.466,17.631,22.288,21.259,20.27,23.308,20.726,21.31,21.396,20.593,18.632,21.092
1950,8,20.754,22.465,19.864,20.568,19.186,17.967,21.829,21.589,19.358,22.303,20.093,19.046,21.152,23.025,16.29,20.877
1950,9,16.079,13.896,15.279,13.486,11.677,13.1,16.361,16.399,13.822,17.318,15.86,18.225,17.841,13.568,16.535,15.641
1950,10,4.766,9.788,4.07,4.679,1.77,6.331,8.654,9.005,7.811,8.961,6.777,7.443,9.26,8.241,5.756,8.255
1950,11,-1.766,-0.691,-1.176,-5.095,-4.323,-1.624,0.792,0.687,-1.419,2.4,1.229,3.272,1.714,1.042,-0.865,-0.094
1950,12,-9.105,-4.598,-6.911,-3.968,-13.267,-7.302,-2.653,-3.899,-2.77,-0.694,-2.368,-1.089,-2.566,-2.726,-5.715,-5.418
1951,1,-7.002,-6.058,-5.717,-3.621,-11.913,-10.713,-2.916,-5.545,-3.729,-5.083,-5.66,-1.717,-5.63,-8.44,-6.551,-7.851
1951,2,-3.957,-8.341,-3.705,-3.904,-6.636,-5.771,-1.262,0.166,-5.812,0.248,-0.364,0.324,-3.477,0.89,-2.083,-2.441
1951,3,-2.569,-0.36,-1.788,-0.665,-5.244,-3.376,2.228,4.081,-0.191,0.02,3.072,3.878,3.379,2.026,-2.661,-0.733
1951,4,1.668,5.153,2.487,5.326,1.137,1.787,7.382,8.455,4.94,6.572,5.669,8.291,6.756,3.8,1.056,4.519
1951,5,9.423,10.225,9.962,8.548,7.113,11.257,14.213,11.514,13.582,15.46,11.757,12.515,14.838,12.905,9.48,11.297
1951,6,16.425,19.806,17.362,16.229,13.2,14.496,19.018,18.396,18.349,21.589,16.211,16.552,18.388,18.62,15.515,16.961
1951,7,20.778,25.298,21.182,19.904,17.943,19.641,22.635,21.149,22.449,24.02,19.633,21.519,21.828,22.294,17.868,19.071
1951,8,18.544,20.659,19.714,19.577,18.468,17.908,20.55,20.078,19,22.076,20.321,19.704,21.797,23.108,17.661,20.274
1951,9,14.806,12.859,13.892,10.932,11.543,11.825,17.329,14.581,12.765,15.963,15.742,15.319,17.431,16.595,11.406,13.585
1951,10,8.846,6.977,4.042,4.679,2.864,6.15,7.202,9.273,5.719,7.322,7.739,11.013,9.057,9.263,5.673,5.023
1951,11,-1.927,-0.898,0.273,-0.872,-2.545,-0.908,1.356,-1.266,0.699,-0.491,3.416,1.895,0.575,-0.061,-0.873,-2.699
1951,12,-8.794,-5.851,-3.389,-5.009,-10.981,-2.574,-3.748,-0.787,-3.532,-2.963,-0.494,-2.733,-5.797,-2.815,-2.372,-9.93
1952,1,-7.856,-9.867,-4.07,-4.494,-10.183,-5.86,-2.836,-0.671,-3.197,-2.787,-0.949,-2.67,-2.508,-2.312,-7.461,-8.561
1952,2,-7.394,-4.569,-2.652,-1.751,-4.116,-5.338,-2.457,1.019,-5.68,-5.19,-0.556,1.33,-0.914,-0.46,-1.61,-6.338
1952,3,-2.496,-0.348,0.352,1.214,0.24,0.453,1.298,4.182,-3.242,1.171,2.357,5.783,3.676,-1.712,0.033,-1.791
1952,4,3.141,6.189,4.833,5.297,1.138,3.748,6.97,8.623,4.77,7.604,5.11,9.239,5.491,5.925,4.137,2.841
1952,5,11.157,12.645,10.547,9.79,7.12,10.987,14.377,11.766,11.293,14.576,12.745,13.913,16.07,12.295,10.529,9.384
1952,6,17.067,20.862,18.078,17.056,13.084,17.819,16.476,18.207,16.237,19.759,18.027,17.98,19.676,18.119,15.938,16.172
1952,7,20.87,27.101,19.464,19.568,18.109,19.592,20.589,21.386,20.274,24.018,21.767,22.112,22.677,21.24,16.724,21.787
1952,8,21.024,25.25,19.541,18.713,15.974,20.004,18.548,21.138,19.076,21.504,21.691,19.6,21.108,24.326,17.507,21.172
1952,9,13.342,15.536,16.073,13.182,9.465,17.413,13.414,17.079,14.444,16.776,17.461,14.459,15.15,12.274,14.368,20.445
1952,10,5.286,7.594,7.729,4.919,2.191,8.188,7.905,6.199,5.762,10.001,9.088,10.23,10.479,9.762,7.45,7.208
1952,11,-2.445,0.47,-1.272,-1.259,-6.78,-0.061,-0.85,1.55,-1.334,1.827,2.348,3.191,-1.372,-0.661,-1.832,-1.102
1952,12,-8.069,-5.777,-5.319,-6.26,-11.426,-3.423,-3.402,-2.884,-5.994,-4.797,-3.621,-2.725,-4.009,-6.994,-3.986,-7.772
1953,1,-8.703,-4.816,-6.409,-7.426,-12.909,-8.348,-3.081,-6.259,-2.561,-4.728,-6.148,-1.281,-7.018,-6.404,-10.09,-10.034
1953,2,-5.263,-6.322,-4.116,-8.784,-5.706,-6.077,0.021,-3.095,-7.407,-3.18,-5.518,0.795,0.066,-6.327,-2.255,-6.231
1953,3,-3.134,-0.612,-1.345,-1.705,0.299,-1.404,2.232,3.171,-0.182,-1.522,-0.67,4.791,2.652,-0.236,0.932,-1.306
1953,4,-0.962,4.916,2.181,3.394,2.883,2.376,6.375,7.479,7.049,9.268,2.445,9.782,6.819,5.678,4.148,3.484
1953,5,6.037,11.597,10.117,10.058,6.516,11.062,12.628,10.944,11.137,15.53,11.865,12.123,14.063,12.114,10.59,10.174
1953,6,14.914,20.021,16.385,13.655,11.953,14.596,17.389,15.043,16.21,19.987,15.866,19.339,17.023,16.115,16.782,16.291
1953,7,19.673,22.48,20.6,18.053,17.979,17.023,23.982,19.623,22.151,24.637,21.224,20.963,20.004,22.713,19.368,20.411
1953,8,19.573,20.8,18.834,17.811,19.045,17.085,20.134,20.106,18.881,21.489,21.019,20.053,19.143,24.872,18.394,20.859
1953,9,15.037,16.586,13.746,12.628,13.057,13.361,15.086,15.034,13.063,17.134,16.803,17.031,13.738,17.575,12.508,16.343
1953,10,7.022,6.155,5.525,4.903,1.501,4.768,7.346,9.795,4.79,10.987,8.704,7.913,8.275,8.142,5.769,7.358
1953,11,-2.275,-0.674,-0.003,-3.072,-6.81,-0.34,-0.185,0.514,-0.201,1.15,2.677,4.737,-1.017,1.164,0.549,0.396
