month,projection,Tair
1,0,3.6062312
1,1,4.053373
1,2,3.2982552
1,3,2.4464612
1,4,5.043142
1,5,1.8231313
1,6,3.9037907
1,7,2.9394522
1,8,2.9075592
1,9,4.3551364
1,10,3.6117878
1,11,2.8187914
1,12,4.7435856
1,13,6.563177
1,14,1.5966276
1,15,2.0929024
1,16,0.49248275
1,17,6.6684246
1,18,4.9372954
1,19,4.6175537
1,20,2.4966962
1,21,2.5996346
1,22,3.4747145
1,23,5.0371284
1,24,7.3353653
1,25,5.753253
1,26,4.514069
1,27,3.7241917
1,28,1.1525224
1,29,3.9345095
1,30,2.2553437
1,31,3.659841
2,0,3.6040752
2,1,2.9562027
2,2,3.228365
2,3,3.2766328
2,4,5.0390577
2,5,3.6174853
2,6,3.3398952
2,7,4.518366
2,8,4.6048164
2,9,3.602415
2,10,3.6638408
2,11,4.6951632
2,12,3.6204996
2,13,5.367319
2,14,2.5364134
2,15,3.8872752
2,16,1.1929522
2,17,5.9562497
2,18,4.430326
2,19,5.7288723
2,20,2.425613
2,21,2.8731565
2,22,4.3647103
2,23,6.5908327
2,24,8.249734
2,25,4.8599668
2,26,1.8660536
2,27,4.4114227
2,28,1.5676975
2,29,3.4699836
2,30,2.5025446
2,31,5.48335
3,0,2.896752
3,1,3.2587318
3,2,3.4638965
3,3,2.5464308
3,4,7.5945754
3,5,1.3921986
3,6,3.4751987
3,7,6.1028047
3,8,4.7828507
3,9,1.5437559
3,10,3.238238
3,11,3.2794325
3,12,5.3696647
3,13,5.576229
3,14,2.7659917
3,15,3.7431817
3,16,3.502323
3,17,4.322036
3,18,2.7168107
3,19,1.9159349
3,20,1.3194562
3,21,5.044442
3,22,4.953402
3,23,7.283192
3,24,7.6393905
3,25,7.5801697
3,26,2.122145
3,27,3.3435292
3,28,1.9978724
3,29,2.5696197
3,30,2.2286565
3,31,6.9092507
4,0,3.59188
4,1,4.1568456
4,2,3.3187597
4,3,3.6447744
4,4,6.865156
4,5,3.5511982
4,6,3.9574788
4,7,5.352125
4,8,3.0438285
4,9,3.0721076
4,10,4.926533
4,11,2.688274
4,12,7.501993
4,13,7.0080285
4,14,4.77417
4,15,3.754105
4,16,4.3917284
4,17,5.1811066
4,18,3.112603
4,19,4.0138917
4,20,0.062401056
4,21,2.4518113
4,22,4.3440266
4,23,6.460818
4,24,6.8042345
4,25,10.743826
4,26,1.6889346
4,27,3.9527292
4,28,2.7478607
4,29,5.2725215
4,30,3.6536436
4,31,6.6320186
5,0,5.052954
5,1,5.4544907
5,2,2.0341384
5,3,4.2419925
5,4,6.0555763
5,5,4.528694
5,6,3.4538698
5,7,5.588626
5,8,3.1763816
5,9,2.6416397
5,10,4.17231
5,11,3.5289648
5,12,6.283136
5,13,9.191922
5,14,3.8210242
5,15,4.7322526
5,16,2.7012742
5,17,6.9826503
5,18,4.4833927
5,19,4.924794
5,20,2.0248451
5,21,4.202133
5,22,5.0317025
5,23,6.0694637
5,24,6.461706
5,25,7.9078946
5,26,3.5085757
5,27,2.8996997
5,28,2.934583
5,29,5.1809216
5,30,4.480741
5,31,5.710387
6,0,5.8523345
6,1,4.7720094
6,2,4.1228237
6,3,3.4257722
6,4,6.216957
6,5,3.516557
6,6,3.9174619
6,7,4.938375
6,8,4.600537
6,9,4.35755
6,10,7.2047496
6,11,3.8457708
6,12,5.4773006
6,13,6.7840247
6,14,4.56004
6,15,1.9609548
6,16,3.7221508
6,17,6.2425704
6,18,4.8554573
6,19,6.293868
6,20,2.8798788
6,21,5.9226623
6,22,5.588534
6,23,3.7298257
6,24,4.3593097
6,25,3.2588625
6,26,3.858249
6,27,4.4919987
6,28,2.290318
6,29,4.0354586
6,30,5.2923923
6,31,6.5205674
7,0,6.446566
7,1,4.81218
7,2,4.3392887
7,3,4.7748914
7,4,4.3484573
7,5,4.036554
7,6,3.5629365
7,7,4.5214214
7,8,5.4949837
7,9,3.272942
7,10,5.0277143
7,11,3.302904
7,12,5.6170435
7,13,6.915435
7,14,3.1487124
7,15,1.6378572
7,16,2.9004438
7,17,6.382327
7,18,4.347144
7,19,5.6083746
7,20,1.9924667
7,21,4.5734863
7,22,5.0206437
7,23,3.5743418
7,24,3.3850508
7,25,3.270496
7,26,3.6614444
7,27,3.5949755
7,28,2.1754973
7,29,3.968816
7,30,5.441018
