month,projection,precip
1,0,7.044509
1,1,10.169537
1,2,-3.033331
1,3,-23.647156
1,4,47.288177
1,5,14.772304
1,6,16.756824
1,7,13.171365
1,8,17.167158
1,9,32.76887
1,10,-5.401469
1,11,5.7293825
1,12,13.378908
1,13,43.20468
1,14,8.092773
1,15,-12.567348
1,16,-0.5461482
1,17,8.163433
1,18,32.223766
1,19,-4.532355
1,20,37.89613
1,21,13.292721
1,22,0.9825769
1,23,-8.393435
1,24,12.568943
1,25,1.7399755
1,26,37.95983
1,27,16.610823
1,28,18.28059
1,29,10.064948
1,30,13.583559
1,31,-3.0784304
2,0,-5.9201612
2,1,5.1470428
2,2,-8.639003
2,3,-13.822511
2,4,27.004427
2,5,18.113117
2,6,9.185629
2,7,-15.761296
2,8,4.731661
2,9,7.8132586
2,10,-2.999838
2,11,24.029564
2,12,-4.385166
2,13,6.4407573
2,14,8.074911
2,15,8.248098
2,16,16.94773
2,17,8.163354
2,18,12.691374
2,19,15.038626
2,20,21.38305
2,21,-15.175974
2,22,-3.8579404
2,23,9.35753
2,24,48.21624
2,25,-9.4782295
2,26,29.290508
2,27,4.909797
2,28,20.144806
2,29,5.874664
2,30,-11.54794
2,31,-2.9578333
3,0,3.960781
3,1,16.186192
3,2,-11.370548
3,3,-2.7101965
3,4,1.8777032
3,5,-12.922623
3,6,18.219475
3,7,7.9526424
3,8,-9.615705
3,9,26.288246
3,10,0.46813962
3,11,14.284762
3,12,16.880999
3,13,15.775746
3,14,9.997069
3,15,5.539111
3,16,-18.422457
3,17,-8.96867
3,18,-2.711517
3,19,-2.260377
3,20,13.065335
3,21,-4.2503047
3,22,10.106508
3,23,58.47274
3,24,53.732502
3,25,12.324997
3,26,6.0687957
3,27,10.000327
3,28,1.6394205
3,29,-0.9260398
3,30,-16.162361
3,31,7.4055037
4,0,-15.599205
4,1,-35.85054
4,2,9.51325
4,3,8.646545
4,4,27.137125
4,5,17.310677
4,6,-0.36298883
4,7,-3.07407
4,8,-15.268072
4,9,11.944288
4,10,2.4622366
4,11,29.023058
4,12,5.7185454
4,13,-5.42773
4,14,11.280261
4,15,22.770136
4,16,12.688281
4,17,-11.421441
4,18,-8.413866
4,19,-18.20097
4,20,11.882232
4,21,-9.620668
4,22,-11.12476
4,23,33.740875
4,24,36.42796
4,25,32.0042
4,26,2.405045
4,27,14.904976
4,28,0.20898159
4,29,-1.3948963
4,30,-6.779738
4,31,38.663223
5,0,-23.266815
5,1,-5.5730567
5,2,4.273165
5,3,-17.756004
5,4,-29.369133
5,5,18.886518
5,6,-14.482841
5,7,-6.6987596
5,8,-28.692812
5,9,-0.3979712
5,10,-12.43536
5,11,12.768883
5,12,-14.06236
5,13,11.327676
5,14,-8.05305
5,15,-18.31745
5,16,21.274094
5,17,-20.889442
5,18,-7.750187
5,19,-22.576254
5,20,-24.933868
5,21,-19.89553
5,22,-26.160734
5,23,-20.3878
5,24,-31.073004
5,25,6.849746
5,26,-26.386007
5,27,-8.361704
5,28,-2.449479
5,29,-4.6103315
5,30,-28.20082
5,31,53.57235
6,0,-7.153099
6,1,0.3290657
6,2,-4.3567214
6,3,-3.3362417
6,4,28.979057
6,5,-4.714095
6,6,-4.745107
6,7,-10.058517
6,8,-20.45616
6,9,25.371569
6,10,-39.86867
6,11,1.3900304
6,12,-1.6593939
6,13,-38.559223
6,14,16.57445
6,15,-9.551772
6,16,-11.619379
6,17,-9.707809
6,18,-3.7434368
6,19,4.5827518
6,20,-3.7736335
6,21,-32.142784
6,22,-47.129986
6,23,21.11616
6,24,-11.492294
6,25,4.583639
6,26,11.233904
6,27,-4.303842
6,28,-4.590049
6,29,9.678631
6,30,-38.744682
6,31,9.724257
7,0,0.9625351
7,1,-4.952316
7,2,0.24919029
7,3,7.693164
7,4,31.259134
