season,projection,precip
DJF,0,2.167454
DJF,1,-4.548768
DJF,2,-4.939637
DJF,3,-1.4618841
DJF,4,13.067928
DJF,5,13.571386
DJF,6,-2.9342961
DJF,7,-0.7564949
DJF,8,-5.7162776
DJF,9,21.881775
DJF,10,-9.159466
DJF,11,22.21262
DJF,12,9.103182
DJF,13,11.762315
DJF,14,1.3497164
DJF,15,14.267741
DJF,16,-5.877295
DJF,17,4.7640486
DJF,18,7.7903695
DJF,19,7.1037054
DJF,20,22.5525
DJF,21,3.6339135
DJF,22,-2.5494785
DJF,23,-1.7945094
DJF,24,17.790995
DJF,25,-5.272515
DJF,26,12.409666
DJF,27,10.388465
DJF,28,8.822232
DJF,29,1.6697738
DJF,30,-6.1552696
DJF,31,5.840808
JJA,0,-10.484488
JJA,1,1.7501073
JJA,2,-8.197205
JJA,3,-9.484477
JJA,4,27.507874
JJA,5,4.3118625
JJA,6,3.9435663
JJA,7,23.054253
JJA,8,-11.498122
JJA,9,9.815096
JJA,10,4.8136077
JJA,11,-7.251076
JJA,12,10.05054
JJA,13,3.7968588
JJA,14,-5.441054
JJA,15,19.326199
JJA,16,-0.06415084
JJA,17,-7.592202
JJA,18,-11.509417
JJA,19,-17.002705
JJA,20,-0.45986497
JJA,21,-6.9086394
JJA,22,-9.489383
JJA,23,-0.5675374
JJA,24,2.6052647
JJA,25,34.88781
JJA,26,-2.5859566
JJA,27,-13.298633
JJA,28,7.1443014
JJA,29,17.446564
JJA,30,-25.04363
JJA,31,-3.5315745
MAM,0,-7.3399224
MAM,1,-6.053466
MAM,2,6.086689
MAM,3,-8.08884
MAM,4,-4.5018544
MAM,5,9.64666
MAM,6,9.594037
MAM,7,-2.3192585
MAM,8,-10.960599
MAM,9,4.219738
MAM,10,0.68314195
MAM,11,8.062173
MAM,12,2.7834864
MAM,13,15.381208
MAM,14,0.84502006
MAM,15,-9.154347
MAM,16,2.9816031
MAM,17,-12.376143
MAM,18,-6.4332485
MAM,19,-17.951729
MAM,20,-3.8591695
MAM,21,-6.057464
MAM,22,-10.108656
MAM,23,19.851131
MAM,24,28.784546
MAM,25,17.86995
MAM,26,2.4045057
MAM,27,8.398674
MAM,28,-8.657063
MAM,29,0.41118008
MAM,30,-17.328873
MAM,31,28.927904
SON,0,-15.624248
SON,1,-0.3178131
SON,2,-19.33671
SON,3,-11.725478
SON,4,6.5718083
SON,5,-1.7617315
SON,6,-1.2779844
SON,7,-1.4425465
SON,8,-13.343983
SON,9,3.7091165
SON,10,13.104788
SON,11,7.419425
SON,12,-2.9526215
SON,13,-6.1730886
SON,14,4.62799
SON,15,4.9998236
SON,16,-7.3558726
SON,17,-11.309121
SON,18,-11.275828
SON,19,-11.736942
SON,20,2.0924768
SON,21,1.8951681
SON,22,-2.5792465
SON,23,-2.3523962
SON,24,10.617677
SON,25,-1.1650468
SON,26,15.080791
SON,27,9.406368
SON,28,-0.74722916
SON,29,1.9591691
SON,30,-3.0182123
SON,31,31.928093
