season,projection,Tair
DJF,0,3.121334
DJF,1,3.413102
DJF,2,3.5632095
DJF,3,2.5912268
DJF,4,4.810408
DJF,5,3.031811
DJF,6,3.390772
DJF,7,3.8300073
DJF,8,4.0637465
DJF,9,4.0904107
DJF,10,3.6194491
DJF,11,3.5045047
DJF,12,4.6277795
DJF,13,5.7659683
DJF,14,2.446317
DJF,15,2.7897205
DJF,16,1.1097736
DJF,17,5.864416
DJF,18,4.883613
DJF,19,4.483311
DJF,20,2.3139317
DJF,21,2.7704463
DJF,22,4.5439057
DJF,23,5.000008
DJF,24,6.5748434
DJF,25,5.2602177
DJF,26,3.1546571
DJF,27,3.3102493
DJF,28,1.4392948
DJF,29,4.105007
DJF,30,1.8725904
DJF,31,4.0468707
JJA,0,6.021332
JJA,1,4.254445
JJA,2,4.136564
JJA,3,4.1631556
JJA,4,4.992045
JJA,5,3.820015
JJA,6,3.6918457
JJA,7,4.4677978
JJA,8,5.1581635
JJA,9,3.3856945
JJA,10,5.827905
JJA,11,3.467922
JJA,12,5.1222963
JJA,13,7.1592646
JJA,14,3.6641464
JJA,15,1.8453735
JJA,16,3.1924791
JJA,17,6.454603
JJA,18,4.558159
JJA,19,5.9961524
JJA,20,2.2834773
JJA,21,5.430375
JJA,22,5.050561
JJA,23,3.5521235
JJA,24,3.8430707
JJA,25,2.9148254
JJA,26,3.912506
JJA,27,4.038909
JJA,28,2.25848
JJA,29,3.8480232
JJA,30,5.0927415
JJA,31,6.6467094
MAM,0,3.8471954
MAM,1,4.2900233
MAM,2,2.938931
MAM,3,3.4777315
MAM,4,6.838437
MAM,5,3.157363
MAM,6,3.6288502
MAM,7,5.6811852
MAM,8,3.6676886
MAM,9,2.4191685
MAM,10,4.112361
MAM,11,3.1655562
MAM,12,6.384931
MAM,13,7.258726
MAM,14,3.787061
MAM,15,4.076513
MAM,16,3.531774
MAM,17,5.495264
MAM,18,3.4376018
MAM,19,3.6182067
MAM,20,1.135566
MAM,21,3.8994632
MAM,22,4.776377
MAM,23,6.6044917
MAM,24,6.968444
MAM,25,8.743965
MAM,26,2.4398859
MAM,27,3.3986526
MAM,28,2.560105
MAM,29,4.341021
MAM,30,3.4543467
MAM,31,6.4172177
SON,0,5.066528
SON,1,3.8043027
SON,2,4.1289363
SON,3,3.0424533
SON,4,3.6760476
SON,5,3.4677498
SON,6,3.380242
SON,7,4.348867
SON,8,4.909609
SON,9,2.7289398
SON,10,3.9203854
SON,11,1.7799752
SON,12,4.8748837
SON,13,5.8004017
SON,14,2.5312397
SON,15,1.7446675
SON,16,2.9906843
SON,17,5.713229
SON,18,4.68982
SON,19,4.690841
SON,20,1.3884017
SON,21,3.62158
SON,22,4.023396
SON,23,3.262783
SON,24,3.5989985
SON,25,3.7266018
SON,26,3.3419366
SON,27,3.9410343
SON,28,1.6322969
SON,29,3.5661783
SON,30,4.4426384
SON,31,6.0690026
