month,projection,Tair
1,0,6.3390446
1,1,2.9049318
1,2,3.8092513
1,3,1.9804302
1,4,6.395962
1,5,2.6328807
1,6,4.00949
1,7,4.6060343
1,8,4.951696
1,9,5.428897
1,10,3.9919972
1,11,4.1639247
1,12,5.3962493
1,13,6.998042
1,14,2.7737138
1,15,2.976645
1,16,2.8690562
1,17,8.935823
1,18,5.672861
1,19,5.3306875
1,20,3.8934689
1,21,5.403132
1,22,6.029911
1,23,8.426502
1,24,8.717887
1,25,5.0743756
1,26,4.91734
1,27,3.498103
1,28,1.4430387
1,29,4.328892
1,30,3.3770444
1,31,5.2366424
2,0,7.4254203
2,1,2.958464
2,2,3.966133
2,3,3.9979942
2,4,5.298605
2,5,4.0317864
2,6,4.8334937
2,7,6.1031404
2,8,4.111834
2,9,4.549458
2,10,4.2395606
2,11,5.995862
2,12,3.8880649
2,13,5.152932
2,14,2.8497343
2,15,3.9082496
2,16,1.2449208
2,17,7.912154
2,18,4.566411
2,19,6.6461797
2,20,4.00744
2,21,4.540639
2,22,5.8938284
2,23,11.189454
2,24,10.305185
2,25,4.723946
2,26,2.40862
2,27,4.4254475
2,28,2.5892317
2,29,4.7563195
2,30,4.057832
2,31,5.505387
3,0,5.4560485
3,1,3.0510435
3,2,4.878604
3,3,4.5217285
3,4,8.453342
3,5,4.2007456
3,6,3.690001
3,7,9.324802
3,8,5.326576
3,9,3.651745
3,10,4.2759266
3,11,5.3657985
3,12,6.8671093
3,13,5.477317
3,14,4.543107
3,15,3.9364412
3,16,2.9476943
3,17,6.2404385
3,18,3.2137136
3,19,3.5027328
3,20,2.7821627
3,21,6.558601
3,22,7.04189
3,23,12.721297
3,24,11.599567
3,25,9.706031
3,26,3.0068
3,27,2.405114
3,28,2.8671856
3,29,5.203642
3,30,3.5252638
3,31,8.096866
4,0,4.978639
4,1,5.2127905
4,2,3.2093768
4,3,4.8581147
4,4,7.7788935
4,5,3.2280972
4,6,4.5030813
4,7,6.2179937
4,8,3.260857
4,9,4.8714337
4,10,5.6676936
4,11,3.8071427
4,12,9.165737
4,13,7.4519067
4,14,6.283457
4,15,4.5305095
4,16,3.7673364
4,17,6.1037273
4,18,3.9002366
4,19,5.213434
4,20,1.6211073
4,21,2.8942065
4,22,4.588016
4,23,7.4351897
4,24,9.297723
4,25,12.696272
4,26,2.5068054
4,27,3.2423675
4,28,3.1556888
4,29,5.9731383
4,30,3.289824
4,31,7.1747646
5,0,7.030201
5,1,6.462433
5,2,2.7868228
5,3,4.9376335
5,4,6.3596606
5,5,3.9622107
5,6,4.7626915
5,7,7.5733786
5,8,4.755767
5,9,4.9895163
5,10,6.053705
5,11,4.69487
5,12,7.301069
5,13,8.937544
5,14,5.503807
5,15,5.1674848
5,16,2.2121675
5,17,7.6364865
5,18,4.768159
5,19,7.374396
5,20,2.1367583
5,21,5.426813
5,22,4.8005633
5,23,6.5826936
5,24,7.605143
5,25,8.378125
5,26,3.9768171
5,27,2.7504117
5,28,4.328665
5,29,5.969164
5,30,4.3212833
5,31,6.29445
6,0,7.3327627
6,1,5.709828
6,2,4.348718
6,3,3.9380286
6,4,7.0009756
6,5,4.4108906
6,6,4.8470373
6,7,6.7392025
6,8,5.323422
6,9,4.9265885
6,10,8.01867
6,11,3.917831
6,12,6.2452846
6,13,9.182754
6,14,2.3055427
6,15,2.246958
6,16,3.9628303
6,17,7.8316793
6,18,5.9942226
6,19,7.9377728
6,20,3.676094
6,21,6.5233793
6,22,7.269993
6,23,6.020281
6,24,6.379067
6,25,4.9789352
6,26,4.079787
6,27,4.171852
6,28,2.464896
6,29,5.553307
6,30,6.8613806
6,31,8.098994
7,0,7.295172
7,1,5.493442
7,2,4.9349794
7,3,4.8724227
7,4,5.535465
7,5,5.338051
7,6,4.9618206
7,7,5.3246713
7,8,6.339489
7,9,4.668506
7,10,6.4983273
7,11,3.1784544
7,12,7.1287913
7,13,10.796704
7,14,1.6842865
7,15,1.5076606
7,16,3.6193151
7,17,7.9058094
7,18,6.021404
7,19,6.2810655
7,20,3.68501
7,21,5.915739
7,22,6.595824
7,23,6.2104645
7,24,5.185897
7,25,5.0905356
7,26,3.9353988
7,27,3.9658034
7,28,2.465531
7,29,6.0036025
7,30,6.688442
7,31,8.705895
8,0,6.886261
8,1,4.7329755
8,2,5.1736264
8,3,5.272768
8,4,4.5439076
8,5,5.762085
8,6,6.6600666
8,7,5.86157
8,8,7.204906
8,9,4.3995233
8,10,6.809319
8,11,3.6575375
8,12,5.436591
8,13,11.89487
8,14,3.1345196
8,15,2.4248164
8,16,4.4918838
8,17,8.592785
8,18,6.3259964
8,19,7.355343
8,20,3.401288
8,21,7.151914
8,22,6.9921074
8,23,6.0309997
8,24,5.9026723
8,25,4.530535
8,26,4.927392
8,27,4.105704
8,28,2.7075598
8,29,5.017885
8,30,5.575606
8,31,7.6355495
9,0,7.8254976
9,1,6.9965434
9,2,5.6569667
9,3,5.5701523
9,4,6.571039
9,5,5.0493627
9,6,5.9274893
9,7,5.558445
9,8,6.744067
9,9,4.860652
9,10,7.2717524
9,11,3.8912888
9,12,6.5644097
9,13,10.672686
9,14,2.670857
9,15,2.6747692
9,16,5.2879515
9,17,9.335026
9,18,7.243638
9,19,7.23242
9,20,4.7967353
9,21,7.03544
9,22,7.228916
9,23,8.131187
9,24,6.5548086
9,25,4.8852835
9,26,4.702171
9,27,6.358109
9,28,2.3513832
9,29,5.500061
9,30,7.7718606
9,31,8.591051
10,0,6.3259997
10,1,4.8490477
10,2,5.6785445
10,3,3.6867902
10,4,6.6627836
10,5,4.9944825
10,6,5.5710416
10,7,5.796579
10,8,6.7990265
10,9,3.288412
10,10,7.7730794
10,11,4.2046666
10,12,7.0674567
10,13,8.302802
10,14,3.8587794
10,15,1.9935722
10,16,4.081328
10,17,8.026024
10,18,8.186825
10,19,8.435644
10,20,1.5385323
10,21,5.403694
10,22,6.1207304
10,23,6.511176
10,24,6.475723
10,25,6.706113
10,26,4.9560323
10,27,3.5925927
10,28,2.4530153
10,29,5.284939
10,30,7.105126
10,31,8.399185
11,0,5.509898
11,1,5.0925646
11,2,5.5013165
11,3,4.397176
11,4,4.5720973
11,5,3.4231594
11,6,3.651139
11,7,5.9022636
11,8,4.5699935
11,9,4.261743
11,10,3.556045
11,11,0.6519845
11,12,4.519625
11,13,5.912814
11,14,2.324178
11,15,1.3138345
11,16,2.3197727
11,17,5.9093313
11,18,4.473447
11,19,5.7248645
11,20,2.3025157
11,21,4.374145
11,22,4.9814677
11,23,5.77709
11,24,5.4961514
11,25,6.237004
11,26,3.0143332
11,27,6.0223236
11,28,2.4164565
11,29,4.818096
11,30,3.4319403
11,31,6.2659864
12,0,5.5009866
12,1,3.9488914
12,2,4.185942
12,3,2.688767
12,4,7.0629425
12,5,3.0464103
12,6,3.761345
12,7,5.692998
12,8,4.6068945
12,9,4.0587177
12,10,4.165263
12,11,3.188325
12,12,5.227088
12,13,5.3476954
12,14,2.9317577
12,15,0.6181277
12,16,1.2167547
12,17,7.2356443
12,18,6.5465517
12,19,4.232136
12,20,2.364592
12,21,5.3461976
12,22,6.912921
12,23,5.5948434
12,24,5.3665867
12,25,5.53658
12,26,4.7632136
12,27,3.5414107
12,28,1.5094223
12,29,5.2403445
12,30,2.893382
12,31,4.7446647
