month,projection,precip
1,0,14.706591
1,1,6.449179
1,2,-8.112153
1,3,-16.198664
1,4,29.71796
1,5,4.4105954
1,6,21.598999
1,7,7.397329
1,8,21.77616
1,9,15.239753
1,10,-7.7394485
1,11,16.965618
1,12,13.254907
1,13,34.3491
1,14,2.6734335
1,15,-10.689317
1,16,-5.2179604
1,17,-3.0977674
1,18,52.888317
1,19,8.210633
1,20,31.11451
1,21,30.211628
1,22,2.1533504
1,23,-14.788461
1,24,0.58170295
1,25,-0.96410614
1,26,45.164646
1,27,32.62252
1,28,21.78364
1,29,19.40009
1,30,4.944955
1,31,7.99606
2,0,2.85548
2,1,-4.18881
2,2,-3.638806
2,3,-28.99462
2,4,12.207152
2,5,18.092281
2,6,4.827496
2,7,-18.260397
2,8,42.27691
2,9,4.7384048
2,10,7.636608
2,11,28.698418
2,12,-3.6929314
2,13,5.2115903
2,14,13.469052
2,15,3.7704241
2,16,17.906202
2,17,-1.6742308
2,18,13.0133705
2,19,27.122793
2,20,10.133153
2,21,-22.420706
2,22,-5.2809057
2,23,-11.779599
2,24,29.798979
2,25,-5.897678
2,26,18.779001
2,27,3.205629
2,28,22.753304
2,29,5.7659426
2,30,-10.842356
2,31,-2.9919202
3,0,6.068235
3,1,23.064548
3,2,-22.011618
3,3,1.2644292
3,4,0.26711795
3,5,-25.114712
3,6,12.664048
3,7,16.01101
3,8,0.8467593
3,9,20.2487
3,10,-5.926607
3,11,17.62351
3,12,31.051687
3,13,19.748856
3,14,5.712818
3,15,5.235976
3,16,-10.99562
3,17,-2.7735908
3,18,5.576597
3,19,-4.713862
3,20,7.751326
3,21,-5.234372
3,22,13.491689
3,23,74.9512
3,24,58.20803
3,25,-6.3551874
3,26,6.549487
3,27,16.047892
3,28,-1.0843692
3,29,3.9246945
3,30,-10.492001
3,31,17.369587
4,0,-12.762072
4,1,-30.593002
4,2,1.6630766
4,3,9.260142
4,4,32.86578
4,5,16.886402
4,6,-2.9426386
4,7,0.30181968
4,8,-7.6988444
4,9,13.648793
4,10,3.5077646
4,11,41.945686
4,12,8.66209
4,13,-4.5655117
