season,projection,precip
DJF,0,8.431899
DJF,1,-9.4480915
DJF,2,-8.699112
DJF,3,-1.6581163
DJF,4,0.07222672
DJF,5,11.843802
DJF,6,0.50622135
DJF,7,-7.236524
DJF,8,4.135416
DJF,9,21.566141
DJF,10,-5.812312
DJF,11,21.99395
DJF,12,13.526225
DJF,13,15.0104265
DJF,14,-1.0386976
DJF,15,11.4517975
DJF,16,-5.3320622
DJF,17,6.1955647
DJF,18,18.226698
DJF,19,16.35235
DJF,20,18.3801
DJF,21,3.5670168
DJF,22,-4.9984674
DJF,23,-11.294749
DJF,24,10.009113
DJF,25,-7.8129916
DJF,26,22.408876
DJF,27,15.723224
DJF,28,9.07216
DJF,29,0.1367944
DJF,30,-7.2189503
DJF,31,2.7367604
JJA,0,-8.323889
JJA,1,10.789072
JJA,2,-5.002303
JJA,3,-14.541705
JJA,4,40.127274
JJA,5,-8.500619
JJA,6,-2.295648
JJA,7,3.2348845
JJA,8,-6.9763756
JJA,9,1.5203862
JJA,10,9.299767
JJA,11,-12.338807
JJA,12,0.32466784
JJA,13,1.0948772
JJA,14,-3.8600247
JJA,15,29.58443
JJA,16,-13.304365
JJA,17,-11.275506
JJA,18,-5.423603
JJA,19,-21.232878
JJA,20,5.187863
JJA,21,-8.086581
JJA,22,-1.9967917
JJA,23,5.917571
JJA,24,5.3181725
JJA,25,30.96964
JJA,26,-5.688857
JJA,27,-12.327756
JJA,28,7.104671
JJA,29,20.603369
JJA,30,-18.711437
JJA,31,-23.359404
MAM,0,-7.077367
MAM,1,-6.2780747
MAM,2,-0.81738466
MAM,3,-9.294153
MAM,4,-5.2173605
MAM,5,7.8534236
MAM,6,6.3217125
MAM,7,0.02339025
MAM,8,-5.0721993
MAM,9,8.010464
MAM,10,-0.09346447
MAM,11,16.340286
MAM,12,3.5888956
MAM,13,15.883502
MAM,14,0.58815324
MAM,15,-12.37132
MAM,16,11.734078
MAM,17,-12.325966
MAM,18,-4.4301605
MAM,19,-25.591663
MAM,20,-9.385578
MAM,21,-12.294056
MAM,22,-13.03388
MAM,23,15.610779
MAM,24,22.522202
MAM,25,16.12914
MAM,26,3.853812
MAM,27,8.981612
MAM,28,-12.752562
MAM,29,-2.8419104
MAM,30,-17.68528
MAM,31,32.443863
SON,0,-17.570654
SON,1,-1.523964
SON,2,-14.239592
SON,3,-12.226534
SON,4,10.090118
SON,5,-0.5686941
SON,6,-11.268427
SON,7,-6.512568
SON,8,-15.535511
SON,9,6.3001714
SON,10,19.015223
SON,11,7.9688296
SON,12,3.2077048
SON,13,-9.805579
SON,14,11.886586
SON,15,4.3234
SON,16,-1.3749961
SON,17,-15.915346
SON,18,-5.4537024
SON,19,-11.166967
SON,20,3.8298647
SON,21,0.72300255
SON,22,-6.4121475
SON,23,-0.21450908
SON,24,22.620934
SON,25,-1.8791549
SON,26,20.319786
SON,27,20.490978
SON,28,0.68887484
SON,29,1.5553261
SON,30,-8.290865
SON,31,19.936405
