season,projection,Tair
DJF,0,3.7626045
DJF,1,2.9293056
DJF,2,3.211017
DJF,3,2.069244
DJF,4,4.525911
DJF,5,2.5887353
DJF,6,3.3533065
DJF,7,3.8693054
DJF,8,3.090982
DJF,9,3.7963023
DJF,10,3.3808591
DJF,11,3.1788588
DJF,12,4.1956825
DJF,13,5.153187
DJF,14,1.8166369
DJF,15,2.1396246
DJF,16,1.1621934
DJF,17,6.6173673
DJF,18,5.778645
DJF,19,4.6186833
DJF,20,1.912848
DJF,21,3.0800798
DJF,22,4.4350886
DJF,23,5.608949
DJF,24,6.443945
DJF,25,5.724534
DJF,26,3.5837138
DJF,27,3.5275033
DJF,28,1.3398861
DJF,29,4.0445256
DJF,30,2.2377613
DJF,31,4.431604
JJA,0,5.9428616
JJA,1,4.277561
JJA,2,4.421492
JJA,3,4.3823743
JJA,4,4.766185
JJA,5,4.393467
JJA,6,4.421877
JJA,7,5.107561
JJA,8,5.0801535
JJA,9,3.6942077
JJA,10,5.9789004
JJA,11,3.5635562
JJA,12,5.3051915
JJA,13,8.2644205
JJA,14,3.63299
JJA,15,2.4572089
JJA,16,3.2706537
JJA,17,6.5798836
JJA,18,4.7411017
JJA,19,6.4172893
JJA,20,2.5716832
JJA,21,5.8833604
JJA,22,5.001591
JJA,23,4.5448723
JJA,24,4.6421013
JJA,25,3.286299
JJA,26,4.2256646
JJA,27,4.14051
JJA,28,2.6670754
JJA,29,4.318286
JJA,30,5.125136
JJA,31,6.851287
MAM,0,4.4158077
MAM,1,4.329727
MAM,2,2.809313
MAM,3,3.7376862
MAM,4,6.759992
MAM,5,3.3051698
MAM,6,3.842942
MAM,7,6.4672093
MAM,8,3.1618326
MAM,9,3.0362709
MAM,10,4.4455
MAM,11,3.534408
MAM,12,6.625893
MAM,13,6.3901854
MAM,14,4.197724
MAM,15,3.8634539
MAM,16,3.3402925
MAM,17,5.792387
MAM,18,3.2849653
MAM,19,3.8369114
MAM,20,1.4090686
MAM,21,3.894988
MAM,22,4.5643144
MAM,23,7.585987
MAM,24,7.884268
MAM,25,9.644898
MAM,26,2.4668906
MAM,27,3.097802
MAM,28,2.7684448
MAM,29,4.688614
MAM,30,3.3163483
MAM,31,6.3436046
SON,0,5.3878927
SON,1,4.3376822
SON,2,5.033398
SON,3,3.6639936
SON,4,4.402831
SON,5,4.076796
SON,6,4.291574
SON,7,4.7433352
SON,8,4.774078
SON,9,2.9599621
SON,10,4.6020885
SON,11,2.5103176
SON,12,5.816248
SON,13,6.5704765
SON,14,2.9751096
SON,15,2.3304524
SON,16,3.2670164
SON,17,6.3879623
SON,18,5.1110425
SON,19,5.362698
SON,20,1.867262
SON,21,4.6578064
SON,22,4.9728293
SON,23,4.865687
SON,24,4.2472215
SON,25,4.4626293
SON,26,3.9567604
SON,27,4.184052
SON,28,1.7779638
SON,29,4.847942
SON,30,5.168566
SON,31,6.606736
