month,projection,Tair
1,0,2.2747002
1,1,4.1679707
1,2,5.0013027
1,3,3.5041993
1,4,4.576641
1,5,3.5023293
1,6,3.8577666
1,7,2.2153227
1,8,2.444256
1,9,5.2940345
1,10,5.500935
1,11,2.8368328
1,12,5.710581
1,13,4.433829
1,14,2.8707755
1,15,3.1284435
1,16,1.177022
1,17,9.680579
1,18,7.258797
1,19,6.017737
1,20,2.2512984
1,21,3.3332286
1,22,3.4306154
1,23,3.6395426
1,24,6.0688357
1,25,6.0570035
1,26,3.1503034
1,27,5.521261
1,28,-0.14332052
1,29,4.454935
1,30,3.69552
1,31,3.0367162
2,0,2.011402
2,1,3.1000533
2,2,3.6177394
2,3,4.79546
2,4,2.8442
2,5,2.551842
2,6,4.0875373
2,7,2.2972593
2,8,3.2726667
2,9,4.233716
2,10,5.57383
2,11,2.3638194
2,12,3.7639215
2,13,2.813568
2,14,3.738461
2,15,3.0801408
2,16,-0.019590318
2,17,7.711009
2,18,5.754033
2,19,6.359641
2,20,2.03924
2,21,1.535143
2,22,3.745639
2,23,5.3637633
2,24,5.4132557
2,25,4.260415
2,26,0.7750886
2,27,3.5759242
2,28,2.5899937
2,29,2.4317293
2,30,5.0145254
2,31,4.5919614
3,0,2.8823738
3,1,2.4039807
3,2,3.5212257
3,3,3.1437047
3,4,6.0436797
3,5,1.437058
3,6,2.6029482
3,7,4.9737206
3,8,4.8487926
3,9,2.1789348
3,10,3.9597206
3,11,2.7238843
3,12,4.0007277
3,13,2.8249779
3,14,2.7438977
3,15,2.877756
3,16,3.1050026
3,17,5.8114057
3,18,2.3482254
3,19,4.393379
3,20,1.212228
3,21,5.0603056
3,22,4.1108065
3,23,5.9705215
3,24,5.6027327
3,25,6.376334
3,26,1.3895503
3,27,2.9391968
3,28,2.0178494
3,29,1.6767393
3,30,4.10197
3,31,4.4617157
4,0,3.2623386
4,1,2.6334589
4,2,3.6385224
4,3,2.5533085
4,4,5.4525023
4,5,1.3826241
4,6,1.900942
4,7,3.2770157
4,8,2.8536386
4,9,3.3830268
4,10,3.8629456
4,11,2.1628664
4,12,6.1711516
4,13,3.3777122
4,14,4.5852504
4,15,2.1413915
4,16,4.301535
4,17,4.8521442
4,18,2.8828125
4,19,4.4598913
4,20,0.6088211
4,21,1.5362852
4,22,2.1800206
4,23,3.3363554
4,24,4.954317
4,25,6.59483
4,26,1.9317294
4,27,3.720211
4,28,2.4610217
4,29,4.272025
4,30,4.172468
4,31,5.75446
5,0,5.1171107
5,1,4.6841598
5,2,1.1388222
5,3,3.3900805
5,4,6.089277
5,5,3.110674
5,6,2.1822126
5,7,4.368839
5,8,3.579162
5,9,2.277701
5,10,3.7653012
5,11,3.481001
5,12,4.030195
5,13,4.7483735
5,14,0.813414
5,15,1.4925201
5,16,1.6488881
5,17,5.6421247
5,18,3.379082
5,19,2.793715
5,20,1.9004717
5,21,3.717406
5,22,5.060507
5,23,5.2487698
5,24,4.7101545
5,25,6.8714743
5,26,2.9432905
5,27,2.5628443
5,28,2.7769094
5,29,4.675187
5,30,4.139075
5,31,5.394828
6,0,6.958692
6,1,4.289131
6,2,3.3436203
6,3,2.513054
6,4,4.7413797
6,5,4.2411313
6,6,3.547039
6,7,3.0267367
6,8,3.699591
6,9,3.5678306
6,10,7.664186
6,11,2.1975677
6,12,4.8443184
6,13,5.2090025
6,14,3.638143
6,15,1.3153073
6,16,2.4909403
6,17,5.2900233
6,18,2.6561885
6,19,4.9026074
6,20,1.4968768
6,21,4.842588
6,22,5.552799
6,23,4.0849123
6,24,5.1000113
6,25,4.7979493
6,26,3.6132796
6,27,4.0306263
6,28,2.7085178
6,29,3.613005
6,30,4.306232
6,31,6.222031
7,0,6.8747907
7,1,4.0177174
7,2,4.7478685
7,3,5.412847
7,4,5.105326
7,5,4.237073
7,6,4.645881
7,7,3.6594188
7,8,4.804565
7,9,4.1089277
7,10,6.4982104
7,11,2.801548
7,12,4.9586825
7,13,5.7569904
7,14,2.177322
7,15,2.1170826
7,16,2.3095596
7,17,7.1270094
7,18,2.484431
7,19,5.75274
7,20,1.342004
7,21,5.310712
7,22,6.6929774
7,23,5.646138
7,24,4.852019
7,25,5.1581464
7,26,3.417716
7,27,4.014593
7,28,3.0783691
7,29,3.3087249
7,30,5.295523
7,31,6.8895264
8,0,7.102661
8,1,3.860067
8,2,5.427225
8,3,5.3724103
8,4,5.6009192
8,5,4.9331083
8,6,4.8516483
8,7,4.8756394
8,8,4.311413
8,9,3.6070106
8,10,6.757031
8,11,3.175938
8,12,5.1630044
8,13,7.1380987
8,14,4.601486
8,15,2.8027976
8,16,3.221301
8,17,6.5750256
