month,projection,precip
1,0,47.298264
1,1,36.31976
1,2,-10.416532
1,3,28.943325
1,4,84.04281
1,5,4.3952847
1,6,5.8369045
1,7,21.154316
1,8,16.851545
1,9,48.54515
1,10,-14.615615
1,11,38.091896
1,12,8.128597
1,13,27.976517
1,14,54.564606
1,15,22.95237
1,16,6.428002
1,17,49.598743
1,18,122.44275
1,19,31.976238
1,20,10.963268
1,21,33.688206
1,22,-1.2088295
1,23,10.906275
1,24,20.18196
1,25,20.549274
1,26,45.917297
1,27,15.69511
1,28,17.790522
1,29,35.624012
1,30,-17.992476
1,31,40.339954
2,0,36.81342
2,1,0.63555497
2,2,7.0212812
2,3,26.215755
2,4,41.899624
2,5,11.7624445
2,6,14.211035
2,7,44.922974
2,8,3.6735013
2,9,-15.780516
2,10,25.524033
2,11,28.278328
2,12,8.121572
2,13,37.766422
2,14,11.3140135
2,15,-0.5353307
2,16,1.0268174
2,17,104.826225
2,18,41.71334
2,19,35.75297
2,20,-12.231253
2,21,9.8544445
2,22,-41.80014
2,23,14.40462
2,24,77.06546
2,25,-3.2786674
2,26,47.247604
2,27,18.791363
2,28,46.209637
2,29,18.610058
2,30,-16.843218
2,31,23.99444
3,0,56.888092
3,1,64.530914
3,2,-9.731275
3,3,11.7814665
3,4,21.73123
3,5,-9.017838
3,6,42.28852
3,7,-11.56214
3,8,14.79003
3,9,-0.4176662
3,10,37.891457
3,11,9.076426
3,12,-0.8827911
3,13,30.843193
3,14,-2.3131766
3,15,-9.413585
3,16,31.960693
3,17,60.389435
3,18,45.21046
3,19,8.910962
3,20,29.883553
3,21,-1.9843552
3,22,16.187729
3,23,89.02268
3,24,86.90378
3,25,39.62324
3,26,33.592224
3,27,36.999115
3,28,5.38378
3,29,43.99553
3,30,19.535887
3,31,89.25706
4,0,-11.373344
4,1,-22.620327
4,2,18.544016
4,3,24.69612
4,4,2.8815362
4,5,16.104824
4,6,-1.3522488
4,7,3.6012452
4,8,16.271093
4,9,8.504841
4,10,21.351702
4,11,24.980698
4,12,10.557493
4,13,33.201454
4,14,-31.006998
4,15,30.653769
4,16,32.624336
4,17,12.646975
4,18,67.03422
4,19,-0.9880299
4,20,35.408073
4,21,38.558064
4,22,-5.2605286
4,23,31.825733
4,24,27.476088
4,25,11.011586
4,26,3.2190025
4,27,22.36774
4,28,18.290585
4,29,33.66851
4,30,12.534228
4,31,16.348743
5,0,14.338771
5,1,10.624233
5,2,8.828345
5,3,3.4202886
5,4,-7.612668
5,5,22.080795
5,6,2.9641058
5,7,20.707094
5,8,2.5775785
5,9,17.913649
5,10,22.41615
5,11,21.344604
5,12,6.7836337
5,13,10.593682
5,14,27.009375
5,15,-14.018817
5,16,20.120644
5,17,3.429622
5,18,30.134836
5,19,21.808187
5,20,-12.70686
5,21,-16.640987
5,22,-20.841402
5,23,-1.8428935
5,24,5.576477
5,25,-17.909504
5,26,8.349342
5,27,-3.0076196
5,28,9.304024
5,29,15.101215
5,30,-1.4335582
5,31,8.285834
6,0,-26.359934
6,1,31.120556
6,2,7.9580894
6,3,7.0735164
6,4,12.665178
6,5,6.1104007
6,6,11.850123
6,7,19.578964
6,8,19.039919
6,9,2.3716202
6,10,-32.028305
6,11,9.384688
6,12,3.5930388
6,13,6.5329976
6,14,7.2552032
6,15,18.708424
6,16,8.540676
6,17,-10.030708
6,18,17.26354
6,19,2.8888016
6,20,5.2190943
6,21,-8.829234
6,22,-43.68484
6,23,17.322514
6,24,-3.9693897
6,25,11.630041
6,26,7.9222283
6,27,-8.132085
6,28,-13.992043
6,29,16.403276
6,30,-26.4635
6,31,1.9249667
7,0,-45.25869
7,1,-11.107501
7,2,9.2788
7,3,-3.4881313
7,4,0.83593446
7,5,-16.95057
7,6,-8.433459
7,7,-6.5385976
7,8,-3.4140415
7,9,-1.0541197
7,10,-19.38654
7,11,19.807175
7,12,-5.4366913
7,13,13.120484
7,14,7.30956
7,15,9.197146
7,16,17.95312
7,17,-34.139763
7,18,9.462682
7,19,-7.4625096
7,20,-3.641387
7,21,-2.2176332
7,22,-25.026182
7,23,-17.339096
7,24,-1.2040929
7,25,-18.467434
7,26,9.222821
7,27,-1.365178
7,28,14.625967
7,29,-6.0087705
7,30,24.749191
7,31,-15.209806
8,0,-48.23404
8,1,-1.308668
8,2,-7.0091567
8,3,-24.413317
8,4,21.746748
8,5,-7.54521
8,6,-0.0044806437
8,7,-5.562435
8,8,6.4952245
8,9,24.427868
8,10,-13.198495
8,11,-7.115934
8,12,4.4711037
8,13,0.8919974
8,14,14.304313
8,15,-10.234075
8,16,20.321732
8,17,-42.394848
8,18,-16.942911
8,19,-27.194935
8,20,-10.053058
8,21,-6.4221053
8,22,-18.865017
8,23,-15.557246
8,24,-7.331492
8,25,-3.1825953
8,26,-22.445614
8,27,11.883206
8,28,10.638576
8,29,-1.7596775
8,30,-5.329522
8,31,2.721553
9,0,-9.6620655
9,1,-2.463375
9,2,5.550101
9,3,-22.88087
9,4,-3.5382767
9,5,4.346476
9,6,16.636656
9,7,-1.7450753
9,8,-27.419716
9,9,35.06844
9,10,5.4726405
9,11,11.702705
9,12,-8.935787
9,13,1.279099
9,14,-8.660284
9,15,-7.1279635
9,16,4.627188
9,17,-29.970985
9,18,-19.513544
9,19,24.597267
9,20,-33.945683
9,21,8.5202465
9,22,-3.3584833
9,23,4.711732
9,24,6.1780696
9,25,-14.540318
9,26,-13.123817
9,27,-4.425904
9,28,24.661217
9,29,8.85101
9,30,-18.867247
9,31,-13.627948
10,0,-2.4715474
10,1,48.37052
10,2,-28.255907
10,3,11.150514
10,4,-27.828064
10,5,10.358892
10,6,-7.728019
10,7,4.3271317
10,8,-49.61558
10,9,1.7749916
10,10,-9.139781
10,11,48.963146
10,12,-7.5796933
10,13,2.2639627
10,14,0.898748
10,15,22.546124
10,16,-3.5118227
10,17,-19.802483
10,18,0.9237433
10,19,-6.7167506
10,20,-30.264791
10,21,-23.249899
10,22,26.525541
10,23,16.412458
10,24,-14.105993
10,25,-8.5678005
10,26,-18.73943
10,27,-7.580393
10,28,-2.2145877
10,29,23.389713
10,30,21.61463
10,31,-37.964542
11,0,46.07382
11,1,9.893304
11,2,-12.480139
11,3,0.45778704
