season,projection,precip
DJF,0,37.38955
DJF,1,13.439565
DJF,2,0.7743168
DJF,3,22.772915
DJF,4,41.61661
DJF,5,19.037426
DJF,6,10.41955
DJF,7,41.031487
DJF,8,12.245936
DJF,9,11.517728
DJF,10,-0.5615421
DJF,11,27.0756
DJF,12,4.998805
DJF,13,37.58821
DJF,14,16.277773
DJF,15,11.083059
DJF,16,-5.3210726
DJF,17,61.740356
DJF,18,58.933563
DJF,19,32.35038
DJF,20,-3.8286607
DJF,21,22.809124
DJF,22,-23.636715
DJF,23,16.635109
DJF,24,32.89398
DJF,25,0.764346
DJF,26,25.736189
DJF,27,12.268543
DJF,28,21.702961
DJF,29,25.432058
DJF,30,-0.08022347
DJF,31,18.893866
JJA,0,-39.13763
JJA,1,6.144835
JJA,2,4.7903132
JJA,3,-5.5928235
JJA,4,10.350635
JJA,5,-5.832859
JJA,6,1.4614806
JJA,7,3.6612577
JJA,8,7.2696314
JJA,9,6.457845
JJA,10,-22.45487
JJA,11,7.9568267
JJA,12,0.6575743
JJA,13,7.463821
JJA,14,9.153995
JJA,15,7.590247
JJA,16,15.013376
JJA,17,-27.849087
JJA,18,4.965901
JJA,19,-8.354549
JJA,20,-2.0967336
JJA,21,-5.7026386
JJA,22,-30.871756
JJA,23,-3.8812292
JJA,24,-3.8304508
JJA,25,-4.120557
JJA,26,0.09166841
JJA,27,-0.2935045
JJA,28,3.0868227
JJA,29,3.354252
JJA,30,-3.2952287
JJA,31,-4.4472895
MAM,0,13.635079
MAM,1,10.27114
MAM,2,8.166437
MAM,3,10.89425
MAM,4,0.26280773
MAM,5,15.36462
MAM,6,8.336965
MAM,7,10.293626
MAM,8,8.529978
MAM,9,12.320743
MAM,10,24.57747
MAM,11,20.205278
MAM,12,6.497469
MAM,13,20.522764
MAM,14,2.3651826
MAM,15,-1.0879291
MAM,16,25.617859
MAM,17,15.087671
MAM,18,42.21949
MAM,19,13.193497
MAM,20,7.199511
MAM,21,0.046249274
MAM,22,-9.906004
MAM,23,22.309923
MAM,24,25.944254
MAM,25,-1.9751605
MAM,26,11.423619
MAM,27,11.38203
MAM,28,11.0047455
MAM,29,25.241608
MAM,30,5.5106406
MAM,31,25.331343
SON,0,3.410811
SON,1,15.044284
SON,2,-10.097309
SON,3,-7.7784047
SON,4,-6.221224
SON,5,8.524928
SON,6,12.283522
SON,7,0.80995375
SON,8,-27.788818
SON,9,23.818033
SON,10,-3.5336397
SON,11,24.776789
SON,12,0.5456262
SON,13,9.527297
SON,14,2.2028093
SON,15,-3.7034447
SON,16,-2.749631
SON,17,-8.615009
SON,18,-3.8969576
SON,19,29.108515
SON,20,-13.802513
SON,21,-0.9686905
SON,22,7.092765
SON,23,-2.027489
SON,24,-4.196704
SON,25,-7.254436
SON,26,-9.605055
SON,27,-2.359299
SON,28,16.625458
SON,29,2.8591018
SON,30,0.35599402
SON,31,-22.464214
