season,projection,Tair
DJF,0,2.576874
DJF,1,3.6466906
DJF,2,4.4415812
DJF,3,3.232981
DJF,4,3.6137834
DJF,5,3.0804338
DJF,6,3.2849445
DJF,7,2.517966
DJF,8,3.1540961
DJF,9,5.0485244
DJF,10,5.3747835
DJF,11,2.943261
DJF,12,5.0093055
DJF,13,3.7983353
DJF,14,3.5096736
DJF,15,2.5876257
DJF,16,0.8106809
DJF,17,7.945463
DJF,18,7.108129
DJF,19,5.9566135
DJF,20,1.8719671
DJF,21,2.8844123
DJF,22,4.579332
DJF,23,4.588192
DJF,24,5.13878
DJF,25,5.2405005
DJF,26,2.710458
DJF,27,3.784663
DJF,28,1.4552709
DJF,29,4.1228795
DJF,30,3.1858208
DJF,31,4.020006
JJA,0,6.978711
JJA,1,4.0556407
JJA,2,4.506252
JJA,3,4.4327774
JJA,4,5.1492095
JJA,5,4.470426
JJA,6,4.348186
JJA,7,3.8539283
JJA,8,4.2718654
JJA,9,3.7612484
JJA,10,6.973132
JJA,11,2.7250006
JJA,12,4.988658
JJA,13,6.0346937
JJA,14,3.4723182
JJA,15,2.0783901
JJA,16,2.673921
JJA,17,6.3306828
JJA,18,2.7101657
JJA,19,5.695635
JJA,20,1.9176738
JJA,21,6.100399
JJA,22,6.2772617
JJA,23,5.159327
JJA,24,5.407467
JJA,25,4.8766594
JJA,26,3.8435497
JJA,27,4.585573
JJA,28,2.967881
JJA,29,3.5180454
JJA,30,4.5976167
JJA,31,6.683148
MAM,0,3.753939
MAM,1,3.2405376
MAM,2,2.7661908
MAM,3,3.0290267
MAM,4,5.8618155
MAM,5,1.9767785
MAM,6,2.2286985
MAM,7,4.206529
MAM,8,3.760529
MAM,9,2.6132114
MAM,10,3.8626487
MAM,11,2.7892535
MAM,12,4.7340345
MAM,13,3.650355
MAM,14,2.7141826
MAM,15,2.1705585
MAM,16,3.0184712
MAM,17,5.435233
MAM,18,2.870039
MAM,19,3.8823228
MAM,20,1.240511
MAM,21,3.4380014
MAM,22,3.7837806
MAM,23,4.8518834
MAM,24,5.089066
MAM,25,6.6142106
MAM,26,2.0881903
MAM,27,3.0740879
MAM,28,2.4185903
MAM,29,3.5413105
MAM,30,4.1378407
MAM,31,5.2036605
SON,0,5.917135
SON,1,4.481567
SON,2,6.0139966
SON,3,3.6747773
SON,4,5.8802347
SON,5,4.1149035
SON,6,4.289368
SON,7,4.852409
SON,8,4.968821
SON,9,3.2507994
SON,10,5.2914
SON,11,2.500871
SON,12,6.212799
SON,13,5.8286433
SON,14,4.4195304
SON,15,3.1958952
SON,16,3.9670067
SON,17,6.941201
SON,18,5.4196205
SON,19,5.9567885
SON,20,2.3716564
SON,21,5.4201374
SON,22,5.91112
SON,23,4.9568954
SON,24,5.210436
SON,25,5.275185
SON,26,3.9245996
SON,27,5.355059
SON,28,2.7330618
SON,29,5.4070363
SON,30,5.1142817
SON,31,6.9554615
