month,projection,Tair
1,0,3.7876284
1,1,4.9563513
1,2,5.531695
1,3,4.41941
1,4,5.373826
1,5,3.465787
1,6,5.1841555
1,7,3.1966562
1,8,2.5797448
1,9,4.900039
1,10,5.8711905
1,11,3.4904618
1,12,6.2214847
1,13,6.232555
1,14,3.4718256
1,15,3.5325017
1,16,2.3458657
1,17,9.053562
1,18,6.7749405
1,19,5.474611
1,20,2.6382036
1,21,4.4539227
1,22,3.9740891
1,23,5.189652
1,24,7.387788
1,25,6.060893
1,26,4.3091974
1,27,5.9663258
1,28,1.1043264
1,29,5.48706
1,30,4.1662083
1,31,4.6166058
2,0,2.6938796
2,1,2.784796
2,2,3.398331
2,3,4.1645207
2,4,3.2155445
2,5,3.3701966
2,6,3.8511117
2,7,2.635726
2,8,3.626065
2,9,4.1920805
2,10,4.799693
2,11,2.9242957
2,12,3.634887
2,13,3.8911946
2,14,3.7339096
2,15,2.8168476
2,16,0.2110574
2,17,7.733478
2,18,5.2462025
2,19,5.3144827
2,20,1.8942236
2,21,2.2937427
2,22,4.2899313
2,23,6.1230974
2,24,6.1556644
2,25,4.1839943
2,26,1.1217754
2,27,4.0367384
2,28,2.2329047
2,29,3.475951
2,30,3.7305746
2,31,4.4204454
3,0,3.2894135
3,1,3.3180192
3,2,4.142931
3,3,3.4631932
3,4,6.40697
3,5,2.4121032
3,6,3.1301816
3,7,5.620429
3,8,5.018392
3,9,2.88684
3,10,4.3097205
3,11,3.1705997
3,12,4.464218
3,13,4.736113
3,14,3.1305263
3,15,3.3163562
3,16,3.4600177
3,17,6.0857043
3,18,2.8318126
3,19,3.2517173
3,20,1.8490183
3,21,5.9657483
3,22,4.7434435
3,23,7.454651
3,24,7.489407
3,25,7.1671352
3,26,2.3258128
3,27,3.4773238
3,28,2.8187819
3,29,3.3677244
3,30,3.7151108
3,31,5.286252
4,0,3.6664982
4,1,3.3849409
4,2,3.22619
4,3,2.5610847
4,4,6.441121
4,5,1.5082769
4,6,2.228793
4,7,3.779858
4,8,3.024531
4,9,3.5909808
4,10,4.3708367
4,11,2.6119273
4,12,6.5964127
4,13,4.542995
4,14,4.9225125
4,15,3.1486008
4,16,3.7191362
4,17,5.1593943
4,18,2.9235666
4,19,3.831262
4,20,0.6847641
4,21,2.1776962
4,22,2.5235922
4,23,3.9207096
4,24,4.34764
4,25,7.764005
4,26,1.7521563
4,27,3.8369973
4,28,2.7280219
4,29,5.1025004
4,30,3.7175226
4,31,5.8286667
5,0,5.140307
5,1,5.0644054
5,2,1.9244853
5,3,4.142141
5,4,6.8137083
5,5,3.4517462
5,6,2.0581374
5,7,4.054403
5,8,3.7057743
5,9,2.432282
5,10,3.9471798
5,11,4.1343837
5,12,4.9000363
5,13,6.155804
5,14,1.8075805
5,15,3.7413974
5,16,2.2019176
5,17,6.589515
5,18,3.8353958
5,19,3.6178217
5,20,2.4600449
5,21,3.9584048
5,22,4.6302824
5,23,5.5340414
5,24,5.3259177
5,25,7.191729
5,26,2.9864924
5,27,2.8777742
5,28,2.7503173
5,29,3.9212866
5,30,4.5062056
5,31,6.2290163
6,0,6.7724566
6,1,5.0823407
6,2,4.1081314
6,3,3.4211357
6,4,5.1758
6,5,4.33445
6,6,3.7230537
6,7,4.015829
6,8,4.0655456
6,9,3.685748
6,10,7.6817436
6,11,3.2062292
6,12,5.348663
6,13,6.1822915
