month,projection,precip
1,0,8.317054
1,1,44.379513
1,2,-9.3876505
1,3,3.6341228
1,4,21.347914
1,5,-17.332748
1,6,3.6506002
1,7,17.208948
1,8,4.4713464
1,9,19.44923
1,10,-0.12887615
1,11,29.06846
1,12,16.987013
1,13,19.159088
1,14,41.819115
1,15,4.234066
1,16,4.4725018
1,17,27.723984
1,18,54.58439
1,19,7.1780024
1,20,-4.002212
1,21,20.775427
1,22,8.994885
1,23,21.654106
1,24,25.727957
1,25,29.189087
1,26,30.935574
1,27,4.3573227
1,28,19.861269
1,29,17.704523
1,30,-18.96313
1,31,-1.818309
2,0,37.211136
2,1,-2.607706
2,2,-9.865306
2,3,-21.837309
2,4,5.3815813
2,5,18.061192
2,6,32.237507
2,7,29.566156
2,8,2.1999614
2,9,1.6127961
2,10,-9.844622
2,11,51.16063
2,12,48.569103
2,13,8.423024
2,14,7.8276315
2,15,19.911585
2,16,15.261343
2,17,18.438034
2,18,12.7499075
2,19,38.72555
2,20,-14.8914995
2,21,11.024212
2,22,-24.60563
2,23,14.242941
2,24,72.418144
2,25,27.388903
2,26,42.19811
2,27,16.090765
2,28,18.934683
2,29,13.4858
2,30,-9.215877
2,31,15.995781
3,0,-0.14309208
3,1,20.854733
3,2,-22.192942
3,3,14.704225
3,4,23.22195
3,5,-8.305534
3,6,27.188704
3,7,-30.428473
3,8,15.348034
3,9,11.622021
3,10,28.52157
3,11,8.913165
3,12,6.050356
3,13,9.113899
3,14,44.914433
3,15,-33.50775
3,16,-0.17603579
3,17,37.299778
3,18,61.33895
3,19,21.06494
3,20,3.1119337
3,21,-8.036932
3,22,26.251448
3,23,51.708996
3,24,78.90896
3,25,54.202484
3,26,35.513023
3,27,29.358154
3,28,-2.6077385
3,29,-2.785779
3,30,9.306254
3,31,84.26992
4,0,-22.218674
4,1,6.319628
4,2,8.06052
4,3,9.625491
4,4,8.518028
4,5,33.696545
4,6,9.458539
4,7,-19.85909
4,8,39.541332
4,9,2.564246
4,10,42.58376
4,11,7.3708115
4,12,-6.716267
4,13,39.778526
4,14,-24.794176
4,15,17.414436
4,16,13.58624
4,17,-9.367269
4,18,20.318485
4,19,-23.998894
4,20,14.744743
4,21,31.140053
4,22,16.019615
4,23,42.415947
4,24,61.627354
4,25,31.991404
4,26,2.394783
4,27,13.353322
4,28,23.632877
4,29,12.281598
4,30,4.0832396
4,31,13.004208
5,0,-2.2863123
5,1,-8.094736
5,2,19.380335
5,3,-2.74925
5,4,-23.850729
5,5,2.3195238
5,6,10.866249
5,7,52.256115
5,8,-16.957127
5,9,13.558665
5,10,5.361223
5,11,18.889635
5,12,3.3915813
5,13,12.241922
5,14,30.295843
5,15,-16.046711
5,16,42.692986
5,17,9.533182
5,18,-0.66202015
5,19,11.610697
5,20,-24.229448
5,21,6.9660664
5,22,-24.095274
5,23,-17.953606
5,24,-6.176436
5,25,-10.165407
5,26,6.637258
5,27,-13.383903
5,28,-9.200534
5,29,24.102581
5,30,-30.101526
5,31,12.613501
6,0,-20.72622
6,1,12.114293
6,2,-26.243738
6,3,-16.449915
6,4,25.892553
6,5,-9.558596
6,6,21.89009
6,7,44.55644
6,8,-11.123325
6,9,11.475905
6,10,-37.738724
6,11,13.136882
6,12,4.830497
6,13,-9.639772
6,14,-13.295595
6,15,2.1120667
6,16,-9.608291
6,17,-8.864521
6,18,30.894274
6,19,5.669912
6,20,22.549084
6,21,-19.760807
6,22,-39.839245
6,23,-2.7459865
6,24,-2.8892174
6,25,1.7391208
6,26,-14.99438
6,27,-1.8068053
6,28,-8.807688
6,29,17.372292
6,30,-15.709393
6,31,17.327326
7,0,-34.92922
7,1,-10.25614
7,2,8.238668
7,3,-7.2359047
7,4,4.628913
7,5,-23.853722
7,6,-10.780915
7,7,10.139618
7,8,9.618818
7,9,-8.619807
7,10,-4.384508
7,11,-4.9361544
7,12,-11.355908
7,13,23.262325
7,14,-9.171518
7,15,44.268112
7,16,14.668796
7,17,-38.794224
7,18,-17.081116
7,19,-6.941933
7,20,-8.536112
7,21,3.4563403
7,22,-7.5589857
7,23,-23.055717
7,24,27.573061
7,25,-4.7075725
7,26,13.915992
7,27,0.099368066
7,28,-5.0364513
7,29,13.301704
7,30,-3.9082077
7,31,-15.474642
8,0,-32.18735
8,1,16.367826
8,2,-16.146376
8,3,-35.668106
8,4,8.336142
8,5,-0.13633172
8,6,-8.870327
8,7,-12.734638
8,8,-0.66438514
8,9,15.708761
8,10,-19.05346
8,11,-8.856308
8,12,3.6851246
8,13,14.068231
8,14,9.0134535
8,15,15.359672
8,16,-7.2085023
8,17,-36.627895
8,18,8.091279
8,19,-25.248491
8,20,-27.362364
8,21,13.936072
8,22,21.266678
8,23,16.254889
8,24,20.615921
8,25,40.021393
8,26,-2.7592554
8,27,-4.3632064
8,28,17.519375
8,29,18.02322
8,30,-7.91624
8,31,-4.110876
9,0,-15.687572
9,1,9.324018
9,2,-17.829912
9,3,-11.335883
9,4,-6.967302
9,5,11.414852
9,6,22.4142
9,7,35.059254
9,8,-15.672914
9,9,20.741304
9,10,33.32877
9,11,-11.71951
9,12,31.529453
9,13,-5.636914
9,14,-1.7479094
9,15,-10.974184
9,16,1.2095994
9,17,-31.642256
9,18,-8.899718
9,19,5.582143
9,20,-37.490967
9,21,-5.6289377
9,22,-16.547195
9,23,-4.2201757
9,24,5.543999
9,25,23.770752
9,26,23.979578
9,27,8.51497
9,28,-11.460166
9,29,-0.6660396
9,30,-10.551277
9,31,31.036928
10,0,-32.34115
10,1,21.666721
10,2,-33.784767
10,3,2.273486
10,4,-28.336668
10,5,-1.0429946
10,6,-19.476133
10,7,-3.7020643
10,8,1.8527305
10,9,14.649795
10,10,0.67965794
10,11,21.035286
10,12,26.408873
10,13,1.9590874
10,14,-16.386946
10,15,36.52764
10,16,-4.629548
10,17,-20.587658
10,18,-3.831437
10,19,-13.6076975
10,20,-22.848906
10,21,0.88319665
10,22,28.589943
10,23,32.52766
10,24,7.688647
10,25,-19.118752
10,26,3.4228232
10,27,-29.139265
10,28,-14.906241
10,29,19.830551
10,30,-3.4124413
10,31,-4.812484
11,0,21.35419
11,1,-1.188035
11,2,-5.3340645
11,3,-1.3237946
11,4,27.280262
11,5,33.368908
11,6,27.79915
11,7,-5.5859804
11,8,4.7747936
11,9,16.135044
11,10,-21.856058
11,11,36.572483
11,12,9.564381
11,13,6.405603
11,14,4.7789326
11,15,-17.722828
11,16,-26.001225
11,17,26.192083
11,18,19.073864
11,19,50.345535
11,20,65.2755
11,21,9.285343
11,22,45.924793
11,23,-26.399406
11,24,1.2036355
11,25,-3.07349
11,26,36.318333
11,27,2.4272249
11,28,16.348978
11,29,-8.171713
11,30,-10.651747
11,31,30.585611
12,0,32.52507
12,1,20.347677
12,2,19.841627
12,3,22.78659
12,4,-2.199008
12,5,63.99641
12,6,7.483978
12,7,21.658564
12,8,6.406956
12,9,8.756996
12,10,6.400939
12,11,4.1112647
12,12,-4.369248
12,13,29.003477
12,14,6.172158
12,15,14.270086
12,16,-15.181775
12,17,-18.34611
12,18,-10.445902
12,19,-7.947535
12,20,22.718306
12,21,7.567007
12,22,7.927169
12,23,36.114902
