season,projection,precip
DJF,0,24.887497
DJF,1,25.189928
DJF,2,4.1829844
DJF,3,12.616035
DJF,4,29.92762
DJF,5,32.157936
DJF,6,13.462951
DJF,7,27.571959
DJF,8,7.9661474
DJF,9,3.9307542
DJF,10,-9.810751
DJF,11,27.763758
DJF,12,11.829379
DJF,13,21.05288
DJF,14,12.0466795
DJF,15,13.103655
DJF,16,-1.685193
DJF,17,33.673412
DJF,18,31.171885
DJF,19,25.663795
DJF,20,1.9985342
DJF,21,23.177505
DJF,22,-15.601742
DJF,23,25.980976
DJF,24,36.345337
DJF,25,6.091223
DJF,26,31.788862
DJF,27,14.618206
DJF,28,29.854643
DJF,29,20.3889
DJF,30,2.1170588
DJF,31,10.900064
JJA,0,-23.314915
JJA,1,10.748867
JJA,2,8.836148
JJA,3,-6.553189
JJA,4,8.160716
JJA,5,5.6612883
JJA,6,4.803159
JJA,7,16.507875
JJA,8,6.0836496
JJA,9,7.8567543
JJA,10,-26.30487
JJA,11,-0.9728119
JJA,12,0.12374961
JJA,13,9.410375
JJA,14,18.949463
JJA,15,21.598917
JJA,16,15.187738
JJA,17,-23.146425
JJA,18,-1.4792331
JJA,19,-4.299676
JJA,20,-2.7118313
JJA,21,0.44854298
JJA,22,-18.27744
JJA,23,6.675359
JJA,24,17.342388
JJA,25,7.421893
JJA,26,5.357261
JJA,27,-5.0348215
JJA,28,10.615661
JJA,29,16.702398
JJA,30,-4.163128
JJA,31,-4.1093903
MAM,0,0.8953788
MAM,1,5.084663
MAM,2,2.3918774
MAM,3,9.576896
MAM,4,-1.9338236
MAM,5,15.737012
MAM,6,11.834987
MAM,7,-2.1029918
MAM,8,8.720847
MAM,9,7.0531235
MAM,10,25.008175
MAM,11,16.389555
MAM,12,-3.6661484
MAM,13,16.422653
MAM,14,9.325401
MAM,15,4.3912864
MAM,16,28.356045
MAM,17,11.985464
MAM,18,21.992294
MAM,19,7.0303993
MAM,20,-2.1465015
MAM,21,9.36415
MAM,22,1.3977284
MAM,23,24.050873
MAM,24,37.87111
MAM,25,13.04684
MAM,26,3.8386517
MAM,27,4.038421
MAM,28,14.419081
MAM,29,19.734114
MAM,30,-1.5300407
MAM,31,21.182278
SON,0,-13.597766
SON,1,10.711876
SON,2,-4.64784
SON,3,-12.013671
SON,4,-4.3289404
SON,5,8.355546
SON,6,10.837135
SON,7,3.410644
SON,8,-25.455692
SON,9,25.257423
SON,10,7.8880563
SON,11,20.203224
SON,12,10.12546
SON,13,4.137801
SON,14,19.577923
SON,15,6.206581
SON,16,0.036009237
SON,17,-11.910354
SON,18,-6.445615
SON,19,14.757522
SON,20,-10.095556
SON,21,-9.17987
SON,22,12.0624
SON,23,7.182304
SON,24,-2.0736117
SON,25,2.9813175
SON,26,-1.8229332
SON,27,-1.9318461
SON,28,6.434437
SON,29,3.6451511
SON,30,-0.6923916
SON,31,2.9392264
