season,projection,Tair
DJF,0,3.211326
DJF,1,4.111551
DJF,2,4.7144856
DJF,3,3.51716
DJF,4,4.3704095
DJF,5,3.4958599
DJF,6,4.020259
DJF,7,3.1945958
DJF,8,3.4188654
DJF,9,4.7754107
DJF,10,5.314935
DJF,11,3.5709002
DJF,12,5.1567473
DJF,13,5.2765822
DJF,14,4.0256724
DJF,15,2.7249796
DJF,16,1.7333294
DJF,17,7.988745
DJF,18,6.757389
DJF,19,5.4115634
DJF,20,2.2167616
DJF,21,3.8442385
DJF,22,4.9343696
DJF,23,5.493685
DJF,24,6.1945834
DJF,25,5.4212995
DJF,26,3.354183
DJF,27,4.318993
DJF,28,1.8208381
DJF,29,4.916057
DJF,30,3.2585933
DJF,31,4.75348
JJA,0,7.230257
JJA,1,4.4621315
JJA,2,4.707717
JJA,3,4.62901
JJA,4,4.8773804
JJA,5,4.5084286
JJA,6,4.0502744
JJA,7,4.10821
JJA,8,4.756596
JJA,9,3.6401482
JJA,10,6.854346
JJA,11,3.3703718
JJA,12,5.305449
JJA,13,6.730108
JJA,14,3.7158816
JJA,15,2.3541985
JJA,16,3.1301558
JJA,17,6.9426003
JJA,18,4.0667334
JJA,19,5.8193617
JJA,20,2.1010666
JJA,21,5.917597
JJA,22,5.6743526
JJA,23,5.129431
JJA,24,5.0507927
JJA,25,4.262307
JJA,26,3.9778025
JJA,27,4.4971504
JJA,28,2.784011
JJA,29,3.513383
JJA,30,4.985218
JJA,31,7.204185
MAM,0,4.0320716
MAM,1,3.922459
MAM,2,3.097863
MAM,3,3.3888016
MAM,4,6.5539317
MAM,5,2.4573739
MAM,6,2.4723718
MAM,7,4.4849024
MAM,8,3.916226
MAM,9,2.9700317
MAM,10,4.209245
MAM,11,3.3056402
MAM,12,5.3202167
MAM,13,5.1449676
MAM,14,3.2868757
MAM,15,3.4021242
MAM,16,3.1270266
MAM,17,5.944877
MAM,18,3.196927
MAM,19,3.566931
MAM,20,1.6646141
MAM,21,4.0339494
MAM,22,3.9657743
MAM,23,5.636467
MAM,24,5.720988
MAM,25,7.374293
MAM,26,2.3548198
MAM,27,3.3973656
MAM,28,2.7657084
MAM,29,4.130504
MAM,30,3.9796135
MAM,31,5.7813096
SON,0,6.0511236
SON,1,4.8277373
SON,2,5.832286
SON,3,4.313495
SON,4,5.5946226
SON,5,4.5789657
SON,6,4.4001927
SON,7,4.935093
SON,8,5.6650414
SON,9,3.5435731
SON,10,5.3504224
SON,11,2.9609733
SON,12,5.917066
SON,13,6.3540816
SON,14,4.1418233
SON,15,3.1906304
SON,16,4.0786366
SON,17,7.104472
SON,18,5.793709
SON,19,5.7689857
SON,20,2.5578988
SON,21,5.1350884
SON,22,5.7420387
SON,23,4.839213
SON,24,4.7830987
SON,25,5.021926
SON,26,4.20725
SON,27,5.366054
SON,28,2.7412415
SON,29,5.2729583
SON,30,5.4435554
SON,31,7.2233853
