month,projection,Tair
1,0,3.6240995
1,1,4.038598
1,2,3.993082
1,3,3.0079415
1,4,4.8966203
1,5,2.2019365
1,6,4.0233254
1,7,3.2286363
1,8,2.7709424
1,9,4.3285375
1,10,3.9487917
1,11,2.539191
1,12,4.6314926
1,13,6.657789
1,14,1.4043891
1,15,1.8786981
1,16,1.0317999
1,17,7.5902033
1,18,5.6270065
1,19,4.7389364
1,20,1.9605103
1,21,2.5932112
1,22,3.1822963
1,23,5.3746
1,24,7.5386147
1,25,5.5417724
1,26,4.13896
1,27,4.4476123
1,28,1.1415052
1,29,4.337671
1,30,2.7422407
1,31,3.709125
2,0,3.3629751
2,1,2.8723376
2,2,3.6041842
2,3,3.7013462
2,4,3.8757756
2,5,4.026406
2,6,3.6288056
2,7,3.9958708
2,8,4.337954
2,9,3.187488
2,10,3.954679
2,11,4.0981526
2,12,3.4191434
2,13,4.8504767
2,14,2.993044
2,15,2.3544507
2,16,0.8846037
2,17,6.5691676
2,18,5.2353983
2,19,6.154328
2,20,1.9794041
2,21,1.7655741
2,22,3.8808646
2,23,6.813712
2,24,7.355626
2,25,4.1220565
2,26,1.3816011
2,27,4.494406
2,28,2.1343586
2,29,3.916243
2,30,3.536959
2,31,5.37615
3,0,2.7562122
3,1,3.2594023
3,2,3.451861
3,3,2.8651185
3,4,6.5919375
3,5,1.6202027
3,6,4.197725
3,7,6.628897
3,8,5.3012047
3,9,1.7127697
3,10,3.2078035
3,11,3.100018
3,12,4.7483644
3,13,5.4670267
3,14,2.5272682
3,15,2.4581995
3,16,3.1662824
3,17,4.630725
3,18,2.4295611
3,19,2.347502
3,20,1.4871154
3,21,5.14439
3,22,4.437936
3,23,8.014223
3,24,7.5803027
3,25,7.151332
3,26,2.1740942
3,27,3.1750023
3,28,2.386171
3,29,3.6708493
3,30,2.8240283
3,31,6.010643
4,0,3.0811481
4,1,3.5260015
4,2,2.8209803
4,3,2.9381654
4,4,6.916258
4,5,2.2599242
4,6,3.2901378
4,7,4.3882365
4,8,2.869773
4,9,2.8283021
4,10,4.409985
4,11,2.8307607
4,12,6.56095
4,13,5.6378365
4,14,3.9081213
4,15,2.9517124
4,16,3.9374707
4,17,4.6536636
4,18,2.94053
4,19,3.19233
4,20,-0.008176875
4,21,1.8904454
4,22,2.9662538
4,23,5.211714
4,24,5.1530094
4,25,9.258086
4,26,1.3521124
4,27,3.6648595
4,28,2.7962384
4,29,5.186885
4,30,3.6348274
4,31,5.9183106
5,0,5.075995
5,1,5.339152
5,2,1.7886505
5,3,4.084066
5,4,6.403855
5,5,4.009378
5,6,2.623069
5,7,4.565754
5,8,3.301037
5,9,2.1093562
5,10,3.8593278
5,11,3.8903565
5,12,5.597705
5,13,7.5554986
5,14,2.9551358
5,15,4.2468905
5,16,2.4520762
5,17,6.950649
5,18,4.386464
5,19,4.0428047
5,20,1.9339439
5,21,3.9712665
5,22,4.8710613
5,23,6.1928988
5,24,6.041743
5,25,8.727255
5,26,3.2781596
5,27,2.5849543
5,28,2.9126816
5,29,4.772411
5,30,4.3855205
5,31,6.174051
6,0,6.1637864
6,1,5.3863444
6,2,3.9352958
6,3,3.6687984
6,4,5.7574797
6,5,4.2942586
6,6,4.2737727
6,7,5.0545106
6,8,4.3562284
6,9,4.096007
6,10,7.1414924
6,11,4.1722727
6,12,5.3141193
6,13,6.2261496
6,14,4.0119734
6,15,3.0650053
6,16,3.3766341
6,17,6.4170866
6,18,4.5280166
6,19,5.9847383
6,20,2.4421782
6,21,5.8536406
6,22,5.6418242
6,23,4.5018797
6,24,4.8024244
6,25,4.2625976
6,26,3.266642
6,27,4.2517896
6,28,2.8305948
6,29,4.1335254
6,30,4.484303
6,31,6.674455
7,0,7.0070987
7,1,5.237454
7,2,4.542749
7,3,4.8276944
7,4,4.544235
7,5,4.183314
7,6,4.167476
7,7,4.480779
7,8,5.7801437
7,9,3.9645004
7,10,5.581113
7,11,3.6270125
7,12,5.5712576
7,13,6.2793093
7,14,2.4629116
7,15,1.7973169
7,16,3.065177
7,17,7.004117
7,18,4.56995
7,19,5.6222067
7,20,1.9204462
7,21,4.884173
7,22,5.6101975
7,23,4.5000377
7,24,3.8577907
7,25,3.7848105
7,26,3.464595
7,27,3.7642267
7,28,2.8142662
7,29,3.9770525
7,30,5.5097
7,31,7.748432
8,0,6.7186766
8,1,4.117887
8,2,4.8764844
8,3,5.080557
8,4,4.7633696
8,5,4.4904985
8,6,4.2784624
8,7,4.3720093
8,8,5.5344415
8,9,3.4727542
8,10,6.3273506
8,11,3.5418823
8,12,5.3011694
8,13,7.245253
8,14,3.7181835
8,15,2.19799
8,16,2.907269
8,17,7.510954
8,18,4.980458
8,19,6.1889315
8,20,2.1697533
8,21,6.370913
8,22,4.8088274
8,23,4.6167984
8,24,4.9375286
8,25,3.2360675
8,26,4.412159
8,27,4.5194664
8,28,3.0605094
8,29,3.649102
8,30,5.0682077
8,31,6.7531567
9,0,6.0684648
9,1,4.6212306
9,2,4.893067
9,3,4.8655906
9,4,4.4701104
9,5,4.4082985
9,6,4.7411222
9,7,4.3414655
9,8,5.4593725
9,9,2.889521
9,10,4.654193
9,11,3.2585483
9,12,5.3170033
9,13,6.612952
9,14,3.993803
9,15,2.0346112
9,16,3.9538112
9,17,7.816554
9,18,5.496319
9,19,5.4900928
9,20,2.0059903
9,21,4.549651
9,22,5.0828385
9,23,4.6464667
9,24,4.38207
9,25,3.2307768
9,26,3.1025457
9,27,5.120693
9,28,1.958967
9,29,4.2883363
9,30,6.0980573
9,31,6.940556
10,0,5.87341
10,1,3.6066163
10,2,4.4629617
10,3,3.2120097
10,4,4.626239
10,5,3.6473634
10,6,3.632852
10,7,3.8576834
10,8,5.236751
