month,projection,precip
1,0,-6.451319
1,1,14.85619
1,2,-11.988883
1,3,-17.221144
1,4,23.891056
1,5,-13.2138195
1,6,-6.977553
1,7,10.878251
1,8,10.670911
1,9,20.044184
1,10,-6.56375
1,11,10.197427
1,12,21.316423
1,13,17.959175
1,14,3.4114852
1,15,7.324738
1,16,-5.470895
1,17,14.618783
1,18,18.69986
1,19,-6.746136
1,20,15.974554
1,21,10.669334
1,22,-1.5463743
1,23,24.301378
1,24,16.836891
1,25,6.7925396
1,26,27.644993
1,27,-0.18124306
1,28,15.455
1,29,11.844453
1,30,-15.286123
1,31,-2.2332273
2,0,4.454728
2,1,-7.0127716
2,2,-6.998674
2,3,-5.8216786
2,4,7.674347
2,5,13.767168
2,6,-0.91191167
2,7,-2.8357346
2,8,-4.641132
2,9,14.066601
2,10,-19.00611
2,11,36.61904
2,12,5.1911225
2,13,9.428568
2,14,6.0342836
2,15,-3.296291
2,16,-3.5431068
2,17,4.261226
2,18,9.751781
2,19,24.700909
2,20,4.7548933
2,21,14.058483
2,22,-9.864733
2,23,-4.662427
2,24,45.365746
2,25,7.3416514
2,26,30.577105
2,27,3.5100932
2,28,4.85983
2,29,-3.775764
2,30,-13.479313
2,31,0.8399808
3,0,10.224494
3,1,-1.2351475
3,2,-6.977337
3,3,-0.86496407
3,4,6.680793
3,5,-3.0798728
3,6,11.131772
3,7,9.430487
3,8,-13.797471
3,9,10.524709
3,10,3.4778981
3,11,10.528559
3,12,13.935216
3,13,21.537996
3,14,13.630964
3,15,-20.389746
3,16,-19.903248
3,17,4.8539886
3,18,14.856804
3,19,6.657026
3,20,11.185615
3,21,-8.669427
3,22,1.1298952
3,23,46.700237
3,24,39.152412
3,25,8.703619
3,26,17.24715
3,27,23.970465
3,28,-4.994908
3,29,6.991683
3,30,-14.765784
3,31,36.338696
4,0,-6.0110083
4,1,-8.942432
4,2,1.709281
4,3,11.656831
4,4,16.870016
4,5,28.670841
4,6,5.7800517
4,7,-14.757389
4,8,6.7223854
4,9,-0.7724712
4,10,14.211583
4,11,9.359017
4,12,-8.965011
4,13,30.696222
4,14,-1.8976837
4,15,6.7540874
4,16,13.150099
4,17,-11.998912
4,18,-6.7320733
4,19,-14.25697
4,20,1.9121865
4,21,6.9767385
4,22,-7.8064113
4,23,51.15419
4,24,76.400604
4,25,48.065678
4,26,7.682278
4,27,3.5254457
4,28,2.3747165
4,29,8.764622
4,30,-2.4343708
4,31,14.287211
5,0,-20.83967
5,1,-15.047757
5,2,4.1196656
5,3,-12.842978
5,4,-30.132792
5,5,13.444953
5,6,21.069613
5,7,31.615746
5,8,-13.758452
5,9,14.320225
5,10,6.9833436
5,11,1.4103631
5,12,-7.626226
5,13,20.422558
5,14,7.0638547
5,15,-17.812792
5,16,24.676508
5,17,-14.52985
5,18,-14.618559
5,19,-1.8129267
5,20,-21.567188
5,21,8.938969
5,22,-21.678455
5,23,-17.842842
5,24,4.135948
5,25,-1.0202557
5,26,-7.0180445
5,27,0.4864062
5,28,7.586798
5,29,11.513613
5,30,-27.413097
5,31,40.61338
6,0,-23.232819
6,1,-9.586963
6,2,-20.425234
6,3,-17.491234
6,4,20.619879
6,5,-8.755135
6,6,2.8220732
6,7,4.6249332
6,8,-18.137089
6,9,0.77868724
6,10,-43.50091
6,11,10.139303
6,12,6.337256
6,13,-12.605731
6,14,-23.967966
6,15,-19.875536
6,16,1.3804632
6,17,3.1478887
6,18,9.805426
6,19,-0.62236387
6,20,22.5976
6,21,-25.035975
6,22,-33.22274
6,23,-13.3920355
6,24,-19.786575
6,25,3.0112371
6,26,-8.367132
6,27,-7.175414
6,28,-9.658291
6,29,0.36884955
6,30,-18.795568
6,31,31.083145
7,0,-20.097927
7,1,-13.798644
7,2,-5.757548
7,3,6.2337513
7,4,15.220819
7,5,-6.434094
7,6,0.21722707
7,7,9.529803
7,8,-5.3816605
7,9,2.6197982
7,10,2.7418523
7,11,-17.148472
7,12,-6.5314555
7,13,25.53826
7,14,-7.1283154
7,15,51.418106
7,16,7.8951054
7,17,-23.812979
7,18,-19.980976
7,19,-5.713553
7,20,-12.1453
7,21,1.208328
7,22,21.17363
7,23,-20.123453
7,24,16.120893
7,25,20.41829
7,26,8.140371
7,27,-0.7292344
7,28,7.5616503
7,29,44.305252
7,30,-23.046951
7,31,-16.798628
8,0,-19.149742
8,1,3.2037637
8,2,-11.780518
8,3,-26.63794
8,4,34.319706
8,5,3.147396
8,6,-10.108118
8,7,4.4611197
8,8,-1.7910993
8,9,13.098566
8,10,2.8989708
8,11,-5.931266
8,12,9.362084
8,13,33.531235
8,14,31.551394
8,15,29.891565
8,16,-6.0015464
8,17,-28.746262
8,18,-10.970696
8,19,-19.86621
8,20,-18.915295
8,21,4.782452
8,22,31.0226
8,23,5.254673
8,24,5.458846
8,25,43.923985
8,26,6.0041976
8,27,2.175334
8,28,17.964685
8,29,17.911407
8,30,-3.2857
8,31,-4.255769
9,0,-17.432123
9,1,1.2838138
9,2,-10.89393
9,3,-18.464418
9,4,12.096982
9,5,13.544609
9,6,7.6690173
9,7,15.552515
9,8,-24.090797
9,9,34.087738
9,10,51.1826
9,11,-11.389101
9,12,8.870331
9,13,-0.22462963
9,14,10.204499
9,15,-3.8606565
9,16,-3.3243074
9,17,-26.336557
9,18,-6.3093057
9,19,-11.435027
9,20,-43.10363
9,21,3.48439
9,22,-22.658985
9,23,-22.955652
9,24,5.9711194
9,25,22.479633
9,26,32.247253
9,27,26.656324
9,28,-6.905186
9,29,1.481916
9,30,-17.930674
9,31,21.421381
10,0,-31.947598
10,1,2.7054636
10,2,-20.879705
10,3,-12.172983
10,4,-9.764816
10,5,-4.7966337
10,6,-13.755584
10,7,-7.81055
10,8,-2.0631754
10,9,-1.7851088
10,10,2.738352
10,11,-3.4723017
10,12,-2.8671954
10,13,-8.464841
10,14,-0.14333498
10,15,5.6539593
10,16,-0.32992926
10,17,-28.688019
10,18,-12.593349
10,19,-12.183222
10,20,-26.080864
10,21,2.8128183
10,22,13.018848
10,23,20.634912
10,24,2.97198
10,25,-10.478017
10,26,-0.46260282
10,27,-17.794518
10,28,-24.519976
10,29,17.246424
10,30,-14.426255
10,31,58.09646
11,0,-8.402082
11,1,-14.073722
11,2,-10.435098
11,3,-13.133095
11,4,22.729757
11,5,0.95806766
11,6,4.3787894
11,7,-11.438599
11,8,-17.295265
11,9,-0.54209584
11,10,-17.863903
11,11,15.863724
11,12,-6.888188
11,13,3.5985363
11,14,-1.9298365
11,15,2.8050065
11,16,-5.9224973
11,17,-7.0230374
11,18,-1.4142792
11,19,4.153354
11,20,38.77243
11,21,7.7531695
11,22,9.72508
11,23,-21.409071
11,24,2.3699288
11,25,1.8077731
11,26,29.952547
11,27,13.5248165
11,28,22.494724
11,29,1.428016
11,30,-0.49038512
11,31,42.9229
12,0,19.04881
12,1,6.294856
12,2,9.659944
12,3,16.828836
12,4,-5.2360067
12,5,38.148136
12,6,-8.855236
12,7,18.738544
12,8,-2.6868315
12,9,12.328008
12,10,-7.98538
12,11,-0.36218646
12,12,-2.6634614
12,13,7.535998
12,14,14.21566
12,15,21.69249
12,16,-13.10459
12,17,-9.662702
12,18,-12.535107
12,19,-3.9556108
12,20,3.8892837
12,21,8.706375
12,22,3.140615
12,23,19.493135
12,24,27.487411
12,25,-1.0628086
12,26,-1.3725624
12,27,-0.6948619
12,28,-11.042419
12,29,4.8192697
12,30,21.686655
12,31,1.8820918
