season,projection,precip
DJF,0,3.3484988
DJF,1,12.40911
DJF,2,-3.844636
DJF,3,-4.371163
DJF,4,19.893398
DJF,5,21.695065
DJF,6,-2.4491324
DJF,7,12.109227
DJF,8,4.758703
DJF,9,11.061694
DJF,10,-11.2146635
DJF,11,12.717575
DJF,12,8.782476
DJF,13,20.018179
DJF,14,10.381809
DJF,15,-0.78718233
DJF,16,4.8702173
DJF,17,7.882096
DJF,18,17.171534
DJF,19,9.456563
DJF,20,10.434939
DJF,21,13.5044155
DJF,22,-9.413893
DJF,23,25.416813
DJF,24,36.960594
DJF,25,8.943186
DJF,26,26.319021
DJF,27,7.5800433
DJF,28,5.9594145
DJF,29,12.426534
DJF,30,0.49435726
DJF,31,-1.3653293
JJA,0,-13.744119
JJA,1,-1.9037429
JJA,2,-2.738902
JJA,3,-9.275021
JJA,4,26.950968
JJA,5,6.3952208
JJA,6,-1.1313119
JJA,7,4.3764925
JJA,8,-6.6926904
JJA,9,14.834586
JJA,10,-22.10565
JJA,11,7.376186
JJA,12,-0.5971093
JJA,13,19.17429
JJA,14,28.340372
JJA,15,23.124277
JJA,16,0.41635367
JJA,17,-22.695358
JJA,18,-17.737114
JJA,19,-10.120158
JJA,20,-7.4990706
JJA,21,-4.601263
JJA,22,-8.465145
JJA,23,-0.82674706
JJA,24,8.146734
JJA,25,15.504911
JJA,26,7.8768296
JJA,27,-1.211248
JJA,28,5.4499855
JJA,29,26.938782
JJA,30,-9.269458
JJA,31,-1.3891401
MAM,0,-6.0788536
MAM,1,-14.448052
MAM,2,-1.8240217
MAM,3,2.6995134
MAM,4,4.113175
MAM,5,8.928315
MAM,6,5.4573307
MAM,7,1.4599578
MAM,8,-10.461223
MAM,9,7.19516
MAM,10,9.710811
MAM,11,18.5106
MAM,12,0.17791143
MAM,13,21.403261
MAM,14,12.87513
MAM,15,5.5619903
MAM,16,7.970925
MAM,17,-5.274581
MAM,18,-3.9622116
MAM,19,-1.4032167
MAM,20,-0.14498463
MAM,21,0.30250266
MAM,22,-6.042504
MAM,23,40.02901
MAM,24,35.436226
MAM,25,11.579739
MAM,26,-4.106674
MAM,27,5.9119377
MAM,28,12.208104
MAM,29,10.044399
MAM,30,-10.797163
MAM,31,29.063543
SON,0,-20.12029
SON,1,-12.648715
SON,2,-2.8660727
SON,3,-13.9999075
SON,4,9.817647
SON,5,3.3309736
SON,6,-4.1520877
SON,7,-4.290399
SON,8,-22.600315
SON,9,4.9629917
SON,10,9.710478
SON,11,15.509115
SON,12,-5.2937484
SON,13,0.834566
SON,14,21.0594
SON,15,10.3626375
SON,16,-2.0276415
SON,17,-22.878874
SON,18,-12.937476
SON,19,-5.7821136
SON,20,-1.9738758
SON,21,-9.228262
SON,22,-5.3328757
SON,23,-6.6039124
SON,24,-2.5567124
SON,25,4.494239
SON,26,11.040081
SON,27,6.620746
SON,28,11.330782
SON,29,9.031975
SON,30,-7.480644
SON,31,27.89497
