season,projection,Tair
DJF,0,5.910447
DJF,1,3.458587
DJF,2,4.8085465
DJF,3,3.5062025
DJF,4,6.449506
DJF,5,3.5075226
DJF,6,4.086194
DJF,7,5.335002
DJF,8,5.1190305
DJF,9,4.5725713
DJF,10,4.7665987
DJF,11,4.6500063
DJF,12,4.857997
DJF,13,6.201984
DJF,14,3.341871
DJF,15,2.4053552
DJF,16,2.1485224
DJF,17,7.707841
DJF,18,5.631282
DJF,19,6.1120768
DJF,20,2.9826188
DJF,21,4.4312325
DJF,22,5.8604884
DJF,23,7.969417
DJF,24,7.747059
DJF,25,4.641084
DJF,26,3.4981952
DJF,27,3.5163312
DJF,28,1.9863333
DJF,29,5.0137215
DJF,30,3.1885715
DJF,31,4.6063914
JJA,0,7.6365743
JJA,1,5.847837
JJA,2,4.7943187
JJA,3,4.9448895
JJA,4,6.017241
JJA,5,4.7296414
JJA,6,4.944438
JJA,7,5.746189
JJA,8,6.6924677
JJA,9,4.780414
JJA,10,7.5863686
JJA,11,3.999377
JJA,12,6.1823997
JJA,13,8.2992525
JJA,14,2.4432254
JJA,15,2.633962
JJA,16,3.8909419
JJA,17,8.658536
JJA,18,6.1765804
JJA,19,6.792534
JJA,20,3.0229018
JJA,21,6.1856546
JJA,22,7.2200394
JJA,23,5.9281416
JJA,24,5.6948075
JJA,25,5.031426
JJA,26,4.26452
JJA,27,4.2481213
JJA,28,2.9974031
JJA,29,5.134876
JJA,30,5.9872913
JJA,31,8.233908
MAM,0,5.1089344
MAM,1,4.9715996
MAM,2,3.425171
MAM,3,4.299286
MAM,4,7.7522593
MAM,5,3.0695508
MAM,6,3.7919655
MAM,7,6.2719965
MAM,8,5.118643
MAM,9,3.3004556
MAM,10,4.5008135
MAM,11,4.2032447
MAM,12,6.7099357
MAM,13,7.4831715
MAM,14,4.40526
MAM,15,3.6336815
MAM,16,2.928238
MAM,17,6.337017
MAM,18,3.8910544
MAM,19,4.800936
MAM,20,2.0039282
MAM,21,5.1087184
MAM,22,4.8815928
MAM,23,7.6535225
MAM,24,7.56202
MAM,25,9.261947
MAM,26,2.8225553
MAM,27,2.7688837
MAM,28,3.5487216
MAM,29,5.6595893
MAM,30,3.991236
MAM,31,6.7010474
SON,0,6.694491
SON,1,5.36464
SON,2,5.136615
SON,3,4.2698636
SON,4,5.382889
SON,5,4.2361746
SON,6,4.376336
SON,7,5.717736
SON,8,6.427881
SON,9,3.8197389
SON,10,5.9066916
SON,11,2.8793557
SON,12,5.0268245
SON,13,7.1263576
SON,14,2.9373758
SON,15,2.1349719
SON,16,3.8375943
SON,17,7.2712917
SON,18,6.123485
SON,19,6.813717
SON,20,2.4714384
SON,21,4.745201
SON,22,5.296574
SON,23,5.4669976
SON,24,5.423998
SON,25,5.3629756
SON,26,3.9573934
SON,27,5.2163053
SON,28,2.7267478
SON,29,4.443414
SON,30,5.555992
SON,31,7.1971674
