month,projection,Tair
1,0,3.7643888
1,1,3.932678
1,2,3.9659176
1,3,2.2288778
1,4,4.863991
1,5,2.0453625
1,6,4.3109612
1,7,3.6699305
1,8,3.3334157
1,9,4.158747
1,10,4.576279
1,11,2.240035
1,12,4.8833895
1,13,6.7965193
1,14,1.1692234
1,15,1.0876868
1,16,0.5423066
1,17,7.7138844
1,18,5.9558764
1,19,5.079603
1,20,2.3603516
1,21,2.9331555
1,22,3.7364123
1,23,6.473357
1,24,7.8684106
1,25,5.9573226
1,26,4.6232047
1,27,5.6295233
1,28,0.6719384
1,29,4.464532
1,30,3.3931985
1,31,2.9617167
2,0,4.617577
2,1,2.6459374
2,2,3.5342042
2,3,3.2933772
2,4,3.7233076
2,5,3.5851421
2,6,4.2796006
2,7,5.013167
2,8,3.635986
2,9,2.7565036
2,10,4.7246413
2,11,3.732959
2,12,3.2780936
2,13,5.073746
2,14,2.6857073
2,15,2.555322
2,16,1.0995075
2,17,7.895075
2,18,5.7591243
2,19,7.068668
2,20,2.1446564
2,21,2.1999528
2,22,4.092193
2,23,8.50669
2,24,7.836036
2,25,4.52309
2,26,3.2827015
2,27,5.6923456
2,28,2.7429194
2,29,4.386622
2,30,4.5556855
2,31,4.8443213
3,0,5.209893
3,1,3.4405107
3,2,4.1245146
3,3,2.8380609
3,4,7.2294955
3,5,3.0152986
3,6,5.242903
3,7,9.339773
3,8,4.835325
3,9,2.1421435
3,10,3.648935
3,11,3.7445507
3,12,4.6738925
3,13,6.382371
3,14,2.5185916
3,15,2.4226656
3,16,3.6442466
3,17,7.5690436
3,18,4.1881967
3,19,3.5062783
3,20,2.0262918
3,21,6.3763175
3,22,5.4829893
3,23,12.334922
3,24,11.170852
3,25,8.553649
3,26,3.0014973
3,27,4.1977954
3,28,2.7508674
3,29,5.599015
3,30,3.5519874
3,31,6.891977
4,0,3.6080775
4,1,3.2934737
4,2,2.7381964
4,3,3.5657175
4,4,7.381371
4,5,3.2818487
4,6,4.0956187
4,7,5.9685388
4,8,2.6624224
4,9,2.919341
4,10,4.7618
4,11,2.9558663
4,12,6.5248523
4,13,5.5267744
4,14,3.9633796
4,15,2.0163972
4,16,3.883085
4,17,4.5856857
4,18,2.890428
4,19,3.0095568
4,20,0.14214249
4,21,2.1628697
4,22,3.497288
4,23,6.9841743
4,24,7.3323936
4,25,11.17185
4,26,1.0099577
4,27,3.4104712
4,28,2.7966924
4,29,5.495057
4,30,3.024645
4,31,6.1171994
5,0,5.28005
5,1,6.064436
5,2,1.8138136
5,3,3.9425192
5,4,5.9137774
5,5,4.467539
5,6,3.3229625
5,7,5.8343925
5,8,3.0382671
5,9,2.7926455
5,10,4.743946
5,11,4.693893
5,12,6.094547
5,13,6.8742466
5,14,3.8661437
5,15,3.837732
5,16,2.2589848
5,17,7.0385714
5,18,4.4419613
5,19,4.5187593
5,20,1.756846
5,21,3.9068737
5,22,4.6906075
5,23,6.387121
5,24,6.0019116
5,25,9.651606
5,26,3.335312
5,27,2.4618714
5,28,2.6100683
5,29,5.220334
5,30,3.7533295
5,31,5.8906903
6,0,5.3594623
6,1,5.1298013
6,2,3.734172
6,3,3.1427128
6,4,6.0020556
6,5,4.563166
6,6,4.7069635
6,7,5.2385783
6,8,4.0302124
6,9,4.09246
6,10,6.896774
6,11,4.075255
6,12,5.1070356
6,13,6.8208857
6,14,3.8088672
6,15,2.3668275
6,16,2.915011
6,17,6.04088
6,18,4.784975
6,19,6.0878315
6,20,2.6261666
6,21,5.8858547
6,22,5.29557
6,23,5.381378
6,24,5.244681
6,25,5.1194897
6,26,3.3553343
6,27,4.328814
6,28,2.89419
6,29,4.142352
6,30,4.502209
6,31,6.5442157
7,0,6.0847673
7,1,4.744109
7,2,4.331243
7,3,4.871506
7,4,5.0454884
7,5,4.6686745
7,6,4.296825
7,7,4.5445046
7,8,5.1226053
7,9,3.8762856
7,10,5.1697335
7,11,3.30237
7,12,5.5965934
7,13,7.402488
7,14,2.183241
7,15,1.964685
7,16,3.142584
7,17,6.3730383
7,18,4.4879937
7,19,5.436059
7,20,2.1431544
7,21,5.057745
7,22,5.3901877
7,23,4.779983
7,24,4.247908
7,25,4.349992
7,26,3.776406
7,27,3.536135
7,28,2.6976757
7,29,4.6660857
7,30,5.0433083
7,31,7.5941343
8,0,5.6549582
8,1,3.9440813
8,2,4.6610904
8,3,4.7033124
8,4,4.5760427
8,5,4.2553926
8,6,4.553826
8,7,3.942746
8,8,5.0255857
8,9,3.4844306
8,10,6.1118965
8,11,2.9787574
8,12,5.0972304
8,13,8.155707
8,14,2.786531
8,15,2.1937397
8,16,2.9450226
8,17,6.8628774
8,18,4.4922376
8,19,5.840888
8,20,2.1476142
8,21,6.5213537
8,22,4.3707013
8,23,4.53312
8,24,4.8674273
8,25,3.469108
8,26,4.439393
8,27,3.8735595
8,28,3.0841265
8,29,4.1708393
8,30,4.5612555
8,31,6.4346337
9,0,5.5013967
9,1,5.0725746
9,2,5.0231586
9,3,4.5537076
9,4,5.034768
9,5,4.205827
9,6,4.638196
9,7,3.8398006
9,8,4.7767816
9,9,2.8652291
9,10,4.9623322
9,11,3.196745
9,12,5.3842173
9,13,7.3884015
9,14,3.0260656
9,15,2.089905
9,16,3.9265702
9,17,7.468243
9,18,5.038385
9,19,4.839642
9,20,2.1024432
9,21,5.482298
9,22,5.2952743
9,23,5.5718174
9,24,4.58467
9,25,3.642316
9,26,3.26915
9,27,4.925674
9,28,1.8099185
9,29,4.499619
9,30,6.129104
9,31,6.6753426
10,0,5.0507298
10,1,3.595996
10,2,4.620031
10,3,2.9318542
10,4,4.475298
10,5,4.169926
10,6,3.9439397
10,7,3.706999
10,8,4.6988225
10,9,2.4143975
10,10,5.468588
10,11,3.6499329
10,12,4.6643887
10,13,3.9647555
10,14,3.631686
10,15,2.5823793
10,16,2.8224742
10,17,6.4318814
10,18,5.724568
10,19,5.3689704
10,20,0.9369218
10,21,4.511288
10,22,4.9748683
10,23,3.995307
10,24,4.5522313
10,25,5.2871075
10,26,4.519267
10,27,2.313331
10,28,1.0931689
10,29,4.9618607
10,30,4.451113
10,31,6.7084036
11,0,4.728075
11,1,4.011961
11,2,4.6550217
11,3,2.3288436
11,4,2.5932407
11,5,4.504007
11,6,3.5529711
11,7,5.692504
11,8,2.921022
11,9,3.2474263
11,10,2.5637188
11,11,0.24742943
11,12,5.628074
11,13,5.1419163
11,14,1.4631779
11,15,1.2287685
11,16,1.9286999
11,17,4.0456285
11,18,3.2805426
11,19,4.1559277
11,20,1.9092547
11,21,2.8550394
11,22,3.7029576
11,23,3.9821134
11,24,4.049107
11,25,4.5350137
11,26,2.6789718
11,27,4.1514254
11,28,2.1224933
11,29,4.447875
11,30,2.7992513
11,31,4.354426
12,0,2.612189
12,1,3.1797523
12,2,4.5284667
12,3,1.5002003
12,4,3.9116786
12,5,4.0852704
12,6,3.0753024
12,7,4.7179
12,8,3.773643
12,9,4.393672
12,10,4.098218
12,11,3.1586542
12,12,5.5106053
12,13,5.043244
12,14,2.5278013
12,15,1.367336
12,16,1.4744844
12,17,6.262817
12,18,6.1549625
12,19,4.691767
12,20,1.8206122
12,21,3.1895945
12,22,5.4314594
12,23,5.017661
12,24,4.3672395
12,25,5.2058945
12,26,3.8473115
12,27,1.8084311
12,28,1.5639433
12,29,5.4627275
12,30,0.39390534
12,31,2.942747
