month,projection,precip
1,0,-11.716658
1,1,12.770532
1,2,-11.539794
1,3,-20.040432
1,4,19.991947
1,5,-18.122414
1,6,-9.354124
1,7,2.5990093
1,8,0.9181731
1,9,28.899643
1,10,4.305507
1,11,-1.9480795
1,12,25.491774
1,13,15.017982
1,14,7.5563164
1,15,0.58654034
1,16,3.4293432
1,17,10.193023
1,18,30.96352
1,19,-2.0826225
1,20,30.680668
1,21,13.004719
1,22,-7.761448
1,23,6.655901
1,24,15.942218
1,25,1.7244035
1,26,21.176521
1,27,16.62378
1,28,32.868176
1,29,11.396553
1,30,-17.620947
1,31,39.934845
2,0,10.148544
2,1,-14.046333
2,2,-9.73673
2,3,-1.9923855
2,4,7.547944
2,5,19.92776
2,6,-7.134064
2,7,-5.444515
2,8,7.4092
2,9,16.313534
2,10,-12.581463
2,11,37.18592
2,12,2.0645802
2,13,18.658237
2,14,-5.6667156
2,15,-1.9771109
2,16,-0.95010644
2,17,5.4180665
2,18,5.603871
2,19,16.00769
2,20,5.986332
2,21,-4.7337255
2,22,-6.1323376
2,23,-5.9938474
2,24,27.47699
2,25,-2.9909985
2,26,10.48102
2,27,-0.96019953
2,28,5.221194
2,29,-7.285914
2,30,-5.0089946
2,31,28.89478
3,0,20.459711
3,1,7.7612057
3,2,-6.372701
3,3,-10.220206
3,4,-1.0198293
3,5,-11.769791
3,6,-3.4060736
3,7,30.540031
3,8,2.4461505
3,9,3.7466884
3,10,4.254561
3,11,9.244722
3,12,12.924661
3,13,26.818895
3,14,9.585366
3,15,-9.158345
3,16,-13.761379
3,17,8.418043
3,18,1.7442051
3,19,18.251827
3,20,19.482548
3,21,-5.923478
3,22,4.065373
3,23,49.883575
3,24,28.377415
3,25,15.157087
3,26,12.605131
3,27,30.409092
3,28,-7.113926
3,29,5.812271
3,30,-16.759161
3,31,51.427223
4,0,1.9888507
4,1,-8.983692
4,2,5.4841075
4,3,12.385049
4,4,22.500534
4,5,19.046803
4,6,6.5174327
4,7,6.883412
4,8,10.152049
4,9,10.724751
4,10,12.64555
4,11,15.442326
4,12,-7.4767246
4,13,31.656075
4,14,2.6259556
4,15,8.842623
4,16,18.617014
4,17,-14.443116
4,18,-6.582027
4,19,-13.621302
4,20,2.0272784
4,21,-2.3559399
4,22,-9.00833
4,23,71.87383
4,24,114.71876
4,25,70.39031
4,26,6.298817
4,27,0.6103761
4,28,6.4935684
4,29,6.326683
4,30,4.5462465
4,31,25.927946
5,0,-18.554184
5,1,-17.88449
5,2,-5.216318
5,3,-20.09091
5,4,-32.56419
5,5,13.756543
5,6,21.911394
5,7,8.225188
5,8,-14.191333
5,9,11.338944
5,10,1.5969491
5,11,-0.045069747
5,12,13.529255
5,13,14.500814
5,14,13.745353
5,15,-10.866851
5,16,16.646687
5,17,-19.218922
5,18,-8.325628
5,19,-1.7253538
5,20,-29.52477
5,21,-3.712302
5,22,-14.818673
5,23,-24.068655
5,24,-10.080617
