season,projection,precip
DJF,0,10.265942
DJF,1,0.503807
DJF,2,-6.6008806
DJF,3,-5.222555
DJF,4,7.859858
DJF,5,8.096016
DJF,6,-8.892974
DJF,7,0.84887826
DJF,8,2.7472863
DJF,9,23.002144
DJF,10,-6.0455933
DJF,11,12.517114
DJF,12,13.063099
DJF,13,15.18483
DJF,14,6.0882163
DJF,15,9.190086
DJF,16,-3.6547043
DJF,17,3.4199805
DJF,18,11.97481
DJF,19,4.9403405
DJF,20,16.07038
DJF,21,6.7084327
DJF,22,-8.444918
DJF,23,5.2860036
DJF,24,24.316051
DJF,25,-2.7832913
DJF,26,15.073768
DJF,27,4.3777356
DJF,28,7.8962727
DJF,29,0.30497512
DJF,30,-4.649375
DJF,31,33.033157
JJA,0,-18.03219
JJA,1,-3.2959833
JJA,2,-8.343352
JJA,3,-14.045458
JJA,4,41.188293
JJA,5,-10.946453
JJA,6,-11.337456
JJA,7,11.791892
JJA,8,-4.054026
JJA,9,-2.3158112
JJA,10,0.18276817
JJA,11,-6.8421645
JJA,12,2.9161355
JJA,13,4.753532
JJA,14,3.0648482
JJA,15,25.883913
JJA,16,-8.288993
JJA,17,-15.788649
JJA,18,-1.7753696
JJA,19,-14.412228
JJA,20,-5.3159285
JJA,21,-3.3850312
JJA,22,11.645944
JJA,23,-2.7195487
JJA,24,11.427712
JJA,25,28.452673
JJA,26,3.2251413
JJA,27,-4.612193
JJA,28,1.2368503
JJA,29,26.388042
JJA,30,-12.09244
JJA,31,-8.888752
MAM,0,-0.811675
MAM,1,-7.375513
MAM,2,-1.764011
MAM,3,-5.7330613
MAM,4,-3.607513
MAM,5,8.178379
MAM,6,8.6075325
MAM,7,13.737779
MAM,8,-0.60084856
MAM,9,9.032288
MAM,10,6.3394794
MAM,11,8.174653
MAM,12,4.999155
MAM,13,24.637566
MAM,14,8.168271
MAM,15,-2.9108243
MAM,16,7.894344
MAM,17,-9.49392
MAM,18,-4.8071594
MAM,19,-0.71784174
MAM,20,-4.7721963
MAM,21,-3.8597298
MAM,22,-7.7077813
MAM,23,32.08814
MAM,24,43.327976
MAM,25,30.998077
MAM,26,2.0248554
MAM,27,8.404318
MAM,28,0.87024814
MAM,29,5.099678
MAM,30,-10.679703
MAM,31,35.486637
SON,0,-15.231332
SON,1,-4.504163
SON,2,-8.767112
SON,3,-11.290381
SON,4,19.039564
SON,5,-0.29330343
SON,6,-8.050888
SON,7,-2.174332
SON,8,-16.859196
SON,9,9.860548
SON,10,8.244028
SON,11,1.1083763
SON,12,1.4211723
SON,13,-2.5393605
SON,14,11.694249
SON,15,-1.0459731
SON,16,-5.4310203
SON,17,-21.642132
SON,18,2.323686
SON,19,0.21646374
SON,20,-0.17570223
SON,21,2.3813803
SON,22,-8.26251
SON,23,-11.144288
SON,24,8.127537
SON,25,-2.9543567
SON,26,16.475765
SON,27,14.1188545
SON,28,5.4308887
SON,29,-2.497244
SON,30,-12.654877
SON,31,33.921547
