month,projection,Tair
1,0,5.0513296
1,1,2.3710678
1,2,3.361655
1,3,2.5049038
1,4,4.828084
1,5,2.8108435
1,6,3.1094577
1,7,3.9247527
1,8,4.02518
1,9,4.881502
1,10,5.4950547
1,11,3.9852111
1,12,5.6084604
1,13,5.5772943
1,14,2.5004823
1,15,3.397372
1,16,3.2120335
1,17,8.065372
1,18,4.645777
1,19,6.7887135
1,20,1.6045822
1,21,5.111239
1,22,5.0694833
1,23,6.23225
1,24,6.3250194
1,25,3.8553472
1,26,2.667722
1,27,3.3623
1,28,0.99703145
1,29,3.9706266
1,30,3.3555949
1,31,3.8378453
2,0,5.3209944
2,1,2.6008816
2,2,3.869402
2,3,3.2498837
2,4,3.3709612
2,5,4.078074
2,6,4.3803306
2,7,4.64662
2,8,4.7708383
2,9,5.9942784
2,10,5.655103
2,11,5.3539267
2,12,4.5148916
2,13,4.45096
2,14,3.7940872
2,15,4.0113735
2,16,1.5916138
2,17,7.4802423
2,18,3.7820725
2,19,6.627828
2,20,2.5863242
2,21,4.411349
2,22,6.263233
2,23,9.583417
2,24,8.520691
2,25,4.6442375
2,26,1.6928203
2,27,3.5953326
2,28,2.3384569
2,29,4.682542
2,30,4.483706
2,31,4.333852
3,0,4.1546655
3,1,2.4913378
3,2,4.5991592
3,3,3.9159057
3,4,7.288838
3,5,3.0867233
3,6,2.167587
3,7,5.935634
3,8,6.0528727
3,9,2.996115
3,10,4.1609344
3,11,3.6601617
3,12,4.7891417
3,13,4.266243
3,14,3.146514
3,15,2.081559
3,16,1.8550681
3,17,6.556963
3,18,2.408577
3,19,4.244742
3,20,1.6144726
3,21,6.6228194
3,22,5.0335155
3,23,8.279051
3,24,6.548088
3,25,7.097782
3,26,1.4681764
3,27,1.8425114
3,28,2.7606058
3,29,4.133243
3,30,3.6719615
3,31,5.1998386
4,0,4.988142
4,1,5.4699063
4,2,3.4627721
4,3,3.5013685
4,4,7.362532
4,5,2.191594
4,6,3.0019128
4,7,4.0729957
4,8,4.1898866
4,9,4.0804286
4,10,4.780188
4,11,2.8093834
4,12,7.5773396
4,13,6.568498
4,14,5.438664
4,15,4.3339014
4,16,3.54034
4,17,6.3908086
4,18,4.3812747
4,19,5.982864
4,20,1.6682421
4,21,3.551509
4,22,4.0945125
4,23,4.25106
4,24,6.5577564
4,25,7.9730973
4,26,3.011204
4,27,3.5223
4,28,2.9315214
4,29,5.878445
4,30,3.8186133
4,31,6.3801727
5,0,7.4996176
5,1,5.9223294
5,2,3.0155926
5,3,4.9779067
5,4,6.932471
5,5,3.1868281
5,6,3.9419613
5,7,6.338428
5,8,5.567126
5,9,3.874586
5,10,5.481666
5,11,3.980441
5,12,6.3190527
5,13,6.7610598
5,14,2.6855152
5,15,3.2620416
5,16,2.2807066
5,17,7.5114965
5,18,4.257724
5,19,6.26672
5,20,2.6323843
5,21,5.9923296
5,22,5.6576276
5,23,5.7364216
5,24,7.1153793
5,25,7.9057016
5,26,3.9883134
5,27,3.0399015
5,28,3.6936567
5,29,5.1433268
5,30,5.1886606
5,31,7.562803
6,0,8.057839
6,1,5.3121095
6,2,3.9473293
6,3,3.5404162
6,4,6.073029
6,5,4.2181115
6,6,4.219423
6,7,5.3459196
6,8,5.582026
6,9,4.430738
6,10,7.785616
6,11,3.5166101
6,12,5.8889256
6,13,7.151056
6,14,3.219152
6,15,2.8973315
6,16,4.5783153
6,17,8.020373
6,18,5.3221583
6,19,6.4122562
6,20,2.8200703
6,21,5.566398
6,22,8.183194
6,23,5.6556516
6,24,5.75894
6,25,5.433024
6,26,3.896782
6,27,4.3257155
6,28,2.4558597
6,29,4.7031407
6,30,6.2561026
6,31,8.920362
7,0,8.055633
7,1,4.994196
7,2,4.6384654
7,3,4.793129
7,4,5.0663967
7,5,4.533649
7,6,4.288716
7,7,3.9234374
7,8,6.046868
7,9,4.415371
7,10,7.223878
7,11,3.6075325
7,12,6.1022835
7,13,7.8335643
7,14,2.444173
7,15,1.8646235
7,16,2.54832
7,17,8.437421
7,18,5.349164
7,19,5.9936905
7,20,2.5450962
7,21,5.5731616
7,22,6.850954
7,23,6.3343663
7,24,5.4394407
7,25,4.8734903
7,26,4.3667736
7,27,4.4461083
7,28,2.630501
7,29,4.395393
7,30,6.3102036
7,31,8.533283
8,0,7.7944083
8,1,4.864049
8,2,5.534246
8,3,5.8981338
8,4,4.7850437
8,5,4.991662
8,6,4.92572
8,7,5.064498
8,8,6.3182063
8,9,3.9089699
