month,projection,precip
1,0,16.675476
1,1,28.070694
1,2,-16.652466
1,3,2.777482
1,4,62.065422
1,5,26.532564
1,6,9.332363
1,7,-3.6360881
1,8,14.362332
1,9,13.536459
1,10,-3.0780659
1,11,16.724865
1,12,4.2307744
1,13,8.070785
1,14,46.518787
1,15,3.9318328
1,16,10.909059
1,17,44.97006
1,18,74.16582
1,19,12.310084
1,20,16.464495
1,21,53.352272
1,22,13.936718
1,23,5.046941
1,24,-3.409734
1,25,8.705969
1,26,55.588444
1,27,8.099804
1,28,3.9125073
1,29,29.094557
1,30,-3.910676
1,31,26.366102
2,0,33.09065
2,1,0.7598902
2,2,4.773404
2,3,0.43643242
2,4,30.812887
2,5,5.7496643
2,6,36.31071
2,7,9.375204
2,8,-17.389528
2,9,-17.024158
2,10,8.448191
2,11,27.000847
2,12,13.2168
2,13,9.716819
2,14,-2.0191264
2,15,19.668894
2,16,-7.3640532
2,17,47.00051
2,18,33.580227
2,19,6.792651
2,20,-3.1315107
2,21,18.60141
2,22,-27.988762
2,23,3.7493932
2,24,76.605515
2,25,-10.771214
2,26,46.612488
2,27,29.841263
2,28,40.300846
2,29,13.517538
2,30,-7.6671042
2,31,6.65908
3,0,21.986187
3,1,43.672707
3,2,-7.088206
3,3,7.65751
3,4,35.35252
3,5,-1.3959533
3,6,36.90572
3,7,-9.22156
3,8,22.509981
3,9,10.095833
3,10,31.276527
3,11,14.976284
3,12,10.783674
3,13,19.96991
3,14,4.8699
3,15,0.2938118
3,16,11.247442
3,17,39.60151
3,18,37.525158
3,19,26.30164
3,20,6.1063757
3,21,40.144527
3,22,31.30461
3,23,59.38084
3,24,92.04769
3,25,36.960323
3,26,37.41325
3,27,17.266768
3,28,30.181417
3,29,26.30532
3,30,24.117432
3,31,53.45205
4,0,-18.223373
4,1,-29.198557
4,2,17.85548
4,3,25.868946
4,4,16.023949
4,5,26.801538
4,6,0.070179306
4,7,-5.92879
4,8,24.782887
4,9,31.891811
4,10,39.398758
4,11,32.660343
4,12,-1.501451
4,13,-4.512258
4,14,-16.720816
4,15,-4.6631217
4,16,10.341499
4,17,-13.120431
4,18,20.967371
4,19,-14.98185
4,20,6.8899894
4,21,25.302128
4,22,0.10813129
4,23,21.760134
4,24,24.014906
4,25,21.871437
4,26,-5.8834167
4,27,46.16137
4,28,29.591824
4,29,18.98521
4,30,12.195728
4,31,9.645345
5,0,23.197668
5,1,14.97816
5,2,3.1879582
5,3,-14.713454
5,4,-26.783102
5,5,17.323877
5,6,-2.970261
5,7,4.0909195
5,8,-14.379716
5,9,15.187472
5,10,-3.6558337
5,11,12.4677
5,12,4.071197
5,13,9.174973
5,14,36.17977
5,15,2.2203126
5,16,19.702208
5,17,-2.6132247
5,18,19.906612
5,19,13.354024
5,20,-11.577884
5,21,-16.398615
5,22,-24.811821
5,23,-5.6225886
5,24,-8.065019
5,25,-4.543408
5,26,-10.071807
5,27,-13.188007
5,28,-6.9329777
5,29,17.252987
5,30,-17.71199
5,31,-1.1123608
6,0,-26.916626
6,1,18.738817
6,2,6.302651
6,3,1.3458431
6,4,6.7062974
6,5,14.889521
6,6,0.29812035
6,7,23.974112
6,8,-1.9176528
6,9,-4.493641
6,10,-40.04972
6,11,1.8549147
6,12,-7.038446
6,13,-8.303828
6,14,0.36604396
6,15,11.432525
6,16,-13.994217
6,17,-13.435767
6,18,9.009523
6,19,-4.7303367
6,20,4.3459816
6,21,-16.36625
6,22,-41.514256
6,23,18.11135
6,24,12.412206
6,25,-2.1231515
6,26,15.659496
6,27,-4.255784
6,28,6.106018
6,29,26.22651
6,30,-20.206087
6,31,-8.230106
7,0,-33.79404
7,1,-22.51577
7,2,3.955131
7,3,1.3571787
7,4,-1.3271497
7,5,-14.698388
7,6,-10.707366
7,7,2.5528622
7,8,-11.755544
7,9,2.4981675
7,10,-9.720693
7,11,9.387728
7,12,0.1295854
7,13,19.806896
7,14,15.017229
7,15,8.662188
7,16,30.242126
7,17,-24.752483
7,18,-15.897824
7,19,-7.61066
7,20,-15.581991
7,21,-1.9018989
7,22,-20.347263
7,23,-8.211176
7,24,12.507746
7,25,-6.950514
7,26,6.357068
7,27,-6.2787695
7,28,1.7707407
7,29,11.16471
7,30,21.552683
7,31,-17.327242
8,0,-26.78629
8,1,-0.9134033
8,2,-8.465106
8,3,-25.031086
8,4,16.807013
8,5,3.1941738
8,6,8.64725
8,7,-8.482366
8,8,-8.74575
8,9,11.410623
8,10,-10.583083
8,11,-15.646633
8,12,4.153541
8,13,10.785336
8,14,12.76346
8,15,20.739609
8,16,-6.6763186
8,17,-42.465916
8,18,-1.3723758
8,19,-16.541206
8,20,-0.21438026
8,21,10.532902
8,22,-24.556444
8,23,-18.285015
8,24,9.768099
8,25,10.139535
8,26,-9.208776
8,27,-9.813894
8,28,5.387588
8,29,6.9340205
8,30,-11.433078
8,31,-2.1458397
9,0,8.621892
9,1,6.3560157
9,2,-3.897882
9,3,-14.501461
9,4,4.0804563
9,5,-12.13798
9,6,0.8022395
9,7,20.590704
9,8,-35.81328
9,9,31.630444
9,10,26.09771
9,11,1.4263105
9,12,-7.096178
9,13,-8.517694
9,14,17.299322
9,15,0.8575208
9,16,10.257169
9,17,-20.321442
9,18,-1.6470509
9,19,22.43339
9,20,-21.732325
9,21,-15.415256
9,22,-8.458555
9,23,34.27072
9,24,2.1867356
9,25,13.362031
9,26,-13.865113
9,27,-1.6862246
9,28,-4.5590343
9,29,-11.718755
9,30,-9.274012
9,31,-9.037831
10,0,-22.694681
10,1,45.935608
10,2,-18.369392
10,3,-1.5230011
10,4,-35.902866
10,5,10.272467
10,6,-22.445267
10,7,17.43991
10,8,-54.755943
10,9,9.433129
10,10,-6.9211764
10,11,32.845642
10,12,6.659207
10,13,-17.42973
10,14,-10.610245
10,15,29.174202
10,16,18.758448
10,17,-24.597937
10,18,-21.422106
10,19,-4.820725
10,20,-23.52052
10,21,-21.174559
10,22,22.281279
10,23,10.321437
10,24,-19.355438
10,25,26.750574
10,26,-24.1776
10,27,-20.499104
10,28,-0.29099512
10,29,24.223583
10,30,17.959568
10,31,-37.361164
11,0,2.294868
11,1,-7.7259636
11,2,-4.5109444
11,3,-9.1653805
11,4,-3.2485087
11,5,8.298023
11,6,45.368813
11,7,-12.339316
11,8,-9.042765
11,9,31.664255
11,10,-16.33959
11,11,-3.0909252
11,12,28.26385
11,13,16.073748
11,14,39.012615
11,15,-19.894945
11,16,-9.820722
11,17,33.079193
11,18,16.053055
11,19,28.609062
11,20,46.91895
11,21,27.74582
11,22,3.7079203
11,23,-26.106049
11,24,8.017828
11,25,-24.628721
11,26,23.391844
11,27,5.185101
11,28,3.8101633
11,29,-15.7065735
11,30,-11.236039
11,31,3.6094766
12,0,-4.654427
12,1,6.3421397
12,2,12.298882
12,3,46.15181
12,4,20.92716
12,5,72.55808
12,6,8.4520445
12,7,47.22075
12,8,-6.2215786
12,9,10.1694975
12,10,-41.75068
12,11,1.9699471
12,12,-15.978032
12,13,15.820536
12,14,-9.605681
12,15,26.184923
12,16,2.3590875
12,17,22.724075
12,18,-5.9935102
12,19,12.79477
12,20,4.766392
12,21,-10.937456
12,22,-37.10249
12,23,50.131954
12,24,-2.8662446
12,25,-1.7382171
12,26,5.139004
12,27,32.150677
12,28,-3.550367
12,29,12.702915
12,30,30.761406
12,31,-12.735356
