season,projection,precip
DJF,0,11.954403
DJF,1,5.504786
DJF,2,-7.050668
DJF,3,2.8305845
DJF,4,9.87268
DJF,5,19.203598
DJF,6,18.702414
DJF,7,13.398737
DJF,8,-3.2588742
DJF,9,9.461377
DJF,10,3.672593
DJF,11,6.0370693
DJF,12,19.821531
DJF,13,16.051188
DJF,14,12.347923
DJF,15,13.669509
DJF,16,8.327276
DJF,17,2.9752834
DJF,18,19.024836
DJF,19,11.861639
DJF,20,0.5566314
DJF,21,5.4685516
DJF,22,-8.96067
DJF,23,19.930943
DJF,24,19.22188
DJF,25,16.165155
DJF,26,24.970207
DJF,27,20.180252
DJF,28,1.4577936
DJF,29,19.54563
DJF,30,-1.0814437
DJF,31,0.87180597
JJA,0,-30.58244
JJA,1,-3.7082725
JJA,2,-8.284881
JJA,3,-15.145352
JJA,4,7.9487047
JJA,5,-8.726915
JJA,6,-9.124465
JJA,7,6.641671
JJA,8,-1.8519206
JJA,9,0.9954175
JJA,10,-15.112071
JJA,11,-0.76058203
JJA,12,-0.60907197
JJA,13,7.531892
JJA,14,-1.793258
JJA,15,9.946606
JJA,16,-2.643983
JJA,17,-26.252974
JJA,18,3.3779209
JJA,19,-14.948932
JJA,20,-3.634007
JJA,21,-9.010846
JJA,22,-23.508286
JJA,23,-2.3569791
JJA,24,9.291388
JJA,25,10.71164
JJA,26,10.273912
JJA,27,-9.474019
JJA,28,-2.6724386
JJA,29,12.504257
JJA,30,-9.936494
JJA,31,-0.8115891
MAM,0,-0.9449253
MAM,1,1.3867863
MAM,2,9.482721
MAM,3,-2.7198172
MAM,4,-4.319259
MAM,5,16.799274
MAM,6,13.006793
MAM,7,4.561427
MAM,8,5.033867
MAM,9,18.08607
MAM,10,14.428239
MAM,11,10.1612215
MAM,12,-2.1617146
MAM,13,13.745422
MAM,14,15.884373
MAM,15,-8.788508
MAM,16,11.4453535
MAM,17,-2.8187928
MAM,18,15.19054
MAM,19,8.582512
MAM,20,-1.2034867
MAM,21,5.2610083
MAM,22,-6.793294
MAM,23,9.318013
MAM,24,23.701794
MAM,25,10.14025
MAM,26,6.707911
MAM,27,9.771102
MAM,28,-3.941951
MAM,29,19.462112
MAM,30,-10.328463
MAM,31,12.790229
SON,0,-4.7372475
SON,1,22.182577
SON,2,-22.822138
SON,3,-11.653592
SON,4,-12.034406
SON,5,2.0762181
SON,6,5.898453
SON,7,11.230076
SON,8,-16.815649
SON,9,9.853333
SON,10,6.751488
SON,11,1.633431
SON,12,6.3686466
SON,13,-7.2241282
SON,14,-9.05118
SON,15,-1.4322459
SON,16,-3.6481445
SON,17,-9.508466
SON,18,2.548884
SON,19,15.907921
SON,20,-15.064512
SON,21,-2.3849335
SON,22,8.92717
SON,23,0.3930389
SON,24,-2.5211544
SON,25,12.844171
SON,26,11.599161
SON,27,-14.84898
SON,28,-10.418972
SON,29,-5.0996227
SON,30,-6.4847717
SON,31,10.465035
