season,projection,Tair
DJF,0,2.3533072
DJF,1,3.1930707
DJF,2,3.109792
DJF,3,2.1589298
DJF,4,3.0153193
DJF,5,2.831962
DJF,6,3.0410697
DJF,7,3.0848894
DJF,8,2.947859
DJF,9,4.210391
DJF,10,4.4834385
DJF,11,3.7130356
DJF,12,4.0300684
DJF,13,4.483151
DJF,14,2.7948077
DJF,15,2.5856147
DJF,16,0.9118914
DJF,17,7.013153
DJF,18,5.63924
DJF,19,4.736999
DJF,20,1.5104883
DJF,21,3.399035
DJF,22,4.445483
DJF,23,4.344364
DJF,24,5.057424
DJF,25,4.850178
DJF,26,2.6064444
DJF,27,3.214712
DJF,28,1.1190116
DJF,29,3.7751803
DJF,30,2.1460686
DJF,31,3.9889991
JJA,0,7.1269717
JJA,1,4.063431
JJA,2,4.554156
JJA,3,4.55831
JJA,4,4.7185144
JJA,5,4.182152
JJA,6,4.0172024
JJA,7,3.7736628
JJA,8,4.5140176
JJA,9,3.3463771
JJA,10,6.333762
JJA,11,3.4103346
JJA,12,4.8599706
JJA,13,6.4863415
JJA,14,3.7737143
JJA,15,2.0991337
JJA,16,3.0912127
JJA,17,6.4688563
JJA,18,4.2123847
JJA,19,5.883137
JJA,20,2.0530665
JJA,21,5.7071776
JJA,22,5.992022
JJA,23,4.767043
JJA,24,4.729288
JJA,25,3.7980318
JJA,26,3.9659786
JJA,27,4.4439936
JJA,28,2.7741919
JJA,29,3.3793087
JJA,30,4.9900074
JJA,31,6.935662
MAM,0,4.235251
MAM,1,3.8929572
MAM,2,3.0676892
MAM,3,3.4888954
MAM,4,6.0698113
MAM,5,2.4950027
MAM,6,2.3589456
MAM,7,4.616927
MAM,8,3.9130888
MAM,9,2.902223
MAM,10,4.0654435
MAM,11,3.1692295
MAM,12,5.128357
MAM,13,4.770346
MAM,14,3.0366535
MAM,15,3.302279
MAM,16,2.9589338
MAM,17,5.8671417
MAM,18,3.237264
MAM,19,4.2219825
MAM,20,1.4556704
MAM,21,4.069214
MAM,22,3.989406
MAM,23,5.0836916
MAM,24,5.3349237
MAM,25,6.6290574
MAM,26,2.1441262
MAM,27,3.4470394
MAM,28,2.481572
MAM,29,3.8057823
MAM,30,4.0081644
MAM,31,5.59423
SON,0,5.736901
SON,1,3.8749638
SON,2,5.6199684
SON,3,3.7690606
SON,4,5.8102636
SON,5,4.0866446
SON,6,3.9993992
SON,7,4.192987
SON,8,4.879346
SON,9,2.803728
SON,10,5.0165515
SON,11,2.5687065
SON,12,5.8826222
SON,13,6.0550337
SON,14,3.8553789
SON,15,2.6323655
SON,16,3.5369503
SON,17,6.544861
SON,18,5.352716
SON,19,5.4797864
SON,20,2.1480262
SON,21,5.1185455
SON,22,5.4184484
SON,23,4.962885
SON,24,5.1652513
SON,25,4.5463758
SON,26,3.5616817
SON,27,4.937137
SON,28,2.231107
SON,29,4.909941
SON,30,5.2380767
SON,31,6.4610577
