month,projection,Tair
1,0,2.7888415
1,1,3.3042402
1,2,1.6754116
1,3,2.351978
1,4,3.5959916
1,5,1.4823586
1,6,3.3732343
1,7,1.947124
1,8,1.9866157
1,9,3.617778
1,10,2.881942
1,11,3.2537906
1,12,4.118946
1,13,6.2870383
1,14,1.5000131
1,15,2.9190218
1,16,0.39845008
1,17,5.943328
1,18,5.19073
1,19,3.8824027
1,20,1.8572791
1,21,2.344145
1,22,2.9368532
1,23,3.1097994
1,24,5.447748
1,25,6.1385646
1,26,3.1213083
1,27,2.600001
1,28,-0.12323913
1,29,2.736188
1,30,1.6410922
1,31,3.7465868
2,0,2.6362622
2,1,2.4670181
2,2,2.4771478
2,3,3.0041642
2,4,4.0806055
2,5,4.198507
2,6,2.6906853
2,7,4.383417
2,8,3.4613924
2,9,3.6232128
2,10,3.8313968
2,11,4.284478
2,12,3.0037336
2,13,4.7505994
2,14,2.1535206
2,15,4.179823
2,16,0.8056459
2,17,4.8093867
2,18,4.111445
2,19,5.025799
2,20,1.8705064
2,21,2.3577235
2,22,3.464816
2,23,5.5023055
2,24,6.9094577
2,25,5.5169263
2,26,1.0847836
2,27,3.0191247
2,28,0.7147834
2,29,1.7558564
2,30,1.9689453
2,31,4.779039
3,0,3.4369454
3,1,3.4177735
3,2,3.4316165
3,3,3.358129
3,4,7.052635
3,5,2.834711
3,6,3.0264595
3,7,4.692358
3,8,4.0534925
3,9,2.9841928
3,10,3.4540586
3,11,3.869784
3,12,4.5268426
3,13,6.1741185
3,14,2.4066088
3,15,3.8308024
3,16,3.1224332
3,17,4.481039
3,18,2.6556633
3,19,2.0721643
3,20,1.4149616
3,21,5.0341563
3,22,3.9055727
3,23,6.1379
3,24,6.058257
3,25,8.139206
3,26,2.213065
3,27,3.585343
3,28,1.8990762
3,29,1.8216606
3,30,2.7411544
3,31,5.680047
4,0,3.4695442
4,1,3.6777806
4,2,2.4419963
4,3,2.6641974
4,4,5.517696
4,5,1.6074646
4,6,1.7978783
4,7,3.1654015
4,8,2.619714
4,9,4.131572
4,10,4.4845862
4,11,2.4921825
4,12,5.1693
4,13,6.184581
4,14,4.885958
4,15,3.8292375
4,16,3.5630498
4,17,4.9587674
4,18,2.9400468
4,19,4.1278596
4,20,0.42464733
4,21,2.466616
4,22,2.8611307
4,23,3.6613088
4,24,5.0001054
4,25,7.069121
4,26,2.0877318
4,27,3.6567092
4,28,1.4251722
4,29,3.7697644
4,30,2.7560482
4,31,5.4084163
5,0,4.8306985
5,1,4.2405424
5,2,2.045213
5,3,4.528978
5,4,5.5333514
5,5,3.566143
5,6,2.7146409
5,7,4.5147166
5,8,3.39929
5,9,2.8739495
5,10,4.2592773
5,11,3.3495493
5,12,5.5414214
5,13,7.299553
5,14,3.3541105
5,15,4.7865767
5,16,2.799368
5,17,6.0520678
5,18,3.898078
5,19,4.8438034
5,20,1.8195024
5,21,3.6010418
5,22,4.471451
5,23,4.5028477
5,24,4.8298197
5,25,6.081923
5,26,3.275134
5,27,2.9271646
5,28,2.2006028
5,29,4.6332917
5,30,4.060322
5,31,5.8437567
6,0,5.7075586
6,1,4.4483194
6,2,3.8112411
6,3,3.3152378
6,4,6.0515957
6,5,3.4830573
6,6,3.5634859
6,7,4.455442
6,8,4.3921022
6,9,4.0096335
6,10,7.0213327
6,11,3.0532858
6,12,4.664882
6,13,5.7712946
6,14,4.4798846
6,15,1.4404397
6,16,3.7513263
6,17,5.573433
6,18,4.9242578
6,19,5.6953845
6,20,2.1203835
6,21,5.6744623
6,22,6.1010046
6,23,3.1697907
6,24,3.7058945
6,25,4.0197206
6,26,3.9816856
6,27,4.425617
6,28,2.3073297
6,29,3.772262
6,30,5.326525
6,31,5.9432993
7,0,6.0202913
7,1,4.2306085
7,2,3.9795294
7,3,4.4205995
7,4,3.7247944
7,5,3.9641383
7,6,3.2913837
7,7,3.7737074
7,8,5.2306457
7,9,3.3899722
7,10,4.5375767
7,11,3.1993046
7,12,4.8122277
7,13,6.3959446
