month,projection,precip
1,0,14.082962
1,1,8.516654
1,2,-15.192172
1,3,16.9714
1,4,-11.862309
1,5,-11.646249
1,6,-0.7649209
1,7,-4.97579
1,8,-0.021153381
1,9,13.983083
1,10,-6.2059746
1,11,24.128658
1,12,14.498596
1,13,-3.0800257
1,14,19.731602
1,15,7.591258
1,16,19.022121
1,17,16.94499
1,18,33.281174
1,19,22.096634
1,20,9.153151
1,21,-12.133909
1,22,1.129499
1,23,2.5601852
1,24,-9.873963
1,25,28.44257
1,26,23.514383
1,27,-12.721155
1,28,3.9241295
1,29,13.563108
1,30,-14.653677
1,31,11.347551
2,0,-12.580662
2,1,-6.430223
2,2,4.528375
2,3,-9.442859
2,4,-12.709848
2,5,-11.5424
2,6,25.493542
2,7,7.189723
2,8,-16.49573
2,9,13.368485
2,10,-13.100253
2,11,19.84832
2,12,36.055817
2,13,2.9243302
2,14,-18.448288
2,15,-0.29225063
2,16,7.5010595
2,17,7.8667254
2,18,26.150013
2,19,16.50583
2,20,6.412154
2,21,2.9732864
2,22,-19.233635
2,23,10.968575
2,24,23.80776
2,25,17.962503
2,26,29.150572
2,27,15.0608015
2,28,-6.6112123
2,29,-1.2471715
2,30,-12.27943
2,31,4.3046985
3,0,-0.37779236
3,1,24.830519
3,2,-5.0013175
3,3,-0.051587347
3,4,20.90131
3,5,1.2300861
3,6,33.945934
3,7,-14.436054
3,8,2.9463959
3,9,14.976476
3,10,27.027554
3,11,12.413708
3,12,0.708121
3,13,-13.091948
3,14,11.433031
3,15,-15.761314
3,16,-11.512533
3,17,-6.081294
3,18,11.294765
3,19,-10.269997
3,20,27.09525
3,21,5.016933
3,22,2.0602427
3,23,21.23019
3,24,53.118443
3,25,7.0309086
3,26,29.68209
3,27,-4.0622945
3,28,-9.79555
3,29,9.639131
3,30,6.5144873
3,31,4.2904844
4,0,3.0767636
4,1,-24.141003
4,2,-8.094466
4,3,-2.0891542
4,4,7.741245
4,5,40.725285
4,6,-0.39843273
4,7,-34.231922
4,8,2.6106706
4,9,7.357564
4,10,5.732193
4,11,13.815279
4,12,-2.1847887
4,13,19.492044
4,14,-18.906542
4,15,-5.9900737
4,16,3.676695
4,17,-33.824917
