season,projection,precip
DJF,0,0.33886012
DJF,1,5.3071275
DJF,2,-0.99954915
DJF,3,10.297147
DJF,4,23.422588
DJF,5,10.051144
DJF,6,16.23291
DJF,7,0.593992
DJF,8,3.6860018
DJF,9,-2.3597705
DJF,10,-23.779398
DJF,11,16.361147
DJF,12,1.7467896
DJF,13,3.2310321
DJF,14,2.017168
DJF,15,19.861416
DJF,16,8.726503
DJF,17,16.758337
DJF,18,17.59791
DJF,19,11.020577
DJF,20,7.759694
DJF,21,0.24358267
DJF,22,-22.837322
DJF,23,9.760003
DJF,24,10.661292
DJF,25,-2.405798
DJF,26,29.692274
DJF,27,17.633482
DJF,28,10.991332
DJF,29,2.1594496
DJF,30,3.0946016
DJF,31,-0.49722815
JJA,0,-13.401696
JJA,1,0.5701161
JJA,2,-9.013226
JJA,3,-9.7333145
JJA,4,18.343449
JJA,5,-6.176292
JJA,6,-3.221022
JJA,7,10.39846
JJA,8,-3.4514673
JJA,9,5.2044315
JJA,10,-6.816306
JJA,11,-0.9730864
JJA,12,2.2920263
JJA,13,14.095871
JJA,14,14.005659
JJA,15,33.36553
JJA,16,-7.9130354
JJA,17,-16.533033
JJA,18,-10.839123
JJA,19,-7.2538705
JJA,20,1.1241417
JJA,21,-6.647698
JJA,22,-34.847973
JJA,23,-1.2507619
JJA,24,19.131042
JJA,25,8.970381
JJA,26,-4.371787
JJA,27,-14.543828
JJA,28,-18.239403
JJA,29,12.784105
JJA,30,-14.368711
JJA,31,-4.860761
MAM,0,-6.103838
MAM,1,6.143259
MAM,2,-0.87320495
MAM,3,1.150227
MAM,4,-3.9633155
MAM,5,6.4412146
MAM,6,5.932527
MAM,7,-7.1920686
MAM,8,-8.719125
MAM,9,21.728287
MAM,10,-2.3829536
MAM,11,19.362068
MAM,12,3.9613302
MAM,13,-11.308923
MAM,14,-9.030306
MAM,15,9.006289
MAM,16,-4.299749
MAM,17,-16.560534
MAM,18,3.4972458
MAM,19,-14.544339
MAM,20,-0.1574078
MAM,21,-2.5097308
MAM,22,-15.000521
MAM,23,17.378613
MAM,24,-0.35804766
MAM,25,23.428417
MAM,26,-5.6832323
MAM,27,2.5575862
MAM,28,1.6377956
MAM,29,2.9052796
MAM,30,-11.755401
MAM,31,11.566295
SON,0,-17.245241
SON,1,6.228967
SON,2,-7.0803866
SON,3,-10.67955
SON,4,-16.176466
SON,5,1.7138243
SON,6,-15.240535
SON,7,14.300317
SON,8,-23.503477
SON,9,16.52388
SON,10,9.685475
SON,11,22.948092
SON,12,15.925135
SON,13,-5.3543425
SON,14,15.51106
SON,15,4.097764
SON,16,12.902427
SON,17,-3.0347106
SON,18,-5.6548653
SON,19,1.7992673
SON,20,-2.4522307
SON,21,10.147639
SON,22,-12.995228
SON,23,6.6080236
SON,24,8.5607
SON,25,1.8305836
SON,26,-10.446933
SON,27,20.373066
SON,28,-9.007761
SON,29,5.187061
SON,30,2.374584
SON,31,21.664478
