season,projection,Tair
DJF,0,4.889968
DJF,1,3.3259845
DJF,2,3.0012589
DJF,3,2.9666243
DJF,4,5.841186
DJF,5,3.2001028
DJF,6,3.16825
DJF,7,4.402831
DJF,8,4.297016
DJF,9,4.2556705
DJF,10,3.8237846
DJF,11,4.879497
DJF,12,4.916074
DJF,13,6.495163
DJF,14,2.8309827
DJF,15,3.2849815
DJF,16,1.6940961
DJF,17,5.8693686
DJF,18,4.9991665
DJF,19,5.321193
DJF,20,2.1864586
DJF,21,5.116709
DJF,22,5.7008543
DJF,23,6.2031097
DJF,24,6.77372
DJF,25,5.4708257
DJF,26,2.7323546
DJF,27,2.61912
DJF,28,0.9462696
DJF,29,3.914057
DJF,30,2.5469089
DJF,31,4.8952985
JJA,0,6.721449
JJA,1,4.7724404
JJA,2,4.1251326
JJA,3,4.4421086
JJA,4,5.4055996
JJA,5,4.58523
JJA,6,4.55991
JJA,7,4.849729
JJA,8,6.1913586
JJA,9,4.128985
JJA,10,6.560338
JJA,11,3.295912
JJA,12,5.3644075
JJA,13,7.757999
JJA,14,2.7556353
JJA,15,0.85902095
JJA,16,3.601696
JJA,17,7.2945576
JJA,18,5.463853
JJA,19,6.0338697
JJA,20,3.0254905
JJA,21,5.565852
JJA,22,6.716213
JJA,23,4.5771546
JJA,24,4.2707324
JJA,25,4.356309
JJA,26,4.287995
JJA,27,4.0872984
JJA,28,2.2876556
JJA,29,4.128614
JJA,30,5.8109813
JJA,31,7.166663
MAM,0,5.17142
MAM,1,4.1862364
MAM,2,3.2576787
MAM,3,4.2772617
MAM,4,6.697559
MAM,5,3.1454294
MAM,6,3.1373115
MAM,7,4.6682906
MAM,8,4.904283
MAM,9,4.1424017
MAM,10,4.8642797
MAM,11,3.90491
MAM,12,5.942004
MAM,13,7.4579315
MAM,14,4.2145844
MAM,15,4.1324196
MAM,16,2.79005
MAM,17,5.9530654
MAM,18,3.624497
MAM,19,4.8947277
MAM,20,1.965024
MAM,21,4.944662
MAM,22,4.5633516
MAM,23,5.654735
MAM,24,6.6562195
MAM,25,7.9594436
MAM,26,3.193341
MAM,27,2.7915435
MAM,28,2.6189053
MAM,29,4.275854
MAM,30,3.657939
MAM,31,6.678798
SON,0,6.0702147
SON,1,5.2893143
SON,2,4.665622
SON,3,4.4725933
SON,4,6.121197
SON,5,4.066718
SON,6,4.244313
SON,7,5.111299
SON,8,5.984129
SON,9,3.731713
SON,10,5.7309155
SON,11,2.9619372
SON,12,5.2825494
SON,13,7.3280582
SON,14,3.194335
SON,15,2.1428995
SON,16,3.749511
SON,17,6.875092
SON,18,6.0749183
SON,19,6.533165
SON,20,2.5169866
SON,21,5.069548
SON,22,5.490734
SON,23,5.10043
SON,24,5.7586646
SON,25,5.2503076
SON,26,4.4853716
SON,27,5.2028303
SON,28,2.324919
SON,29,4.4099207
SON,30,5.7601576
SON,31,6.963255
