month,projection,Tair
1,0,4.2687025
1,1,3.0879524
1,2,4.117707
1,3,3.9855423
1,4,5.6554556
1,5,3.890915
1,6,3.417735
1,7,4.9630575
1,8,4.993785
1,9,6.37264
1,10,6.730068
1,11,4.171095
1,12,6.59202
1,13,5.8280907
1,14,2.819139
1,15,3.0331278
1,16,4.1323767
1,17,8.033746
1,18,4.95803
1,19,6.2727814
1,20,2.2116659
1,21,5.2956667
1,22,5.561228
1,23,5.278651
1,24,5.633398
1,25,3.8671463
1,26,3.0254903
1,27,4.637233
1,28,2.1832738
1,29,4.0133038
1,30,4.312888
1,31,3.7638507
2,0,4.268783
2,1,2.2327063
2,2,4.3665776
2,3,3.4560351
2,4,2.4743614
2,5,2.2192113
2,6,4.6244216
2,7,4.16426
2,8,4.887802
2,9,6.178389
2,10,5.3266163
2,11,4.954936
2,12,4.0582004
2,13,4.1430926
2,14,2.7650466
2,15,3.179928
2,16,1.6965005
2,17,6.059606
2,18,1.8547958
2,19,5.023018
2,20,2.7700043
2,21,2.9572344
2,22,5.4397464
2,23,7.5445414
2,24,7.1749578
2,25,4.5457616
2,26,2.026786
2,27,3.6449592
2,28,2.5039778
2,29,3.083987
2,30,4.6496983
2,31,3.6864014
3,0,3.8383577
3,1,3.252716
3,2,4.2076125
3,3,3.761243
3,4,7.252905
3,5,3.1812792
3,6,3.3941205
3,7,7.2236824
3,8,7.358978
3,9,3.2962203
3,10,4.0688896
3,11,4.136239
3,12,4.7258067
3,13,4.48694
3,14,3.2255936
3,15,1.9717746
3,16,1.6730057
3,17,6.747626
3,18,2.813784
3,19,5.0236125
3,20,1.6934506
3,21,5.7000504
3,22,4.650959
3,23,8.342602
3,24,6.412
3,25,6.4986677
3,26,1.2875204
3,27,2.2428167
3,28,2.444585
3,29,3.5521536
3,30,4.7477603
3,31,6.010058
4,0,4.093875
4,1,4.761624
4,2,3.376198
4,3,3.030685
4,4,6.067639
4,5,2.5009587
4,6,2.5395858
4,7,4.635499
4,8,4.0223007
4,9,3.3731117
4,10,4.004123
4,11,2.5715647
4,12,6.9901834
4,13,5.1618695
4,14,4.4184575
4,15,3.3069344
