month,projection,precip
1,0,76.03978
1,1,24.65685
1,2,6.0929
1,3,21.371763
1,4,52.777863
1,5,25.601658
1,6,-5.801927
1,7,7.961816
1,8,13.715224
1,9,23.686073
1,10,-24.761038
1,11,9.083742
1,12,15.194485
1,13,2.6446083
1,14,68.54232
1,15,25.010962
1,16,-2.1516092
1,17,34.951694
1,18,103.95502
1,19,19.614159
1,20,24.480803
1,21,44.431618
1,22,1.4133767
1,23,-2.639473
1,24,-11.032852
1,25,16.266973
1,26,45.758896
1,27,6.6636763
1,28,-4.194005
1,29,17.62483
1,30,7.0743523
1,31,38.075516
2,0,50.45238
2,1,-6.6160574
2,2,9.415556
2,3,0.6803273
2,4,6.069932
2,5,-19.079794
2,6,25.90215
2,7,6.971251
2,8,-23.00927
2,9,-18.17213
2,10,33.11414
2,11,30.521107
2,12,40.169186
2,13,20.180197
2,14,-1.4497542
2,15,10.791194
2,16,-7.0938616
2,17,43.370323
2,18,33.571796
2,19,14.327061
2,20,-10.907982
2,21,-19.974827
2,22,-28.85594
2,23,-5.4558086
2,24,59.774662
2,25,2.2204142
2,26,19.566765
2,27,42.184944
2,28,30.777555
2,29,6.0335298
2,30,-3.1983178
2,31,46.982834
3,0,6.524756
3,1,49.373726
3,2,0.29681668
3,3,1.4824375
3,4,32.88036
3,5,-11.000365
3,6,33.581036
3,7,-7.34424
3,8,26.349384
3,9,12.030283
3,10,35.71894
3,11,18.882763
3,12,8.501983
3,13,19.277756
3,14,-3.0058362
3,15,10.362433
3,16,-0.55624974
3,17,18.839382
3,18,51.0328
3,19,20.258991
3,20,15.039844
3,21,47.71293
3,22,23.180653
3,23,53.16671
3,24,90.95746
3,25,21.123632
3,26,47.999607
3,27,4.8140945
3,28,18.640038
3,29,-4.4448104
3,30,47.739143
3,31,55.58508
4,0,-13.5257635
4,1,-19.908749
4,2,11.951504
4,3,26.680517
4,4,31.974697
4,5,11.891836
4,6,3.9187915
4,7,-19.05871
4,8,22.741976
4,9,20.91494
4,10,48.49732
4,11,44.112736
4,12,-13.850265
4,13,-7.7032194
4,14,-30.682251
4,15,-23.962858
4,16,2.118837
4,17,1.4156938
4,18,4.4363475
4,19,-9.520052
4,20,7.3112783
4,21,7.372351
4,22,-3.0239825
4,23,22.914093
4,24,-9.960459
4,25,8.971353
4,26,-13.788536
4,27,65.74828
4,28,38.651134
4,29,24.361897
4,30,4.2909875
4,31,-11.733443
5,0,23.12459
5,1,11.495822
5,2,-9.418675
5,3,-19.625526
5,4,-13.722803
5,5,19.506418
5,6,-4.2165174
5,7,9.273807
5,8,-13.180292
5,9,5.635987
5,10,-7.7125216
5,11,8.335504
5,12,9.000584
5,13,16.019644
5,14,26.3239
5,15,2.3560355
5,16,-8.831388
5,17,-1.3613571
5,18,35.182674
5,19,16.650244
5,20,-9.254642
5,21,-13.0997505
5,22,-21.611992
5,23,1.0963227
5,24,-7.2078094
5,25,10.060659
5,26,-8.728618
5,27,-12.870783
5,28,8.792692
5,29,21.987555
5,30,-14.132672
5,31,2.2230783
6,0,-39.783905
6,1,14.158916
6,2,5.34844
6,3,-1.5950482
6,4,15.309194
6,5,15.44849
6,6,-0.89061296
6,7,19.304497
6,8,-22.91096
6,9,-7.5533857
6,10,-28.167072
6,11,-1.9241953
6,12,-3.4994504
6,13,-4.5243754
6,14,0.85885215
6,15,-3.9524431
6,16,-15.713003
6,17,-23.618536
6,18,2.1679354
6,19,-10.539656
6,20,8.886404
6,21,-21.043865
6,22,-51.293118
6,23,22.739399
6,24,22.452114
6,25,-1.2613771
6,26,11.40895
6,27,-6.8227506
6,28,3.1623297
6,29,26.835367
6,30,-13.595131
6,31,-12.753801
7,0,-41.229767
7,1,-9.106572
