season,projection,precip
DJF,0,42.913677
DJF,1,7.3564916
DJF,2,10.693211
DJF,3,24.00544
DJF,4,18.746693
DJF,5,13.741149
DJF,6,18.417456
DJF,7,23.522087
DJF,8,-1.7088816
DJF,9,0.97997767
DJF,10,-15.14482
DJF,11,13.477752
DJF,12,7.3554916
DJF,13,6.608942
DJF,14,17.183376
DJF,15,18.393917
DJF,16,-12.23948
DJF,17,25.499893
DJF,18,56.034462
DJF,19,13.164747
DJF,20,0.44953817
DJF,21,2.0982208
DJF,22,-23.577824
DJF,23,12.348004
DJF,24,14.157568
DJF,25,1.2390893
DJF,26,16.254906
DJF,27,27.31449
DJF,28,9.104119
DJF,29,2.791366
DJF,30,10.008467
DJF,31,25.387863
JJA,0,-41.22791
JJA,1,0.98312443
JJA,2,-3.4653387
JJA,3,-17.93033
JJA,4,10.483185
JJA,5,-2.882698
JJA,6,-5.090883
JJA,7,1.49961
JJA,8,-13.720194
JJA,9,-2.7492166
JJA,10,-11.897493
JJA,11,0.8019616
JJA,12,6.3492646
JJA,13,0.5775921
JJA,14,9.717436
JJA,15,10.417348
JJA,16,3.506732
JJA,17,-28.921246
JJA,18,-2.3307936
JJA,19,-12.928761
JJA,20,-7.6945863
JJA,21,-6.9688187
JJA,22,-32.56554
JJA,23,4.189357
JJA,24,18.579563
JJA,25,-5.5086584
JJA,26,3.0386848
JJA,27,-11.594467
JJA,28,6.945329
JJA,29,6.840085
JJA,30,-4.0078073
JJA,31,-2.4026382
MAM,0,7.8416853
MAM,1,9.98891
MAM,2,-1.7121803
MAM,3,-0.8558252
MAM,4,8.014791
MAM,5,11.097685
MAM,6,5.575029
MAM,7,-2.7228062
MAM,8,6.2084208
MAM,9,11.180239
MAM,10,14.190391
MAM,11,21.281157
MAM,12,1.3847399
MAM,13,9.004614
MAM,14,0.24564783
MAM,15,-5.2077336
MAM,16,-4.544969
MAM,17,3.2694829
MAM,18,28.56935
MAM,19,9.979846
MAM,20,0.79983336
MAM,21,6.800448
MAM,22,-7.3100047
MAM,23,17.436604
MAM,24,12.898042
MAM,25,11.997411
MAM,26,-0.11436265
MAM,27,11.263525
MAM,28,19.357954
MAM,29,17.051489
MAM,30,1.7769284
MAM,31,7.975919
SON,0,-4.5850644
SON,1,20.466234
SON,2,-9.522231
SON,3,-10.206879
SON,4,-18.715574
SON,5,15.124882
SON,6,-4.965382
SON,7,26.132679
SON,8,-37.076267
SON,9,31.533094
SON,10,8.226648
SON,11,18.12429
SON,12,3.3885407
SON,13,9.211913
SON,14,15.156513
SON,15,-2.3259037
SON,16,11.4066
SON,17,4.0259514
SON,18,-1.6536905
SON,19,10.939725
SON,20,-21.338585
SON,21,8.134392
SON,22,16.092257
SON,23,2.6359377
SON,24,1.0537741
SON,25,14.681119
SON,26,-3.6350567
SON,27,1.1970642
SON,28,-6.42892
SON,29,-13.402075
SON,30,-0.78780687
SON,31,-7.347042
