season,projection,Tair
DJF,0,2.1766295
DJF,1,3.3836312
DJF,2,3.5569618
DJF,3,3.083738
DJF,4,3.4392436
DJF,5,2.9407408
DJF,6,3.304111
DJF,7,2.9883616
DJF,8,3.2280912
DJF,9,5.1111975
DJF,10,5.127414
DJF,11,4.23755
DJF,12,4.564177
DJF,13,4.1733904
DJF,14,2.8526325
DJF,15,2.6210282
DJF,16,1.2844603
DJF,17,6.3354964
DJF,18,5.6920805
DJF,19,4.9679675
DJF,20,2.091426
DJF,21,3.5267973
DJF,22,4.6533327
DJF,23,3.9535275
DJF,24,4.735455
DJF,25,4.7077127
DJF,26,2.9159255
DJF,27,3.709345
DJF,28,1.6238254
DJF,29,3.702499
DJF,30,2.8928351
DJF,31,4.113151
JJA,0,6.2899027
JJA,1,3.8181884
JJA,2,4.479548
JJA,3,4.3787384
JJA,4,5.293422
JJA,5,4.095947
JJA,6,4.046845
JJA,7,3.744381
JJA,8,4.1922865
JJA,9,3.6544096
JJA,10,6.103266
JJA,11,3.4329252
JJA,12,4.5565658
JJA,13,5.96538
JJA,14,3.9052584
JJA,15,2.3281403
JJA,16,2.998464
JJA,17,5.8626513
JJA,18,3.7105808
JJA,19,5.566058
JJA,20,2.0747235
JJA,21,6.036596
JJA,22,6.709045
JJA,23,4.7467084
JJA,24,5.21499
JJA,25,4.26664
JJA,26,4.0964994
JJA,27,4.3794007
JJA,28,2.8619108
JJA,29,3.2588332
JJA,30,4.6542583
JJA,31,6.3456
MAM,0,3.4972143
MAM,1,3.594251
MAM,2,2.7491465
MAM,3,3.2178714
MAM,4,5.291841
MAM,5,2.4690948
MAM,6,2.5627327
MAM,7,4.6042943
MAM,8,4.087084
MAM,9,2.8065586
MAM,10,3.8442054
MAM,11,3.2661648
MAM,12,4.7884426
MAM,13,4.07469
MAM,14,2.611529
MAM,15,2.6839375
MAM,16,2.8510466
MAM,17,5.1901765
MAM,18,3.26015
MAM,19,4.4064584
MAM,20,1.2800239
MAM,21,3.3888617
MAM,22,3.4977343
MAM,23,4.91844
MAM,24,5.231447
MAM,25,6.1698494
MAM,26,1.8498333
MAM,27,3.569518
MAM,28,2.285587
MAM,29,3.2767546
MAM,30,4.09978
MAM,31,5.6862297
SON,0,5.384365
SON,1,3.8927975
SON,2,5.0175743
SON,3,3.6586533
SON,4,6.021826
SON,5,4.069379
SON,6,3.9089887
SON,7,4.1387453
SON,8,4.7759523
SON,9,3.00772
SON,10,4.6682296
SON,11,2.7256222
SON,12,6.0206366
SON,13,5.231648
SON,14,3.5593436
SON,15,2.7984545
SON,16,3.3075352
SON,17,5.8915796
SON,18,5.3037596
SON,19,5.7149262
SON,20,1.9620655
SON,21,5.249724
SON,22,5.2388062
SON,23,4.834067
SON,24,5.424616
SON,25,4.6533246
SON,26,3.5236568
SON,27,4.7154574
SON,28,2.3208601
SON,29,4.8550076
SON,30,4.9703417
SON,31,6.3539615
