month,projection,Tair
1,0,4.084586
1,1,1.7036207
1,2,3.2076051
1,3,2.5324414
1,4,4.646143
1,5,2.0618212
1,6,2.7422414
1,7,3.2561605
1,8,3.8166382
1,9,3.4840126
1,10,3.9742227
1,11,3.7400439
1,12,4.996064
1,13,5.8345613
1,14,3.0334299
1,15,3.3576415
1,16,2.9417267
1,17,6.3314137
1,18,3.3344774
1,19,4.40234
1,20,1.6428113
1,21,4.4656324
1,22,4.915484
1,23,5.8160596
1,24,6.3762946
1,25,3.2065547
1,26,2.8844364
1,27,2.5933433
1,28,1.4276913
1,29,3.2045753
1,30,2.5793014
1,31,3.4427958
2,0,3.8152623
2,1,1.577695
2,2,3.1106045
2,3,3.109984
2,4,2.6597402
2,5,3.2175958
2,6,2.876635
2,7,3.3212166
2,8,4.122477
2,9,3.826726
2,10,3.6126754
2,11,5.2394485
2,12,3.3033288
2,13,4.2549376
2,14,2.9677968
2,15,4.3854527
2,16,1.5582699
2,17,5.497662
2,18,2.9046125
2,19,5.0933304
2,20,2.1675732
2,21,3.543968
2,22,5.386483
2,23,7.798135
2,24,7.674659
2,25,3.2725654
2,26,1.4093579
2,27,3.0200968
2,28,2.1075175
2,29,3.6409943
2,30,2.3932884
2,31,3.518127
3,0,3.9067428
3,1,2.3307056
3,2,4.121544
3,3,3.5832996
3,4,6.9000535
3,5,2.6348374
3,6,2.3504887
3,7,5.975231
3,8,5.6287756
3,9,2.3028948
3,10,3.2590778
3,11,3.8710477
3,12,4.7225723
3,13,5.057676
3,14,3.0401657
3,15,2.1723027
3,16,2.32233
3,17,5.414712
3,18,1.8124492
3,19,2.941081
3,20,1.8677461
3,21,6.2629905
3,22,5.0813117
3,23,7.9877687
3,24,6.700641
3,25,7.184879
3,26,1.4331867
3,27,1.4842361
3,28,2.8198225
3,29,3.4371843
3,30,3.2384672
3,31,6.2900424
4,0,4.2241216
4,1,4.6037846
4,2,2.8867662
4,3,3.4565017
4,4,7.353461
4,5,1.9742723
4,6,2.6378336
4,7,3.2697911
4,8,3.4666755
4,9,3.8559406
4,10,4.892261
4,11,2.3779886
4,12,6.5840936
4,13,7.271622
4,14,5.1527863
4,15,4.183609
4,16,2.7981722
4,17,5.346766
4,18,2.8376722
4,19,4.4520087
4,20,1.4297135
4,21,3.1725118
4,22,3.8487158
4,23,3.4737346
4,24,5.390929
4,25,8.330479
4,26,2.8492098
4,27,3.4636388
4,28,2.2779195
4,29,4.603595
4,30,2.9749968
4,31,4.8092337
5,0,6.723709
5,1,5.646106
5,2,3.0311596
5,3,4.9478397
5,4,6.902942
5,5,3.2145376
5,6,3.4713364
5,7,5.181796
5,8,5.4297013
