month,projection,precip
1,0,11.973599
1,1,15.087981
1,2,-21.919085
1,3,4.8401375
1,4,22.169918
1,5,-9.963324
1,6,-3.2058067
1,7,1.3079711
1,8,0.9744797
1,9,15.651197
1,10,8.899083
1,11,27.221611
1,12,14.183757
1,13,20.058313
1,14,16.945623
1,15,15.415266
1,16,13.999003
1,17,25.295115
1,18,46.62533
1,19,11.266903
1,20,12.308973
1,21,1.5915201
1,22,19.738781
1,23,15.006497
1,24,8.421272
1,25,19.811653
1,26,27.660069
1,27,7.4409614
1,28,-1.2713368
1,29,13.337975
1,30,-7.845665
1,31,20.807648
2,0,-5.95809
2,1,-1.5011121
2,2,-7.010108
2,3,-16.406092
2,4,2.6520617
2,5,-0.62394005
2,6,39.305855
2,7,12.403876
2,8,-16.404116
2,9,2.3148065
2,10,-8.640473
2,11,40.150963
2,12,50.3719
2,13,8.061839
2,14,-5.2770667
2,15,5.160903
2,16,15.506045
2,17,8.366103
2,18,13.452265
2,19,22.390965
2,20,4.1107044
2,21,2.9580908
2,22,-16.427992
2,23,12.870243
2,24,49.00565
2,25,11.392153
2,26,37.522205
2,27,13.258052
2,28,7.656597
2,29,15.28403
2,30,-16.810244
2,31,-4.575748
3,0,2.0355077
3,1,4.231624
3,2,-3.995878
3,3,-0.008902764
3,4,15.782541
3,5,-6.2426147
3,6,41.784153
3,7,-16.937927
3,8,3.0300443
3,9,4.586401
3,10,12.8817425
3,11,11.593626
3,12,11.013539
3,13,3.6369488
3,14,23.632284
3,15,-11.087197
3,16,-14.750969
3,17,17.098179
3,18,7.0521207
3,19,6.4665318
3,20,17.691303
3,21,2.8297029
3,22,11.090392
3,23,33.985065
3,24,69.26628
3,25,35.92745
3,26,30.976429
3,27,15.237978
3,28,-1.9317224
3,29,16.901768
3,30,-11.49306
3,31,20.72364
4,0,-4.090945
4,1,-6.568404
4,2,11.347493
4,3,-4.4211736
4,4,8.99282
4,5,38.637505
4,6,0.63377875
4,7,-31.411543
4,8,12.85673
4,9,6.134329
4,10,18.404861
4,11,-4.5622973
4,12,-9.487374
4,13,28.5909
4,14,-12.587383
4,15,1.9704508
4,16,2.7460904
4,17,-21.268576
4,18,3.5473194
4,19,-26.51612
4,20,1.1929597
4,21,4.5548863
4,22,8.386103
4,23,44.974773
4,24,35.345737
4,25,19.22164
4,26,-15.582607
4,27,10.267501
4,28,6.833878
4,29,-6.408905
4,30,-1.2100922
4,31,14.577663
5,0,-7.0693016
5,1,-2.2371979
5,2,33.36005
5,3,-1.7089522
5,4,-38.67978
5,5,8.294633
5,6,30.008305
5,7,30.943022
5,8,-31.55489
5,9,10.024695
5,10,-7.8435764
5,11,7.0900903
5,12,-3.9808114
5,13,3.7988849
5,14,17.389587
5,15,-20.551548
5,16,29.309235
5,17,-11.198754
5,18,0.20710768
5,19,5.803544
5,20,-23.456686
5,21,7.9213142
5,22,-30.012966
5,23,-33.255188
5,24,-14.470938
5,25,-7.904475
5,26,-1.9527713
5,27,1.1922863
5,28,-16.057909
5,29,17.685637
5,30,-32.6723
5,31,14.865591
6,0,-26.038439
6,1,-3.223709
6,2,-27.196684
6,3,-13.636446
6,4,26.273357
6,5,-6.0582113
6,6,16.76124
6,7,26.878893
6,8,-23.436033
6,9,-11.120263
6,10,-43.197975
6,11,13.742616
6,12,-4.207993
6,13,-18.159264
6,14,-22.668892
6,15,-14.522169
6,16,-6.855285
6,17,1.9224735
6,18,0.46848887
6,19,-12.747134
6,20,20.688475
6,21,-31.48161
6,22,-35.504387
6,23,12.674616
6,24,3.5806499
6,25,2.556691
6,26,-9.581586
6,27,-9.356565
6,28,-9.597313
6,29,8.878394
6,30,-20.394146
6,31,24.234934
7,0,-18.509441
7,1,-8.968321
7,2,-10.156429
7,3,4.6781707
7,4,20.161377
7,5,-6.194088
7,6,1.1784617
7,7,20.991808
7,8,-0.18064727
7,9,4.3387833
7,10,-1.6458634
7,11,-14.3098135
7,12,-2.4545958
7,13,14.463772
7,14,-8.354908
7,15,38.93322
7,16,6.713479
7,17,-26.566065
7,18,-21.845724
7,19,-10.043352
7,20,-4.9711127
7,21,3.0893748
7,22,-12.73903
7,23,-12.32126
7,24,17.352926
7,25,16.23015
7,26,-10.091374
7,27,-12.928907
7,28,-10.429131
7,29,19.374403
7,30,-19.207634
7,31,-11.657229
8,0,-19.985462
8,1,3.6579561
8,2,-2.3407881
8,3,-21.478514
8,4,7.956647
8,5,6.941191
8,6,-4.2315655
8,7,9.291271
8,8,-1.6541278
8,9,15.268167
8,10,-1.8220352
8,11,-0.99263775
8,12,8.43098
8,13,10.972543
8,14,7.2269807
8,15,15.8217
8,16,1.7787337
8,17,-20.428497
8,18,4.2047887
8,19,-14.273392
8,20,-10.408647
8,21,-0.630015
8,22,-13.764183
8,23,0.3963801
8,24,16.967695
8,25,45.36355
8,26,19.10223
8,27,-13.063947
8,28,13.339722
8,29,11.7772255
8,30,-21.526913
8,31,-2.368953
9,0,-4.8774815
9,1,11.681113
9,2,-33.635883
9,3,-12.865099
9,4,4.2976856
9,5,4.916869
9,6,24.83269
9,7,25.283072
9,8,-13.98889
9,9,11.294628
9,10,47.928818
9,11,-5.571424
9,12,-4.83411
9,13,-16.235266
9,14,9.369466
9,15,-7.6095276
9,16,-4.0022335
9,17,-10.237826
9,18,3.7112012
9,19,-10.150976
9,20,-33.779613
9,21,-18.976704
9,22,-18.41243
9,23,-0.6963842
9,24,7.026168
9,25,24.484818
9,26,13.319947
9,27,12.368334
9,28,-19.22813
9,29,-7.906454
9,30,6.491134
9,31,34.909267
10,0,-41.476788
10,1,24.924437
10,2,-25.670185
10,3,-7.886073
10,4,-34.889236
10,5,4.5634828
10,6,-18.032373
10,7,6.264326
10,8,-2.4153798
10,9,16.1393
10,10,-7.7627287
10,11,0.96548843
10,12,26.478662
10,13,-16.463696
10,14,-25.061312
10,15,24.574877
10,16,23.340172
10,17,-18.525122
10,18,-24.071678
10,19,-4.833166
10,20,-30.681797
10,21,2.6653414
10,22,23.922504
10,23,28.476377
10,24,-11.5064745
10,25,2.1547642
10,26,2.9785097
10,27,-39.044594
10,28,-14.260573
10,29,41.497375
10,30,-0.3936026
10,31,19.321016
11,0,5.2743683
11,1,-4.850964
11,2,-6.6573806
11,3,-2.5707045
11,4,21.509823
11,5,16.466219
11,6,27.076027
11,7,-13.327549
11,8,-9.973009
11,9,0.8193952
11,10,-23.640923
11,11,17.599188
11,12,-3.6945164
11,13,14.49377
11,14,6.0615387
11,15,-6.7405233
11,16,-27.264801
11,17,6.654057
11,18,5.4647317
11,19,20.736364
11,20,56.03593
11,21,27.464167
11,22,25.93683
11,23,-27.190075
11,24,23.946407
11,25,-5.5542765
11,26,49.293293
11,27,5.0211463
11,28,9.384756
11,29,-5.304888
11,30,-6.7804112
11,31,24.139584
12,0,16.131796
12,1,2.0016139
12,2,8.6336565
12,3,19.846943
12,4,10.307682
12,5,70.02231
12,6,10.465209
12,7,25.38486
12,8,6.670275
12,9,-2.9130337
12,10,-6.8489017
12,11,-6.9743237
12,12,-4.8294578
12,13,20.742727
12,14,7.1582966
12,15,12.929252
12,16,-8.96846
12,17,-10.083197
12,18,-14.441514
12,19,-9.443639
12,20,8.290546
12,21,10.183753
12,22,-5.193834
12,23,24.482866
12,24,15.121693
12,25,3.248826
12,26,-5.524864
12,27,12.123487
12,28,7.0719028
12,29,0.6445966
12,30,36.92433
12,31,5.709482
