season,projection,precip
DJF,0,7.758739
DJF,1,10.210861
DJF,2,-1.9161907
DJF,3,11.033084
DJF,4,33.036102
DJF,5,22.113094
DJF,6,15.350488
DJF,7,15.698582
DJF,8,2.857673
DJF,9,1.3261883
DJF,10,-12.184562
DJF,11,28.191608
DJF,12,7.3830237
DJF,13,13.7374
DJF,14,5.5040135
DJF,15,14.375658
DJF,16,11.338052
DJF,17,23.474016
DJF,18,19.23545
DJF,19,9.74568
DJF,20,12.752474
DJF,21,12.809152
DJF,22,-10.153438
DJF,23,24.190792
DJF,24,31.004402
DJF,25,2.6918423
DJF,26,26.277569
DJF,27,18.30425
DJF,28,12.490603
DJF,29,18.14997
DJF,30,2.5651238
DJF,31,1.9366158
JJA,0,-16.993517
JJA,1,-1.4068568
JJA,2,-5.684887
JJA,3,-2.99499
JJA,4,15.757298
JJA,5,7.405062
JJA,6,6.9391923
JJA,7,15.446756
JJA,8,1.2601395
JJA,9,3.8636272
JJA,10,-13.726481
JJA,11,-0.22751942
JJA,12,-1.5195578
JJA,13,10.203093
JJA,14,15.576443
JJA,15,21.529951
JJA,16,3.7194211
JJA,17,-22.694738
JJA,18,-9.552132
JJA,19,-8.1760025
JJA,20,-3.660319
JJA,21,0.89704114
JJA,22,-25.076712
JJA,23,-1.3478552
JJA,24,20.879004
JJA,25,14.108346
JJA,26,0.86887115
JJA,27,-8.576237
JJA,28,-3.3840652
JJA,29,23.267437
JJA,30,-9.070737
JJA,31,-5.5483127
MAM,0,-2.0091562
MAM,1,0.03459688
MAM,2,7.686175
MAM,3,1.5276822
MAM,4,-5.3802633
MAM,5,13.740394
MAM,6,15.35853
MAM,7,-4.305813
MAM,8,-1.4114604
MAM,9,10.851695
MAM,10,5.642454
MAM,11,19.381983
MAM,12,1.7308533
MAM,13,6.143242
MAM,14,3.2336538
MAM,15,0.091053195
MAM,16,2.0777047
MAM,17,-7.987626
MAM,18,5.004062
MAM,19,-8.364049
MAM,20,-0.77690786
MAM,21,4.8268886
MAM,22,-6.7632995
MAM,23,19.985058
MAM,24,27.47145
MAM,25,18.455215
MAM,26,-4.9102726
MAM,27,7.3608356
MAM,28,12.1451645
MAM,29,9.411065
MAM,30,-9.107685
MAM,31,17.327538
SON,0,-15.194305
SON,1,3.207998
SON,2,-7.973972
SON,3,-10.483881
SON,4,-5.2902384
SON,5,9.262435
SON,6,8.624502
SON,7,2.2137692
SON,8,-27.409739
SON,9,17.221514
SON,10,12.684557
SON,11,11.224363
SON,12,3.011819
SON,13,-5.8951135
SON,14,23.868422
SON,15,7.6977267
SON,16,7.2101607
SON,17,-13.264854
SON,18,-5.7537937
SON,19,4.560265
SON,20,-6.794463
SON,21,-4.768059
SON,22,-0.6400846
SON,23,-1.7489595
SON,24,0.9371193
SON,25,2.2928176
SON,26,-2.741721
SON,27,1.6423056
SON,28,1.9680742
SON,29,5.279581
SON,30,5.0353603
SON,31,12.348058
