season,projection,Tair
DJF,0,1.6604376
DJF,1,2.4380808
DJF,2,2.7296896
DJF,3,2.0963466
DJF,4,2.8850243
DJF,5,2.4361694
DJF,6,2.7755592
DJF,7,2.9191394
DJF,8,2.5142496
DJF,9,3.431068
DJF,10,3.3499768
DJF,11,3.1654358
DJF,12,3.6737473
DJF,13,4.7617345
DJF,14,2.3048131
DJF,15,2.941707
DJF,16,1.1130961
DJF,17,5.3459153
DJF,18,4.2508883
DJF,19,3.3210347
DJF,20,1.639688
DJF,21,2.4118629
DJF,22,4.1526046
DJF,23,3.3515956
DJF,24,4.6155033
DJF,25,4.391393
DJF,26,2.5278003
DJF,27,2.4784813
DJF,28,1.2127541
DJF,29,3.118729
DJF,30,1.4574419
DJF,31,3.4634192
JJA,0,6.564252
JJA,1,4.1102357
JJA,2,4.165236
JJA,3,4.1787667
JJA,4,4.7378383
JJA,5,3.802533
JJA,6,3.6354084
JJA,7,4.122915
JJA,8,4.9416986
JJA,9,3.3546562
JJA,10,5.8420105
JJA,11,3.529622
JJA,12,4.858513
JJA,13,6.4985332
JJA,14,3.580717
JJA,15,1.8843166
JJA,16,3.1313334
JJA,17,6.485358
JJA,18,4.595332
JJA,19,5.951134
JJA,20,1.886028
JJA,21,5.182917
JJA,22,5.1678452
JJA,23,3.6315753
JJA,24,3.8483047
JJA,25,3.537917
JJA,26,3.6652088
JJA,27,4.147267
JJA,28,2.3341312
JJA,29,3.4578214
JJA,30,4.9166923
JJA,31,6.692984
MAM,0,3.7822025
MAM,1,3.681502
MAM,2,2.641298
MAM,3,3.168042
MAM,4,6.168991
MAM,5,2.2908256
MAM,6,2.260261
MAM,7,4.2617655
MAM,8,3.3837256
MAM,9,2.594108
MAM,10,3.7855535
MAM,11,2.9122055
MAM,12,5.0025487
MAM,13,6.1027102
MAM,14,3.2528102
MAM,15,3.747348
MAM,16,3.011131
MAM,17,5.16709
MAM,18,2.770138
MAM,19,3.3551025
MAM,20,1.2022592
MAM,21,3.6967793
MAM,22,3.7910006
MAM,23,4.699552
MAM,24,4.9655666
MAM,25,6.78068
MAM,26,2.253395
MAM,27,3.3267245
MAM,28,2.060413
MAM,29,3.5091493
MAM,30,3.3402061
MAM,31,5.506017
SON,0,5.320083
SON,1,4.0835347
SON,2,4.809369
SON,3,3.560317
SON,4,4.6115294
SON,5,3.6495483
SON,6,3.6392143
SON,7,4.3290052
SON,8,4.7354593
SON,9,2.910918
SON,10,4.253842
SON,11,2.419235
SON,12,5.272377
SON,13,6.074364
SON,14,3.307137
SON,15,2.3979082
SON,16,3.5162742
SON,17,5.9265327
SON,18,5.010384
SON,19,4.886174
SON,20,1.916389
SON,21,4.212556
SON,22,4.6067758
SON,23,3.644765
SON,24,3.8105915
SON,25,3.9127831
SON,26,3.6304595
SON,27,4.383948
SON,28,2.2051454
SON,29,4.2049866
SON,30,4.8975773
SON,31,6.387769
