month,projection,Tair
1,0,6.077989
1,1,3.8112645
1,2,4.7687726
1,3,2.9304338
1,4,6.8103213
1,5,3.3944757
1,6,4.440503
1,7,5.9412894
1,8,5.77417
1,9,5.6240435
1,10,4.7654757
1,11,4.824289
1,12,5.9793825
1,13,7.4869018
1,14,4.0139356
1,15,4.3563023
1,16,2.891707
1,17,9.185765
1,18,6.8187547
1,19,6.0924115
1,20,3.3880308
1,21,5.756139
1,22,5.9771237
1,23,8.75148
1,24,9.188094
1,25,5.9072256
1,26,4.882427
1,27,3.6950994
1,28,1.5325352
1,29,4.5887833
1,30,4.5150433
1,31,5.004778
2,0,5.809086
2,1,3.1468406
2,2,3.7815073
2,3,4.5600896
2,4,6.0733023
2,5,4.9495826
2,6,4.9089217
2,7,6.6987567
2,8,5.7613864
2,9,4.46796
2,10,5.0067105
2,11,6.4635706
2,12,3.9457994
2,13,5.739998
2,14,3.375563
2,15,4.535608
2,16,1.3140008
2,17,7.730487
2,18,5.435259
2,19,5.895413
2,20,3.3048186
2,21,4.83865
2,22,5.319817
2,23,10.305327
2,24,10.629854
2,25,6.606503
2,26,1.5457737
2,27,3.714452
2,28,2.2684586
2,29,4.309332
2,30,3.9423816
2,31,5.196564
3,0,4.6639333
3,1,3.1896596
3,2,4.3578916
3,3,4.887661
3,4,8.638465
3,5,4.56004
3,6,3.3394578
3,7,9.097985
3,8,5.8350215
3,9,3.3031683
3,10,3.999517
3,11,4.9502497
3,12,6.652648
3,13,6.332945
3,14,3.9548995
3,15,4.1745596
3,16,2.4166892
3,17,6.3659577
3,18,3.5275652
3,19,3.5178237
3,20,2.0502656
3,21,6.573631
3,22,5.888095
3,23,9.888361
3,24,10.104935
3,25,11.071052
3,26,2.481655
3,27,1.641804
3,28,3.0595498
3,29,4.0093694
3,30,3.537041
3,31,7.229887
4,0,4.3519096
4,1,4.5124187
4,2,2.6220224
4,3,3.5318835
4,4,6.668317
4,5,2.5626733
4,6,3.650858
4,7,5.402593
4,8,3.1378763
4,9,4.230113
4,10,5.220835
4,11,2.906148
4,12,8.746787
4,13,7.8479924
4,14,6.110067
4,15,4.9523344
4,16,2.753857
4,17,5.9421277
4,18,4.077242
4,19,5.167708
4,20,1.177167
4,21,2.9871066
4,22,3.8590858
4,23,5.78531
4,24,8.480796
4,25,9.764952
4,26,2.4340274
4,27,2.4729714
4,28,2.9008634
4,29,5.242887
4,30,2.7831912
4,31,6.6746244
5,0,6.419936
5,1,5.2595887
5,2,2.7251894
5,3,4.319715
5,4,5.5311947
5,5,3.245842
5,6,3.52977
5,7,5.7481503
5,8,4.459214
5,9,4.774405
5,10,6.137354
5,11,4.183196
5,12,6.1261053
5,13,8.078113
5,14,5.6324635
5,15,5.4600263
5,16,2.8727136
5,17,6.415073
5,18,4.441223
5,19,6.939948
5,20,2.2179558
5,21,5.1107564
5,22,4.7822523
5,23,5.3377733
5,24,6.5820737
5,25,6.9267244
5,26,3.7871246
5,27,2.9083967
5,28,3.9833746
5,29,5.1014986
5,30,3.9192429
5,31,6.21027
6,0,6.136894
6,1,4.958856
6,2,3.6895418
6,3,3.8238087
6,4,6.3165565
6,5,3.8446174
6,6,3.7208908
6,7,5.3619084
6,8,5.389937
6,9,4.7430005
6,10,7.5332975
6,11,3.4370315
6,12,5.2199116
6,13,7.5596423
6,14,2.595628
6,15,1.7991228
6,16,4.051404
6,17,6.344549
6,18,5.38258
6,19,6.800108
6,20,4.027782
6,21,6.1536913
6,22,7.0162845
6,23,4.8654995
6,24,5.0598702
6,25,4.2403913
6,26,4.234483
6,27,4.129735
6,28,2.8872619
6,29,4.102561
6,30,6.0510206
6,31,7.0659013
7,0,6.154081
7,1,5.0112777
7,2,4.2934194
7,3,4.307054
7,4,4.803185
7,5,4.451066
7,6,4.08609
7,7,4.348862
7,8,6.5710907
7,9,4.1693835
7,10,5.9304233
7,11,3.2241783
7,12,6.2959504
7,13,9.3351965
7,14,2.5052588
7,15,0.87084675
7,16,3.0128183
7,17,6.717743
7,18,4.96611
7,19,4.8500485
7,20,3.4369318
7,21,5.2869987
7,22,6.0382094
7,23,4.507723
7,24,3.9863033
7,25,4.111685
7,26,3.5586467
7,27,3.8216507
7,28,2.4432633
7,29,4.878237
7,30,6.0638933
7,31,7.479252
8,0,6.084156
8,1,4.389785
8,2,4.7404304
8,3,4.8790007
8,4,4.986512
8,5,5.3940225
8,6,5.427907
8,7,4.3124356
8,8,7.3146353
8,9,3.8221881
8,10,5.9386096
8,11,3.658883
8,12,5.286645
8,13,9.993688
8,14,3.8844016
8,15,1.9346151
8,16,4.4032016
8,17,7.4724317
8,18,5.1870265
8,19,6.2249064
8,20,3.5405037
8,21,6.493538
8,22,6.5219407
8,23,4.953016
8,24,4.798208
8,25,4.090843
8,26,4.796128
8,27,4.1904483
8,28,2.6871958
8,29,3.8949897
8,30,5.215028
8,31,6.794206
9,0,7.0579877
9,1,6.131061
9,2,4.9712205
9,3,5.230529
9,4,5.7126637
9,5,4.654845
9,6,5.064637
9,7,4.591837
9,8,6.90003
9,9,4.256179
9,10,6.79629
9,11,3.577981
9,12,6.5219235
9,13,9.309814
9,14,3.435684
9,15,2.327541
9,16,5.2532125
9,17,8.35147
9,18,6.569977
9,19,6.153741
9,20,4.4840784
9,21,6.979161
9,22,6.9462414
9,23,7.349546
9,24,5.801318
9,25,5.000719
9,26,4.8458376
9,27,6.512142
9,28,2.8888721
9,29,5.329677
9,30,7.564636
9,31,7.445117
10,0,6.2456675
10,1,4.8153634
10,2,4.981109
10,3,3.3364944
10,4,6.4165373
10,5,4.511951
10,6,5.120978
10,7,5.041625
10,8,6.78553
10,9,3.0354245
10,10,7.7531466
10,11,3.8188133
10,12,6.3662343
10,13,8.3640585
10,14,3.7677336
10,15,1.0670196
10,16,3.5996652
10,17,7.4889264
10,18,7.9212584
10,19,8.067418
10,20,1.4465277
10,21,5.151924
10,22,5.866554
10,23,5.4780474
10,24,6.077657
10,25,5.9738593
10,26,4.70358
10,27,3.3521004
10,28,2.2885637
10,29,4.5514555
10,30,6.3694825
10,31,7.240911
11,0,5.79602
11,1,5.3379664
11,2,5.289374
11,3,4.6806393
11,4,4.956844
11,5,3.6739306
11,6,3.5468698
11,7,5.4869256
11,8,4.9435444
11,9,4.455867
11,10,5.1883845
11,11,0.7238935
11,12,4.2196393
11,13,6.24346
11,14,2.3466911
11,15,2.0870085
11,16,2.3974428
11,17,5.7705297
11,18,4.811078
11,19,5.7337823
11,20,2.33683
11,21,4.5779686
11,22,5.0719557
11,23,5.8889174
11,24,6.109615
11,25,5.632987
11,26,2.8042233
11,27,5.939361
11,28,2.9851882
11,29,4.6542225
11,30,3.9694057
11,31,5.9166617
12,0,4.974651
12,1,4.302817
12,2,4.561956
12,3,3.5336194
12,4,6.8536034
12,5,3.2798042
12,6,4.1670637
12,7,6.060199
12,8,5.3122888
12,9,4.0781274
12,10,4.8219905
12,11,4.098042
12,12,5.722072
12,13,5.347555
12,14,3.102848
12,15,1.1263304
12,16,1.336976
12,17,6.524186
12,18,6.587785
12,19,4.4217396
12,20,2.252914
12,21,5.287789
12,22,7.304818
12,23,5.555011
12,24,4.977097
12,25,5.9218693
12,26,5.001292
12,27,3.1580052
12,28,1.3439609
12,29,4.9746256
12,30,2.6916788
12,31,4.267014
