month,projection,precip
1,0,-9.002249
1,1,-2.0512662
1,2,-13.316546
1,3,-12.742697
1,4,-4.75223
1,5,15.195581
1,6,1.5375365
1,7,-16.315737
1,8,1.7047935
1,9,45.556362
1,10,5.610398
1,11,3.1453893
1,12,39.686386
1,13,29.74757
1,14,-4.6771665
1,15,13.000841
1,16,-4.851432
1,17,4.2657547
1,18,22.076616
1,19,22.661383
1,20,63.548077
1,21,-11.476976
1,22,2.172227
1,23,-9.848505
1,24,-10.921942
1,25,-3.4147327
1,26,15.065516
1,27,13.546623
1,28,40.991547
1,29,5.1339855
1,30,-12.006629
1,31,16.69061
2,0,3.2629132
2,1,-11.093472
2,2,8.090828
2,3,-3.2194953
2,4,-11.309928
2,5,15.1577015
2,6,-2.4015276
2,7,-2.858221
2,8,-0.58587116
2,9,13.58717
2,10,-3.088412
2,11,36.47435
2,12,-4.219393
2,13,-4.085216
2,14,-12.437601
2,15,-5.7140627
2,16,4.313874
2,17,-12.015647
2,18,7.6715045
2,19,29.991182
2,20,17.032969
2,21,-10.236924
2,22,-7.5915165
2,23,-23.655323
2,24,11.88341
2,25,-4.8886333
2,26,8.026881
2,27,26.92801
2,28,4.1178956
2,29,-4.9592457
2,30,-9.959774
2,31,26.697147
3,0,-12.04083
3,1,21.689077
3,2,-6.7182684
3,3,-3.0927207
3,4,-7.8682766
3,5,-21.70358
3,6,31.67979
3,7,1.3840522
3,8,0.05550019
3,9,10.07457
3,10,8.091686
3,11,-0.17929308
3,12,19.34246
3,13,-0.5655715
3,14,17.830887
3,15,-15.730093
3,16,-24.173882
3,17,-10.954886
3,18,6.2218738
3,19,-5.4630346
3,20,4.880343
3,21,5.7168117
3,22,-0.6642498
3,23,12.2138405
3,24,36.91097
3,25,-1.5797833
3,26,13.520628
3,27,9.462876
3,28,-6.9265494
3,29,-1.9399474
3,30,-11.240532
3,31,37.4579
4,0,-0.56885105
4,1,-13.26247
4,2,-8.285342
4,3,0.8233443
4,4,16.469845
4,5,25.67207
4,6,-7.314934
4,7,-23.078808
4,8,-3.6811764
4,9,-8.2390375
4,10,11.545739
4,11,23.091356
4,12,19.900208
4,13,17.178036
4,14,-13.196844
4,15,3.86023
4,16,4.479229
4,17,-27.32536
4,18,-15.31619
4,19,-43.50949
4,20,-17.597696
4,21,-24.356535
4,22,-12.796516
4,23,21.913
4,24,27.691645
4,25,18.60706
4,26,-7.321652
4,27,-0.80072683
4,28,-10.224143
4,29,-10.791175
4,30,-2.0254636
4,31,64.96499
5,0,-16.453003
5,1,24.837915
5,2,16.452003
5,3,-32.942104
5,4,-33.61238
5,5,11.439056
5,6,2.054942
5,7,-36.392803
5,8,-28.425673
5,9,33.614403
5,10,-26.461113
5,11,17.690678
5,12,-20.248178
5,13,-23.732832
5,14,-5.64043
5,15,-38.33096
5,16,36.92213
5,17,-15.727613
5,18,-3.242904
5,19,-34.226433
5,20,-18.86513
5,21,-29.728117
5,22,-15.825322
5,23,-28.628593
5,24,-31.713804
5,25,3.322101
5,26,-18.611761
5,27,15.677431
5,28,-21.462685
5,29,-1.4807137
5,30,-35.93387
5,31,29.198303
6,0,-30.57794
