season,projection,precip
DJF,0,3.8562496
DJF,1,0.3840316
DJF,2,-6.598641
DJF,3,-14.007399
DJF,4,24.612122
DJF,5,14.173804
DJF,6,12.02059
DJF,7,-6.295489
DJF,8,-5.064296
DJF,9,-2.632621
DJF,10,-3.5334244
DJF,11,17.198626
DJF,12,-2.3906677
DJF,13,18.704117
DJF,14,9.585221
DJF,15,-3.6601152
DJF,16,13.332704
DJF,17,-3.9660568
DJF,18,11.911803
DJF,19,19.360796
DJF,20,29.477898
DJF,21,-13.65266
DJF,22,-13.209753
DJF,23,-13.819872
DJF,24,4.7466755
DJF,25,-13.293786
DJF,26,26.79253
DJF,27,23.514093
DJF,28,21.2223
DJF,29,4.8684297
DJF,30,-4.77537
DJF,31,15.46376
JJA,0,3.4031875
JJA,1,5.857612
JJA,2,-14.464076
JJA,3,-12.16173
JJA,4,26.802467
JJA,5,-1.2181025
JJA,6,-5.555967
JJA,7,11.643512
JJA,8,-5.9682226
JJA,9,4.4118834
JJA,10,12.323531
JJA,11,-6.1442657
JJA,12,2.1106734
JJA,13,1.0472095
JJA,14,12.816137
JJA,15,35.87866
JJA,16,-13.487024
JJA,17,-12.243281
JJA,18,-7.835764
JJA,19,-4.0354652
JJA,20,4.500797
JJA,21,-2.0906675
JJA,22,-32.71457
JJA,23,3.2630808
JJA,24,19.6438
JJA,25,22.028393
JJA,26,-2.3791254
JJA,27,-15.419105
JJA,28,3.483294
JJA,29,13.965419
JJA,30,-16.197477
JJA,31,-18.538128
MAM,0,-13.125552
MAM,1,10.334932
MAM,2,-9.9578705
MAM,3,-1.1714323
MAM,4,-0.43925908
MAM,5,-7.366199
MAM,6,0.19621037
MAM,7,-8.884117
MAM,8,-16.367168
MAM,9,21.06521
MAM,10,-13.067166
MAM,11,20.67659
MAM,12,12.830167
MAM,13,-3.5266266
MAM,14,7.110875
MAM,15,6.6590014
MAM,16,-2.8058524
MAM,17,-14.923948
MAM,18,1.7277112
MAM,19,-20.01196
MAM,20,-7.722155
MAM,21,-17.993431
MAM,22,-4.403541
MAM,23,17.15596
MAM,24,14.44021
MAM,25,14.005145
MAM,26,-10.79759
MAM,27,6.6433916
MAM,28,-10.180743
MAM,29,-8.423008
MAM,30,-14.095214
MAM,31,33.603962
SON,0,-12.055346
SON,1,-5.175259
SON,2,-8.213853
SON,3,-14.95023
SON,4,-5.563013
SON,5,-0.40057552
SON,6,-22.079533
SON,7,0.8311424
SON,8,-16.231794
SON,9,8.681381
SON,10,19.125084
SON,11,27.233812
SON,12,8.116365
SON,13,-9.874564
SON,14,19.44887
SON,15,9.93628
SON,16,3.3028138
SON,17,-12.400868
SON,18,-2.6570086
SON,19,-4.60456
SON,20,10.99926
SON,21,2.4752398
SON,22,-25.502884
SON,23,-0.9426738
SON,24,17.070019
SON,25,-8.346111
SON,26,-2.6490247
SON,27,21.492306
SON,28,1.9481202
SON,29,0.18774353
SON,30,-3.4278512
SON,31,19.688465
