season,projection,Tair
DJF,0,5.620576
DJF,1,3.7536411
DJF,2,4.3707457
DJF,3,3.6747155
DJF,4,6.579075
DJF,5,3.874622
DJF,6,4.5054984
DJF,7,6.2334156
DJF,8,5.6159463
DJF,9,4.7233815
DJF,10,4.8647256
DJF,11,5.1286335
DJF,12,5.2157483
DJF,13,6.1914873
DJF,14,3.497451
DJF,15,3.3394136
DJF,16,1.8475604
DJF,17,7.81348
DJF,18,6.2806
DJF,19,5.469853
DJF,20,2.9819236
DJF,21,5.294191
DJF,22,6.2005873
DJF,23,8.203941
DJF,24,8.265019
DJF,25,6.145198
DJF,26,3.8098285
DJF,27,3.522518
DJF,28,1.7149873
DJF,29,4.6242476
DJF,30,3.7163718
DJF,31,4.8227887
JJA,0,6.125039
JJA,1,4.7866383
JJA,2,4.2411413
JJA,3,4.3366227
JJA,4,5.3687525
JJA,5,4.5632315
JJA,6,4.4116254
JJA,7,4.674401
JJA,8,6.4252043
JJA,9,4.244865
JJA,10,6.46744
JJA,11,3.440034
JJA,12,5.60083
JJA,13,8.962838
JJA,14,2.9950962
JJA,15,1.5348638
JJA,16,3.822473
JJA,17,6.8449163
JJA,18,5.1785603
JJA,19,5.958356
JJA,20,3.6684103
JJA,21,5.9780765
JJA,22,6.5254803
JJA,23,4.7754064
JJA,24,4.6147933
JJA,25,4.1476393
JJA,26,4.1964135
JJA,27,4.0472775
JJA,28,2.6725736
JJA,29,4.2919326
JJA,30,5.776647
JJA,31,7.113122
MAM,0,5.145261
MAM,1,4.3205557
MAM,2,3.235035
MAM,3,4.2464194
MAM,4,6.9459934
MAM,5,3.4561837
MAM,6,3.5066955
MAM,7,6.7495766
MAM,8,4.4773693
MAM,9,4.102562
MAM,10,5.119232
MAM,11,4.013197
MAM,12,7.17518
MAM,13,7.4196835
MAM,14,5.2324753
MAM,15,4.8623085
MAM,16,2.6810846
MAM,17,6.2410574
MAM,18,4.015344
MAM,19,5.208493
MAM,20,1.8151311
MAM,21,4.8904986
MAM,22,4.843142
MAM,23,7.0038166
MAM,24,8.389268
MAM,25,9.254246
MAM,26,2.9009352
MAM,27,2.3410568
MAM,28,3.3145962
MAM,29,4.7845855
MAM,30,3.4131598
MAM,31,6.7049236
SON,0,6.366556
SON,1,5.42813
SON,2,5.0805655
SON,3,4.415885
SON,4,5.6953473
SON,5,4.2802444
SON,6,4.577498
SON,7,5.0401325
SON,8,6.2097015
SON,9,3.9158242
SON,10,6.5792785
SON,11,2.706899
SON,12,5.7026
SON,13,7.9724493
SON,14,3.1833692
SON,15,1.8271885
SON,16,3.7501066
SON,17,7.2036457
SON,18,6.434106
SON,19,6.6516395
SON,20,2.7558105
SON,21,5.5696898
SON,22,5.961585
SON,23,6.238837
SON,24,5.996192
SON,25,5.5358553
SON,26,4.117882
SON,27,5.2678695
SON,28,2.7208695
SON,29,4.8451176
SON,30,5.9678426
SON,31,6.8675656
