year,projection,tas_sm
1950,0,0.62670135
1950,1,0.6803303
1950,2,-0.12055969
1950,3,0.733305
1950,4,0.3301611
1950,5,-0.42369556
1950,6,-0.32542086
1950,7,0.72074175
1950,8,-0.25918913
1950,9,-0.0724535
1950,10,0.4291706
1950,11,-0.5474906
1950,12,-0.61268616
1950,13,-0.54264545
1950,14,-0.44379663
1950,15,-0.28244257
1950,16,-1.315002
1950,17,-0.30027056
1950,18,0.7478256
1950,19,0.21832514
1950,20,0.2408123
1950,21,1.1493573
1950,22,-0.8141794
1950,23,0.66202545
1950,24,-0.46219778
1950,25,-0.1132226
1950,26,-0.15681744
1950,27,0.56722593
1950,28,-0.10726309
1950,29,-0.2144146
1950,30,0.31411457
1950,31,-0.17340994
1950,32,-0.45384836
1950,33,-0.6725054
1950,34,0.0140657425
1950,35,0.72704315
1951,0,0.3793049
1951,1,1.1271095
1951,2,-0.79508257
1951,3,0.55903816
1951,4,0.005197525
1951,5,-0.42895126
1951,6,0.021715164
1951,7,1.2891622
1951,8,-0.6265249
1951,9,-0.15924978
1951,10,0.8251209
1951,11,-1.7452152
1951,12,-1.0308299
1951,13,-1.118803
1951,14,-0.5776744
1951,15,1.021133
1951,16,-0.7239909
1951,17,-0.56188345
1951,18,0.6613445
1951,19,-0.045869827
1951,20,0.670135
1951,21,0.4583726
1951,22,0.44481564
1951,23,-0.027812004
1951,24,-0.9440503
1951,25,-0.9012475
1951,26,0.9549389
1951,27,-0.5390086
1951,28,-0.33923388
1951,29,0.030378342
1951,30,0.7061558
1951,31,0.5250783
1951,32,-0.93054247
1951,33,1.2338076
1951,34,-0.14627695
1951,35,0.011446953
1952,0,0.6199894
1952,1,0.11685276
1952,2,-0.8208642
1952,3,-0.9621558
1952,4,0.15408134
1952,5,-0.5552683
1952,6,1.2888937
1952,7,0.020298958
1952,8,-0.1388812
1952,9,1.286087
1952,10,-0.19599342
1952,11,-0.09334707
1952,12,0.38752007
1952,13,-0.9339771
1952,14,-1.0385499
1952,15,1.1619973
1952,16,0.13192987
1952,17,-1.5584402
1952,18,0.5458374
1952,19,-0.24748516
1952,20,-0.10210037
1952,21,0.38597345
1952,22,-0.1786623
1952,23,-0.0930872
1952,24,-0.5626049
1952,25,-0.082396984
1952,26,-1.3655682
1952,27,0.9281478
1952,28,-0.26451254
1952,29,-0.4114828
1952,30,-0.020277977
1952,31,-0.21786594
1952,32,0.051968575
1952,33,0.72711706
1952,34,-0.86118174
1952,35,0.4904337
1953,0,0.064165115
1953,1,-0.38384628
1953,2,0.22554731
1953,3,-0.048733234
1953,4,-0.05179596
1953,5,-1.3618283
1953,6,-0.44861364
1953,7,-0.79171705
1953,8,1.3472843
1953,9,0.026762009
1953,10,0.7590685
1953,11,-0.44044018
1953,12,-2.1843855
1953,13,-0.9295664
1953,14,-0.49219656
1953,15,0.4574952
1953,16,-0.4902625
1953,17,-0.3648858
1953,18,-0.35193872
1953,19,-0.3164115
1953,20,0.8038292
1953,21,0.17170334
1953,22,0.100949764
1953,23,0.030248642
1953,24,-0.27428675
1953,25,-1.0631669
1953,26,0.25889206
1953,27,0.48585558
1953,28,0.11799431
1953,29,-0.018550396
1953,30,0.63436604
1953,31,-0.5946045
1953,32,0.12782049
1953,33,0.34416628
1953,34,1.0883217
1953,35,0.89288044
1954,0,-0.17437744
1954,1,-0.39879608
1954,2,-1.3164258
1954,3,0.26207972
1954,4,0.26488018
1954,5,-0.16623545
1954,6,-0.16671371
1954,7,-0.7228966
1954,8,0.19971085
1954,9,-1.3220506
1954,10,0.043854713
1954,11,-1.5574808
1954,12,-1.3666639
1954,13,-1.4706316
1954,14,-0.6825719
1954,15,0.730885
1954,16,-0.42609978
1954,17,0.26915503
1954,18,-0.57855844
1954,19,0.055235863
1954,20,0.57946587
1954,21,0.039597988
1954,22,0.9045682
1954,23,0.6653919
1954,24,-0.95073557
1954,25,-1.3025258
1954,26,-0.42215204
1954,27,0.42627382
1954,28,-0.3297553
1954,29,-0.072203636
1954,30,0.2872429
1954,31,-0.20787191
1954,32,-0.504611
1954,33,0.025293827
1954,34,-0.6335511
1954,35,-0.23326588
1955,0,-0.67378664
1955,1,-0.29730225
1955,2,-0.3864193
1955,3,0.41437197
1955,4,-0.4275818
1955,5,-0.632607
1955,6,0.49904013
1955,7,-0.60144234
1955,8,0.9101143
1955,9,-0.6251383
1955,10,-0.11259174
1955,11,-0.57293797
1955,12,-0.5505848
1955,13,-0.95934963
1955,14,-0.6568847
1955,15,0.37666273
1955,16,0.06108141
1955,17,-0.48210478
1955,18,-0.637866
1955,19,-0.34397268
1955,20,-0.050245285
1955,21,-0.2667985
1955,22,0.76502514
1955,23,0.28356457
1955,24,-0.7489581
1955,25,-1.291218
1955,26,0.19210196
1955,27,-0.9312432
1955,28,0.014147282
1955,29,-0.308424
1955,30,-0.9683385
1955,31,-1.0334034
1955,32,-0.33805418
1955,33,0.5723429
1955,34,-0.31136894
1955,35,-0.9530325
1956,0,0.048238754
1956,1,-0.15552425
1956,2,-0.7673383
1956,3,0.09991932
1956,4,0.74064445
1956,5,-0.76033115
1956,6,-0.17338371
1956,7,-0.038312912
1956,8,-1.0003328
1956,9,-0.3835039
1956,10,0.7605829
1956,11,0.2756567
1956,12,-0.053174257
1956,13,-0.08985424
1956,14,-0.46420336
1956,15,-0.49008226
1956,16,-0.075920105
1956,17,-0.8665981
1956,18,-1.2189121
1956,19,-0.2827754
1956,20,0.8006244
1956,21,0.028649807
1956,22,0.3064847
1956,23,0.3798542
1956,24,-0.42070627
1956,25,-1.0219159
1956,26,-0.28184986
1956,27,-1.222553
1956,28,-0.16865206
1956,29,0.201262
1956,30,-0.47035885
1956,31,-0.62231636
1956,32,-0.6411538
1956,33,0.36687374
1956,34,0.17411184
1956,35,0.70901203
1957,0,-0.4843111
1957,1,-0.17490005
1957,2,-1.3636231
1957,3,-0.9138379
1957,4,0.67539215
1957,5,-0.86351824
1957,6,-0.9428024
1957,7,0.39324856
1957,8,0.6794605
1957,9,0.3889103
1957,10,0.22780132
1957,11,-0.38760757
1957,12,-0.47571373
1957,13,-1.0277224
1957,14,-0.28743362
1957,15,-0.68409395
1957,16,-0.3912382
1957,17,-1.5202146
1957,18,-0.22686195
1957,19,-0.10390091
1957,20,-1.2403283
1957,21,0.103158474
1957,22,-0.10810709
1957,23,0.65019417
1957,24,-0.25501394
1957,25,-0.20499754
1957,26,-0.538054
1957,27,0.2686162
1957,28,-0.4051876
1957,29,0.024843693
1957,30,0.738924
1957,31,0.061993122
1957,32,-1.093348
1957,33,0.15586615
1957,34,-0.6215563
1957,35,-0.22169638
1958,0,0.5338211
1958,1,-0.9283047
1958,2,-1.643125
1958,3,-0.5602274
1958,4,0.48195076
1958,5,0.18992901
1958,6,-1.0620494
1958,7,-0.40788794
1958,8,0.8061428
1958,9,0.1207304
1958,10,-0.81663084
1958,11,0.40584278
1958,12,-0.28761387
1958,13,-1.3549623
1958,14,-1.0391479
1958,15,0.40795898
1958,16,-1.2857189
1958,17,0.36416483
1958,18,0.5360389
1958,19,0.84268
1958,20,0.1752243
1958,21,1.311583
1958,22,-0.4952016
1958,23,-0.7905717
1958,24,-0.022448063
1958,25,-1.576355
1958,26,-0.35182428
1958,27,-0.5464096
1958,28,-0.7770157
1958,29,0.38615084
1958,30,1.1102915
1958,31,-1.5991282
1958,32,-0.7638564
1958,33,-1.0729365
1958,34,0.14941406
1958,35,-0.4802928
1959,0,0.11701965
1959,1,-1.1587887
1959,2,-1.2105961
1959,3,-1.0741887
1959,4,0.9070263
1959,5,-1.0093346
1959,6,-0.5449128
1959,7,-0.20325565
1959,8,0.19115067
1959,9,-0.1451292
1959,10,-0.62834406
1959,11,0.04966736
1959,12,-0.23072243
1959,13,-0.67911243
1959,14,-1.2783022
1959,15,-0.059785366
1959,16,-0.7421689
1959,17,0.9419613
1959,18,-0.6480465
1959,19,0.044002533
1959,20,-0.008607388
1959,21,-0.1401143
1959,22,0.3146472
1959,23,-0.9484925
1959,24,-0.93559504
1959,25,-0.17043114
1959,26,-0.4165659
1959,27,-0.26340818
1959,28,-0.44671106
1959,29,-0.25933456
1959,30,0.65280724
1959,31,-0.38638687
1959,32,-1.7247224
1959,33,-0.1567049
1959,34,0.6575351
1959,35,0.8802328
1960,0,-0.25664902
1960,1,-0.08238125
1960,2,0.086536884
1960,3,-0.47983646
1960,4,0.69473076
1960,5,-1.7777467
1960,6,0.13511276
1960,7,-0.3126998
1960,8,-0.69985676
1960,9,-0.054791927
1960,10,0.66442776
1960,11,-0.80554295
1960,12,-1.7793026
1960,13,-0.71366596
1960,14,-0.9852443
1960,15,-0.13466215
1960,16,0.09604311
1960,17,-1.122148
1960,18,0.095742226
1960,19,0.16227627
1960,20,-0.28390932
1960,21,-0.65081406
1960,22,-0.73873997
1960,23,0.16093063
1960,24,0.6695647
1960,25,-0.8649211
1960,26,-0.13511372
1960,27,0.09260893
1960,28,-0.9772992
1960,29,-0.30726385
1960,30,0.6562309
1960,31,0.12908936
1960,32,0.07463598
1960,33,-1.2895145
1960,34,-0.46529245
1960,35,-0.4860835
1961,0,-0.48943615
1961,1,-0.6985283
1961,2,-0.20731306
1961,3,-0.23151255
