division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,3.93,3.0,5.68,1.44,2.14,3.39,4.33,2.19,2.92,1.58,2.35,2.92,3.2
Northeast,4.23,3.41,5.96,1.48,1.99,3.35,3.75,1.86,2.68,1.44,3.35,4.17,3.33
Pikes Peak,2.76,1.03,4.32,1.25,1.62,2.47,3.02,1.36,1.87,0.79,1.58,2.07,2.13
Southeast,2.77,1.53,4.1,1.44,1.43,2.31,2.06,0.68,1.22,1.08,2.16,2.86,2.09
South Park,1.92,0.94,3.59,0.03,0.41,1.79,2.13,0.73,0.92,-0.08,0.91,0.41,1.2
San Luis Valley & SdC,1.77,1.36,3.68,0.94,1.1,2.25,2.03,0.74,1.38,0.97,1.49,1.57,1.78
Southwest,4.03,2.89,4.28,2.0,1.93,3.39,3.4,2.43,3.19,2.13,1.98,3.47,3.04
Mesas & Valleys,5.34,4.57,5.59,2.35,3.0,4.72,4.53,3.68,4.56,3.05,3.59,4.95,4.36
Central Mountains,2.99,2.57,4.8,1.15,1.01,2.43,2.8,1.71,2.14,1.1,2.0,2.55,2.33
Northwest,5.18,5.07,6.63,2.21,2.7,4.05,4.9,3.69,4.42,2.76,3.85,4.28,4.27
Northern Mountains,3.53,3.12,5.94,1.8,1.85,2.64,3.59,2.28,2.85,1.7,2.37,3.11,2.98
statewide,3.75,2.84,5.12,1.49,1.83,3.0,3.26,1.92,2.62,1.52,2.43,3.13,2.85
