division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,2.66,-3.67,3.0,-0.22,-0.56,3.11,2.6,1.5,4.54,1.72,3.72,1.45,1.43
Northeast,2.02,-2.87,3.47,-0.5,-0.07,3.62,2.57,1.36,4.61,2.05,4.09,1.02,1.76
Pikes Peak,3.24,-3.2,3.55,0.62,1.17,4.31,2.75,1.67,4.81,1.91,3.53,1.59,2.21
Southeast,2.83,-2.3,3.43,0.85,1.31,3.35,1.89,0.95,3.8,1.95,3.35,1.66,2.02
South Park,1.66,-2.14,3.0,0.67,0.81,3.41,2.23,1.87,4.38,1.71,3.03,0.75,1.94
San Luis Valley & SdC,2.07,0.64,4.05,2.31,2.15,4.29,2.46,1.88,4.49,2.72,4.23,2.05,2.87
Southwest,2.85,0.02,3.72,2.91,2.25,4.14,2.56,1.62,3.83,2.4,4.19,0.85,2.76
Mesas & Valleys,1.38,-0.29,3.25,1.76,2.11,4.34,3.52,1.79,4.1,1.65,3.8,0.22,2.49
Central Mountains,1.25,-0.72,2.39,1.94,1.41,3.1,2.18,1.16,3.8,1.58,3.91,0.24,1.97
Northwest,1.65,-0.12,2.65,0.29,1.04,3.9,3.89,1.79,4.48,1.71,3.88,1.46,2.42
Northern Mountains,1.9,-0.97,2.08,1.04,0.5,2.67,2.77,1.28,4.21,1.97,4.66,1.21,2.15
statewide,2.54,-1.5,3.32,0.66,1.01,3.8,2.67,1.58,4.63,1.76,4.3,1.17,2.26
