division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,1.59,-4.0,4.06,-0.3,-1.61,3.96,2.33,2.04,5.18,0.85,4.4,1.51,1.65
Northeast,2.85,-2.78,6.0,-0.08,0.18,5.07,2.73,2.18,5.71,1.86,5.69,1.58,2.58
Pikes Peak,3.87,-2.53,5.41,1.6,1.74,4.9,2.31,2.45,5.66,1.4,4.62,2.6,2.98
Southeast,3.99,-0.38,6.62,1.72,3.51,4.98,1.8,2.26,5.05,2.21,4.87,3.21,3.54
South Park,1.39,-2.94,3.85,1.1,1.45,4.39,2.21,1.91,4.93,1.08,4.29,1.2,2.15
San Luis Valley & SdC,2.7,0.27,5.77,3.17,3.1,5.74,2.71,2.91,5.17,2.34,5.38,1.92,3.54
Southwest,3.51,0.02,5.13,3.98,4.51,5.21,3.01,2.47,4.79,2.73,5.97,1.16,3.49
Mesas & Valleys,1.94,0.12,4.97,2.56,3.49,5.23,3.95,2.51,4.74,2.08,5.18,0.17,3.05
Central Mountains,1.06,-1.94,3.07,2.07,2.76,4.8,2.39,1.69,4.54,2.11,5.25,0.46,2.35
Northwest,1.9,-0.68,4.37,1.04,1.97,4.73,4.35,2.99,5.36,2.6,5.78,2.27,2.87
Northern Mountains,2.51,-2.0,2.99,0.06,0.81,3.47,3.25,1.84,5.39,2.08,6.42,1.8,2.46
statewide,3.17,-1.26,4.78,1.72,2.15,4.98,2.94,2.35,5.19,2.28,5.49,1.65,2.87
