division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,4.51,3.83,5.1,1.61,2.42,3.22,4.44,2.5,3.65,1.97,3.24,3.28,3.39
Northeast,4.56,4.04,5.41,1.22,1.81,2.51,3.46,1.82,2.95,2.01,4.02,3.88,3.2
Pikes Peak,1.74,1.12,3.41,0.25,0.98,1.54,2.33,1.15,1.63,0.35,1.37,1.77,1.54
Southeast,1.82,1.94,3.54,0.54,0.56,1.2,1.19,0.7,1.17,0.68,2.03,2.19,1.55
South Park,1.51,1.26,3.07,-0.57,-0.11,0.84,1.38,0.43,0.78,-0.53,1.69,0.94,0.85
San Luis Valley & SdC,2.04,2.06,3.76,0.66,1.06,1.98,1.87,1.11,1.93,0.83,2.51,2.6,1.83
Southwest,5.26,4.19,5.16,2.98,3.0,4.3,4.15,3.76,4.91,3.33,4.63,5.29,4.27
Mesas & Valleys,6.06,4.9,5.49,2.74,4.0,5.31,5.25,4.48,5.4,3.71,5.51,6.22,5.04
Central Mountains,3.22,3.06,4.29,0.74,0.94,2.12,2.42,2.02,2.67,1.44,3.44,3.42,2.47
Northwest,7.44,7.03,6.3,2.55,3.59,5.48,5.91,4.37,5.37,3.78,5.87,6.33,5.29
Northern Mountains,4.11,4.48,5.51,1.67,1.91,2.92,3.65,2.82,3.11,2.15,4.09,3.64,3.33
statewide,4.0,3.33,4.76,1.41,1.92,2.87,3.28,2.28,3.12,1.87,3.6,3.59,3.03
