division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,3.3,-2.73,1.72,-0.24,-0.3,2.5,2.74,1.14,4.09,1.55,2.65,1.33,1.56
Northeast,2.11,-3.41,1.72,-0.35,-0.64,2.09,2.11,0.62,3.53,0.97,1.5,0.54,0.81
Pikes Peak,2.08,-2.66,1.67,-0.0,0.15,3.2,3.0,1.33,4.23,1.51,1.86,-0.45,1.36
Southeast,1.45,-2.94,0.28,-0.09,-0.62,2.24,1.37,-0.12,2.7,0.96,1.41,-0.04,0.66
South Park,1.87,-1.0,1.56,0.48,0.04,2.21,2.13,1.24,3.59,1.72,2.07,0.91,1.67
San Luis Valley & SdC,2.01,1.05,2.52,1.82,0.82,3.18,2.26,1.22,3.6,2.03,3.4,2.39,2.28
Southwest,1.69,0.05,2.35,2.26,0.23,3.25,2.67,0.8,2.94,1.75,2.38,0.5,1.79
Mesas & Valleys,0.6,0.02,1.64,1.07,0.55,2.96,3.07,1.16,3.3,1.11,2.68,0.16,1.55
Central Mountains,1.09,0.63,1.88,2.17,-0.47,1.81,2.2,0.8,2.43,0.96,2.44,-0.14,1.5
Northwest,1.29,0.39,1.25,0.08,0.08,2.55,3.55,1.52,3.48,1.15,2.03,0.81,1.65
Northern Mountains,2.01,0.38,1.77,1.12,-0.25,2.44,2.29,1.2,2.69,1.42,2.73,0.82,1.65
statewide,2.15,-1.19,1.5,0.0,0.0,2.48,2.39,0.91,3.44,1.23,2.28,0.52,1.52
