month,projection,Tair
1,0,6.0203247
1,1,3.1028652
1,2,4.8856063
1,3,3.1832438
1,4,6.89504
1,5,2.9348602
1,6,3.670927
1,7,5.1682124
1,8,5.185341
1,9,5.0723963
1,10,4.9803
1,11,4.6789107
1,12,5.51477
1,13,7.7095532
1,14,3.2665117
1,15,3.0398414
1,16,3.0074902
1,17,8.486903
1,18,5.331073
1,19,6.0938063
1,20,2.7043533
1,21,4.4531417
1,22,5.251257
1,23,8.497137
1,24,9.121688
1,25,4.465829
1,26,4.2124104
1,27,3.6577914
1,28,1.6253294
1,29,4.7085547
1,30,3.2547288
1,31,4.5208893
2,0,5.9239316
2,1,3.6173625
2,2,4.9789524
2,3,4.7896786
2,4,6.196081
2,5,4.1598587
2,6,5.18621
2,7,5.037871
2,8,6.060695
2,9,4.7883496
2,10,4.4031444
2,11,6.588499
2,12,4.4089775
2,13,5.688102
2,14,4.011099
2,15,4.3109164
2,16,1.9066755
2,17,7.4867077
2,18,4.5655093
2,19,7.2714977
2,20,4.135071
2,21,4.156671
2,22,5.679152
2,23,10.468448
2,24,10.044702
2,25,3.944889
2,26,2.3391078
2,27,4.2527027
2,28,2.9363818
2,29,5.5706854
2,30,3.9810426
2,31,5.676928
3,0,4.2143574
3,1,2.8404336
3,2,4.731305
3,3,3.9908717
3,4,7.893474
3,5,2.6666443
3,6,3.2862124
3,7,7.508325
3,8,6.582685
3,9,2.3116663
3,10,3.5005105
3,11,4.632842
3,12,5.6671004
3,13,5.5515532
3,14,3.8577297
3,15,2.6270382
3,16,2.9352374
3,17,5.380869
3,18,2.4368315
3,19,3.3098824
3,20,2.8522396
3,21,6.4391375
3,22,5.3555455
3,23,9.9193
3,24,8.166912
3,25,7.583571
3,26,2.0528731
3,27,2.0905035
3,28,3.651064
3,29,4.8398266
3,30,3.2388213
3,31,6.9421983
4,0,4.270039
4,1,5.2406425
4,2,3.1014674
4,3,4.0586934
4,4,8.250973
4,5,2.6917005
4,6,3.8885317
4,7,4.554349
4,8,3.5479872
4,9,3.7046838
4,10,4.904338
4,11,3.2023149
4,12,7.3736286
4,13,7.6523685
4,14,4.6587105
4,15,3.4810884
4,16,3.5816917
4,17,5.7291727
4,18,3.961496
4,19,4.6590166
4,20,1.0196581
4,21,3.32369
4,22,4.1549764
4,23,5.7748637
4,24,6.6549344
4,25,9.926808
4,26,2.4313767
4,27,3.4310884
4,28,2.762956
4,29,5.4871597
4,30,3.459671
4,31,5.7001057
5,0,6.829767
5,1,6.5253887
5,2,2.862631
5,3,4.903371
5,4,7.2039456
5,5,3.6421995
5,6,3.5573704
5,7,5.6510115
5,8,5.122584
5,9,3.6263833
5,10,5.105852
5,11,4.140764
5,12,6.697429
5,13,9.629006
5,14,4.8282294
5,15,4.868125
5,16,2.367078
5,17,7.798479
5,18,5.1196184
5,19,6.557774
5,20,2.2910888
5,21,5.6518545
5,22,5.1972103
5,23,6.489752
5,24,7.7203646
5,25,9.188523
5,26,4.0457153
5,27,2.7818584
5,28,3.7022457
5,29,5.9321327
5,30,4.861814
5,31,7.2710013
6,0,7.6581006
6,1,5.749456
6,2,4.3791075
6,3,4.187394
6,4,7.075288
6,5,4.3388615
6,6,4.428
6,7,6.122492
6,8,5.993557
6,9,4.837582
6,10,7.865282
6,11,4.4468226
6,12,6.3847733
6,13,7.767509
6,14,1.8890579
6,15,2.839511
6,16,4.275743
6,17,8.384422
6,18,6.0900974
6,19,7.215118
6,20,3.2766945
6,21,5.984838
6,22,7.4181437
6,23,5.654275
6,24,5.6320686
6,25,5.125043
6,26,3.6071684
6,27,3.945896
6,28,2.577966
6,29,5.48621
6,30,6.399577
6,31,8.482638
7,0,7.682013
7,1,5.662209
7,2,4.6381545
7,3,5.0700426
7,4,5.363371
7,5,4.5160108
7,6,4.632025
7,7,4.8521957
7,8,6.6846123
7,9,4.4984603
7,10,6.9011836
7,11,3.541666
7,12,6.5151653
7,13,8.468316
7,14,1.4504647
7,15,1.8331118
7,16,3.5343685
7,17,8.406831
7,18,5.611248
7,19,6.18779
7,20,2.8271236
7,21,5.6713552
7,22,6.7470937
7,23,5.6091347
7,24,4.954688
7,25,4.7567196
7,26,3.9820683
7,27,3.9831276
7,28,2.447292
7,29,5.108517
7,30,6.3539305
7,31,8.739176
8,0,7.095829
8,1,5.0271893
8,2,5.208448
8,3,5.1591883
8,4,4.681204
8,5,4.828527
8,6,5.1489797
8,7,5.181118
8,8,7.049056
8,9,4.0857654
8,10,7.109742
8,11,3.6425393
8,12,5.6611123
8,13,9.287818
8,14,3.4747162
8,15,2.4270737
8,16,3.8229795
8,17,8.860753
8,18,6.491993
8,19,7.08
8,20,2.8513298
8,21,6.2369347
8,22,6.516693
8,23,5.600042
8,24,5.304278
8,25,4.033891
8,26,4.986524
8,27,4.288374
8,28,3.095161
8,29,3.9524481
8,30,5.306805
8,31,7.4678464
9,0,7.0601954
9,1,5.9473677
9,2,4.3482084
9,3,4.7943664
9,4,5.14218
9,5,4.268209
9,6,4.9881773
9,7,5.0020905
9,8,5.8517027
9,9,3.8101768
9,10,6.0464334
9,11,3.4086387
9,12,5.735839
9,13,8.541726
9,14,2.9815469
