season,projection,Tair
DJF,0,5.6222076
DJF,1,3.3926055
DJF,2,4.7994547
DJF,3,3.4998922
DJF,4,6.6351247
DJF,5,3.2807097
DJF,6,3.9940898
DJF,7,4.9170914
DJF,8,5.105436
DJF,9,4.593033
DJF,10,4.4921308
DJF,11,4.69547
DJF,12,4.8201537
DJF,13,6.354765
DJF,14,3.3113375
DJF,15,2.6664813
DJF,16,2.1270766
DJF,17,7.5749125
DJF,18,5.3360047
DJF,19,5.8500357
DJF,20,2.9334748
DJF,21,4.583424
DJF,22,5.86195
DJF,23,7.8168974
DJF,24,7.8224416
DJF,25,4.6726413
DJF,26,3.3965244
DJF,27,3.393965
DJF,28,1.9318256
DJF,29,4.9575443
DJF,30,2.9980264
DJF,31,4.658681
JJA,0,7.478647
JJA,1,5.479616
JJA,2,4.741905
JJA,3,4.805538
JJA,4,5.706623
JJA,5,4.5611253
JJA,6,4.736336
JJA,7,5.3852677
JJA,8,6.5757446
JJA,9,4.473943
JJA,10,7.292065
JJA,11,3.8770185
JJA,12,6.1870174
JJA,13,8.507881
JJA,14,2.2714148
JJA,15,2.3665717
JJA,16,3.8776896
JJA,17,8.550668
JJA,18,6.064448
JJA,19,6.8276386
JJA,20,2.9850488
JJA,21,5.9643793
JJA,22,6.893979
JJA,23,5.6211495
JJA,24,5.297015
JJA,25,4.6385493
JJA,26,4.1919246
JJA,27,4.0724688
JJA,28,2.7068114
JJA,29,4.8490405
JJA,30,6.020109
JJA,31,8.229893
MAM,0,5.104722
MAM,1,4.8688216
MAM,2,3.565134
MAM,3,4.3176455
MAM,4,7.782797
MAM,5,3.0001812
MAM,6,3.5773711
MAM,7,5.9045625
MAM,8,5.084418
MAM,9,3.2142446
MAM,10,4.503569
MAM,11,3.9919746
MAM,12,6.5793858
MAM,13,7.6109743
MAM,14,4.4482236
MAM,15,3.658751
MAM,16,2.961336
MAM,17,6.3028398
MAM,18,3.8393142
MAM,19,4.842224
MAM,20,2.0543292
MAM,21,5.138227
MAM,22,4.9025774
MAM,23,7.394639
MAM,24,7.5140724
MAM,25,8.899633
MAM,26,2.8433223
MAM,27,2.7678165
MAM,28,3.3720872
MAM,29,5.4197063
MAM,30,3.8534348
MAM,31,6.637767
SON,0,6.2601304
SON,1,4.9390783
SON,2,4.7140245
SON,3,3.8730643
SON,4,5.0288415
SON,5,3.7500474
SON,6,3.8484273
SON,7,5.26895
SON,8,5.9696274
SON,9,3.2855227
SON,10,5.251264
SON,11,2.496058
SON,12,4.805684
SON,13,6.8732038
SON,14,2.5052073
SON,15,1.7631751
SON,16,3.4640784
SON,17,6.965118
SON,18,5.832073
SON,19,6.41066
SON,20,2.1934028
SON,21,4.343657
SON,22,4.811027
SON,23,4.9470963
SON,24,5.100456
SON,25,4.9248595
SON,26,3.5739589
SON,27,4.806688
SON,28,2.3933737
SON,29,3.88117
SON,30,5.163069
SON,31,6.893772
