month,projection,precip
1,0,1.5312015
1,1,21.269466
1,2,-1.1878381
1,3,-17.358412
1,4,29.191
1,5,10.28883
1,6,8.620644
1,7,15.804593
1,8,12.955446
1,9,20.540411
1,10,-5.585431
1,11,10.729662
1,12,14.569942
1,13,25.865396
1,14,13.2392435
1,15,-10.612058
1,16,-2.0635338
1,17,5.7038393
1,18,31.017977
1,19,-8.97195
1,20,14.859709
1,21,25.861057
1,22,-2.9707747
1,23,10.146503
1,24,24.50105
1,25,11.896858
1,26,27.672035
1,27,10.367741
1,28,10.553522
1,29,15.759555
1,30,6.1978073
1,31,-14.391656
2,0,-4.0205026
2,1,2.1455479
2,2,-9.062
2,3,-5.241225
2,4,20.466835
2,5,20.541386
2,6,0.9090023
2,7,-8.028638
2,8,-5.5607123
2,9,5.420265
2,10,-8.833162
2,11,21.012867
2,12,7.4147353
2,13,8.199755
2,14,7.083587
2,15,5.2183886
2,16,10.914639
2,17,13.408732
2,18,16.653233
2,19,14.655649
2,20,12.9948635
2,21,0.4293258
2,22,-12.879874
2,23,20.522131
2,24,54.908596
2,25,2.400511
2,26,37.022087
2,27,5.0319033
2,28,20.799818
2,29,5.7331314
2,30,-15.9009
2,31,-6.270713
3,0,6.9141693
3,1,1.1116315
3,2,-9.476322
3,3,-1.4582406
3,4,10.100329
3,5,-6.299231
3,6,16.576403
3,7,2.7873712
3,8,-8.4420185
3,9,14.932951
3,10,6.101761
3,11,20.892221
3,12,15.728836
3,13,17.570683
3,14,9.001719
3,15,2.5208967
3,16,-14.642965
3,17,-2.2088382
3,18,-6.1136847
3,19,1.6435832
3,20,6.2154083
3,21,-4.187223
3,22,10.239996
3,23,77.46943
3,24,61.72403
3,25,12.931765
3,26,13.782861
3,27,6.7352214
3,28,7.950775
3,29,10.102342
3,30,-15.911304
3,31,14.731537
4,0,-10.173554
4,1,-31.882853
4,2,9.377853
4,3,13.609646
4,4,24.209879
4,5,15.010339
4,6,-1.6627948
4,7,-2.7512655
4,8,-5.6716585
4,9,11.34135
4,10,3.6476183
4,11,20.235365
4,12,-0.99600226
4,13,5.5060363
4,14,8.233378
4,15,18.176994
4,16,15.010887
4,17,-12.122585
4,18,-0.8519308
4,19,-16.290583
4,20,11.593837
4,21,1.51586
4,22,-7.116388
4,23,38.94575
4,24,51.7656
4,25,29.193296
4,26,-0.33091587
4,27,16.81213
4,28,14.05492
4,29,13.182285
4,30,-4.952886
4,31,18.761976
5,0,-12.907465
5,1,-5.759852
5,2,7.676564
5,3,-13.225211
5,4,-26.647964
5,5,18.678389
5,6,4.7789946
5,7,2.5925417
5,8,-18.512056
5,9,1.3123852
5,10,5.442597
5,11,18.353207
5,12,-8.03404
5,13,23.335413
5,14,10.25575
5,15,-3.8765879
5,16,26.5529
5,17,-13.430934
5,18,-6.982104
5,19,-1.7032788
5,20,-19.260015
5,21,-3.6523752
5,22,-16.905441
5,23,-15.015498
5,24,-13.239217
5,25,-0.69071877
5,26,-19.02397
5,27,-5.9246144
5,28,1.9652036
5,29,-0.58178574
5,30,-21.123991
5,31,38.28506
6,0,-2.7764597
6,1,5.0508814
6,2,7.3520465
6,3,2.136346
6,4,16.747164
6,5,6.754353
6,6,-1.7882384
6,7,2.870303
6,8,-9.205799
6,9,27.11604
6,10,-42.350784
6,11,9.320098
6,12,-6.570272
6,13,-26.164473
6,14,8.922013
6,15,-19.502386
6,16,-4.4332986
6,17,-14.221557
6,18,-4.147196
6,19,6.3554926
6,20,6.34446
6,21,-24.126377
6,22,-39.123173
6,23,22.39155
6,24,-5.995753
6,25,1.6316407
6,26,15.455347
