season,projection,precip
DJF,0,2.1233566
DJF,1,11.560234
DJF,2,-5.3249416
DJF,3,-2.5251215
DJF,4,21.095526
DJF,5,18.851906
DJF,6,-3.3622046
DJF,7,7.867637
DJF,8,0.110601015
DJF,9,5.967715
DJF,10,-11.51077
DJF,11,13.991666
DJF,12,8.843891
DJF,13,16.544346
DJF,14,7.679309
DJF,15,2.8919346
DJF,16,6.015743
DJF,17,6.328971
DJF,18,13.494486
DJF,19,5.9456205
DJF,20,11.356195
DJF,21,8.798615
DJF,22,-8.748775
DJF,23,17.93857
DJF,24,31.724463
DJF,25,5.766678
DJF,26,22.222677
DJF,27,8.820343
DJF,28,7.194874
DJF,29,10.741089
DJF,30,0.19663484
DJF,31,-2.2782104
JJA,0,-12.804779
JJA,1,-1.959119
JJA,2,-1.5171714
JJA,3,-8.806895
JJA,4,23.884872
JJA,5,8.702256
JJA,6,1.1220351
JJA,7,11.342044
JJA,8,-2.0291684
JJA,9,10.515942
JJA,10,-20.913094
JJA,11,4.993256
JJA,12,-1.3272282
JJA,13,16.057058
JJA,14,22.244919
JJA,15,20.798222
JJA,16,3.1958194
JJA,17,-20.687765
JJA,18,-18.400305
JJA,19,-8.914874
JJA,20,-5.636058
JJA,21,-3.390871
JJA,22,-14.807982
JJA,23,0.55018747
JJA,24,10.585527
JJA,25,15.113713
JJA,26,5.634198
JJA,27,-3.7788663
JJA,28,4.78005
JJA,29,26.62893
JJA,30,-9.51783
JJA,31,-0.06062606
MAM,0,-5.5817714
MAM,1,-13.500025
MAM,2,2.333425
MAM,3,1.0477035
MAM,4,4.143109
MAM,5,8.825432
MAM,6,6.4539967
MAM,7,0.62124884
MAM,8,-10.577085
MAM,9,9.352108
MAM,10,5.0189247
MAM,11,19.892305
MAM,12,2.1021864
MAM,13,14.539478
MAM,14,9.025531
MAM,15,6.5937266
MAM,16,7.0185075
MAM,17,-9.186837
MAM,18,-4.5967207
MAM,19,-5.843358
MAM,20,0.12532322
MAM,21,-1.9559071
MAM,22,-4.4865212
MAM,23,35.78598
MAM,24,35.994686
MAM,25,14.566321
MAM,26,-1.5352633
MAM,27,6.5144577
MAM,28,8.224591
MAM,29,7.9291873
MAM,30,-13.583147
MAM,31,23.599106
SON,0,-19.332146
SON,1,-8.54274
SON,2,-4.3356915
SON,3,-13.832643
SON,4,9.370519
SON,5,1.8391203
SON,6,-3.4056804
SON,7,-0.93552184
SON,8,-24.92761
SON,9,4.9810667
SON,10,10.794921
SON,11,12.639584
SON,12,-7.929626
SON,13,-4.985967
SON,14,20.536163
SON,15,10.602331
SON,16,-1.251401
SON,17,-22.410206
SON,18,-12.963605
SON,19,-6.6293926
SON,20,-0.5680706
SON,21,-8.91252
SON,22,-5.7254834
SON,23,-4.7673006
SON,24,-3.7901819
SON,25,5.92158
SON,26,-0.38942212
SON,27,5.2882586
SON,28,7.1956873
SON,29,6.955357
SON,30,-10.734382
SON,31,24.098606
