month,projection,Tair
1,0,2.5668054
1,1,3.0594287
1,2,2.8069286
1,3,2.4857013
1,4,3.4202523
1,5,1.5212897
1,6,3.7341678
1,7,2.4248078
1,8,1.355209
1,9,3.5507631
1,10,3.2544627
1,11,2.6149023
1,12,4.03489
1,13,5.3892317
1,14,1.5072323
1,15,2.5534098
1,16,1.0681568
1,17,6.344287
1,18,4.2016225
1,19,3.5876865
1,20,1.7788075
1,21,2.3703449
1,22,2.8734672
1,23,3.2814918
1,24,5.488801
1,25,4.700126
1,26,3.3328314
1,27,3.510676
1,28,0.7400888
1,29,3.3070014
1,30,2.3229465
1,31,3.3011305
2,0,1.9288473
2,1,1.681279
2,2,2.456093
2,3,2.7804472
2,4,2.1338582
2,5,3.02312
2,6,2.1326077
2,7,3.2109723
2,8,3.024476
2,9,3.229382
2,10,3.4323614
2,11,3.3588998
2,12,2.2247803
2,13,3.506974
2,14,2.0340936
2,15,3.5554075
2,16,0.7157833
2,17,5.444066
2,18,3.3977168
2,19,4.205809
2,20,1.2473267
2,21,1.5425448
2,22,3.7786367
2,23,4.6009526
2,24,5.510743
2,25,3.7438555
2,26,0.8692683
2,27,2.8938305
2,28,1.2041727
2,29,2.1247275
2,30,2.0417454
2,31,3.7623186
3,0,2.405093
3,1,2.6395946
3,2,2.8805864
3,3,2.338066
3,4,5.7754273
3,5,1.4974253
3,6,2.3203237
3,7,4.8784666
3,8,3.9045238
3,9,1.921716
3,10,2.8296127
3,11,2.4268634
3,12,3.8248549
3,13,4.5650735
3,14,2.2585688
3,15,2.9237025
3,16,2.8971376
3,17,4.441041
3,18,1.839194
3,19,1.7764386
3,20,0.89213747
3,21,4.6305385
3,22,3.8516426
3,23,6.1663795
3,24,6.224154
3,25,6.114429
3,26,1.2957073
3,27,2.7061925
3,28,1.9866058
3,29,1.928694
3,30,2.3331165
3,31,5.3773637
4,0,3.5617661
4,1,3.5188353
4,2,2.907859
4,3,2.7600017
4,4,6.2845063
4,5,1.7308466
4,6,2.1863346
4,7,3.8111482
4,8,2.6967335
4,9,3.3540354
4,10,4.5545554
4,11,2.333397
4,12,5.498063
4,13,5.5293703
4,14,4.6587634
4,15,3.5982378
4,16,3.5336344
4,17,4.777768
4,18,2.3057563
4,19,3.8097465
4,20,0.5454231
4,21,2.4165015
4,22,2.9870718
4,23,3.131642
4,24,3.8520503
4,25,7.3135557
4,26,2.076473
4,27,4.0167017
4,28,2.0763018
4,29,4.471838
4,30,3.3988123
4,31,4.9597616
5,0,5.1958046
5,1,4.7760186
5,2,2.0382762
5,3,4.267785
5,4,6.433488
5,5,3.4775598
5,6,2.1604664
5,7,3.9385478
5,8,3.6810129
5,9,2.2172778
5,10,3.83675
5,11,3.8835983
5,12,5.505099
5,13,7.574112
5,14,2.367123
5,15,4.260426
5,16,2.4289792
5,17,6.3617206
5,18,4.156769
5,19,4.2523313
5,20,2.0588808
5,21,3.981101
5,22,4.5425196
5,23,5.302594
5,24,5.2456126
5,25,6.662176
5,26,3.1095736
5,27,3.0497248
5,28,2.273074
5,29,4.292083
5,30,4.3230953
5,31,6.1267557
6,0,6.3676844
6,1,4.7103486
6,2,3.9612012
6,3,3.2193837
6,4,5.6411204
6,5,3.5318487
6,6,3.4168081
6,7,4.574662
6,8,4.347271
6,9,3.7982414
6,10,7.1873465
6,11,3.6269405
6,12,5.234891
6,13,5.9510946
6,14,4.5268064
6,15,2.1069407
6,16,3.6251414
6,17,6.110283
6,18,4.518869
6,19,5.592801
6,20,1.9979084
6,21,5.3307586
6,22,5.6274443
6,23,3.4288964
6,24,4.29437
6,25,4.301913
6,26,3.4150262
6,27,4.167339
6,28,2.3280046
6,29,3.6176243
6,30,4.81287
6,31,6.531437
7,0,6.898145
7,1,4.3858175
7,2,4.2971787
7,3,4.5897427
7,4,4.0021563
7,5,3.7965298
7,6,3.4493515
7,7,3.746027
7,8,5.2298627
7,9,3.2893872
7,10,4.8326263
7,11,3.5301492
7,12,5.1033673
7,13,6.047831
7,14,2.660164
7,15,1.4493524
7,16,2.5965378
7,17,6.841466
7,18,4.4089766
7,19,5.7913036
7,20,1.3694011
7,21,4.187015
7,22,4.7505894
7,23,3.9135513
7,24,3.186114
7,25,3.4005878
7,26,3.4672766
7,27,3.6024837
7,28,2.1175854
7,29,3.2314086
7,30,5.310612
7,31,6.9326696
8,0,6.7147336
8,1,3.2733798
8,2,4.2696147
8,3,4.6619744
8,4,4.4956656
8,5,4.078851
8,6,3.9458342
8,7,3.865512
8,8,5.0430436
8,9,2.6361315
8,10,5.5000696
8,11,3.315138
8,12,4.308635
8,13,7.4419928
8,14,3.510039
8,15,2.306607
8,16,3.0016725
8,17,6.7224655
8,18,4.717153
8,19,6.4299664
8,20,2.049829
8,21,5.99544
8,22,4.900101
8,23,3.9797046
8,24,4.3297668
8,25,2.8951068
8,26,3.8691976
8,27,4.501138
8,28,2.6033118
8,29,3.3774564
8,30,4.530075
8,31,6.6230526
9,0,5.8458524
9,1,3.969022
9,2,4.7311764
9,3,4.739924
9,4,4.226078
9,5,3.8887138
9,6,3.872502
9,7,3.752861
9,8,5.4103303
9,9,2.6454751
9,10,3.4389627
9,11,3.3186846
9,12,5.498374
9,13,6.6177483
9,14,4.064845
9,15,2.7890973
9,16,4.076884
9,17,6.976282
9,18,5.0786653
9,19,5.0434594
9,20,2.7840333
9,21,4.3124137
9,22,4.541964
9,23,4.550669
9,24,3.9038491
9,25,3.2409582
9,26,3.0484364
9,27,5.0238385
9,28,2.0611365
9,29,4.0514264
9,30,6.2565403
9,31,6.3428926
10,0,5.739081
10,1,3.2623463
10,2,4.290668
10,3,3.3781996
10,4,5.0969014
10,5,3.4285064
10,6,3.6240227
10,7,3.7237136
10,8,4.7682047
10,9,1.9248793
10,10,5.2382817
10,11,3.4022267
10,12,4.7636986
10,13,4.6281147
10,14,3.6008356
10,15,1.4976888
10,16,2.2896593
10,17,6.244859
10,18,6.0090437
10,19,5.1981487
10,20,1.2476971
10,21,4.648463
10,22,4.624472
10,23,2.892053
10,24,4.183426
10,25,4.4720535
10,26,4.27461
10,27,3.1714838
10,28,1.6320074
10,29,3.815657
10,30,4.8196344
10,31,6.6727777
11,0,3.9023192
11,1,4.1666155
11,2,4.7579007
11,3,1.8347812
11,4,3.6551752
11,5,2.8688881
11,6,2.78497
11,7,4.7975674
11,8,3.495135
11,9,3.1889164
11,10,3.2299337
11,11,-0.08324675
11,12,4.727767
11,13,5.9966493
11,14,1.3946104
11,15,2.084389
11,16,3.3128867
11,17,3.9499712
11,18,3.36343
11,19,3.8370626
11,20,1.2669944
11,21,2.746379
11,22,3.8400366
11,23,2.9352794
11,24,2.8363817
11,25,3.4415402
11,26,2.670347
11,27,4.2401967
11,28,2.3937733
11,29,3.9271061
11,30,2.891478
11,31,5.2457657
12,0,1.1953691
