season,projection,Tair
DJF,0,4.122579
DJF,1,2.3702471
DJF,2,3.5197139
DJF,3,2.7042537
DJF,4,4.6680555
DJF,5,2.6737874
DJF,6,3.0070996
DJF,7,3.604808
DJF,8,3.843801
DJF,9,3.796754
DJF,10,3.959168
DJF,11,4.083499
DJF,12,4.4063225
DJF,13,5.39589
DJF,14,3.1227608
DJF,15,2.8243513
DJF,16,2.1457808
DJF,17,6.296288
DJF,18,3.9889057
DJF,19,4.5822825
DJF,20,2.1091862
DJF,21,4.5133123
DJF,22,5.826502
DJF,23,6.082018
DJF,24,6.019787
DJF,25,3.9820838
DJF,26,2.8498611
DJF,27,2.6617563
DJF,28,1.7087045
DJF,29,3.9333577
DJF,30,2.3102522
DJF,31,3.8825614
JJA,0,7.430565
JJA,1,5.0200257
JJA,2,4.5174527
JJA,3,4.5191436
JJA,4,5.545066
JJA,5,4.2703066
JJA,6,4.317613
JJA,7,5.0593567
JJA,8,6.15022
JJA,9,4.1881857
JJA,10,7.0111914
JJA,11,3.7032027
JJA,12,5.7852063
JJA,13,8.02227
JJA,14,2.4679034
JJA,15,2.0793412
JJA,16,3.643959
JJA,17,8.231401
JJA,18,5.8309383
JJA,19,6.6783915
JJA,20,2.7030246
JJA,21,5.6330986
JJA,22,6.7411094
JJA,23,5.20152
JJA,24,4.9792476
JJA,25,4.7429023
JJA,26,4.2498946
JJA,27,4.1005335
JJA,28,2.546538
JJA,29,4.3517876
JJA,30,5.7767262
JJA,31,7.9781375
MAM,0,4.9074626
MAM,1,4.201437
MAM,2,3.3213167
MAM,3,3.9321802
MAM,4,7.0674863
MAM,5,2.5811794
MAM,6,2.7775104
MAM,7,4.8024554
MAM,8,4.8593163
MAM,9,3.2436388
MAM,10,4.4024515
MAM,11,3.4159129
MAM,12,5.8290834
MAM,13,6.9396825
MAM,14,4.122127
MAM,15,3.5745544
MAM,16,2.489994
MAM,17,6.029079
MAM,18,3.1158135
MAM,19,4.58926
MAM,20,1.7859138
MAM,21,4.904867
MAM,22,4.6360245
MAM,23,5.845227
MAM,24,6.415591
MAM,25,7.586898
MAM,26,2.673137
MAM,27,2.6343384
MAM,28,2.761634
MAM,29,4.4745812
MAM,30,3.5979047
MAM,31,6.0988154
SON,0,6.2128077
SON,1,4.9947205
SON,2,4.992566
SON,3,4.099642
SON,4,5.8133397
SON,5,3.7534025
SON,6,4.054748
SON,7,5.089113
SON,8,5.8418417
SON,9,3.2174358
SON,10,5.356938
SON,11,2.8398674
SON,12,5.153262
SON,13,7.2821836
SON,14,2.8558204
SON,15,2.120783
SON,16,3.663727
SON,17,7.133933
SON,18,5.940859
SON,19,6.4236135
SON,20,2.5734868
SON,21,4.726196
SON,22,5.406167
SON,23,5.0532365
SON,24,5.2544003
SON,25,4.8594613
SON,26,3.9466517
SON,27,5.0738525
SON,28,2.8800483
SON,29,4.1848483
SON,30,5.517131
SON,31,7.0608664
