month,projection,precip
1,0,3.496943
1,1,17.701626
1,2,-15.751153
1,3,-2.5026104
1,4,24.610495
1,5,-11.204295
1,6,-5.2050505
1,7,-1.0263666
1,8,-1.3053623
1,9,15.533548
1,10,4.929088
1,11,22.864025
1,12,15.339104
1,13,17.782394
1,14,12.373534
1,15,14.972854
1,16,14.654054
1,17,22.681053
1,18,39.804626
1,19,6.02999
1,20,9.405584
1,21,14.930611
1,22,16.063766
1,23,12.717806
1,24,12.852841
1,25,10.215976
1,26,17.12889
1,27,2.514276
1,28,2.413717
1,29,16.894955
1,30,-7.544784
1,31,12.507131
2,0,1.095222
2,1,-1.8306462
2,2,-9.447594
2,3,-16.393776
2,4,7.6108165
2,5,6.6369286
2,6,31.794012
2,7,11.4561
2,8,-14.614413
2,9,3.8693764
2,10,-10.511482
2,11,37.819115
2,12,42.676735
2,13,5.5481815
2,14,-6.07586
2,15,6.4300327
2,16,12.8612385
2,17,11.115096
2,18,12.905388
2,19,21.606344
2,20,4.177624
2,21,4.3473606
2,22,-12.83582
2,23,11.696839
2,24,52.26437
2,25,10.806951
2,26,38.794506
2,27,11.024272
2,28,9.946957
2,29,10.001306
2,30,-15.801111
2,31,-5.509773
3,0,0.64871216
3,1,0.28873795
3,2,-5.2508683
3,3,1.0547844
3,4,21.101301
3,5,-2.761948
3,6,33.723965
3,7,-15.360531
3,8,1.8231153
3,9,6.309871
3,10,11.041647
3,11,14.285485
3,12,9.358059
3,13,4.038742
3,14,22.226244
3,15,-13.139209
3,16,-13.761513
3,17,14.162442
3,18,10.371378
3,19,6.582312
3,20,13.216824
3,21,-0.7891458
3,22,13.020311
3,23,36.702282
3,24,69.14362
3,25,32.96443
3,26,31.549585
3,27,16.866653
3,28,-4.036872
3,29,11.713707
3,30,-12.981486
3,31,22.342249
4,0,-3.566069
4,1,-3.450454
4,2,6.35428
4,3,-1.824161
4,4,10.212723
4,5,28.670311
4,6,3.5070825
4,7,-27.630054
4,8,15.323487
4,9,5.852183
4,10,15.269475
4,11,0.37690002
4,12,-11.201468
4,13,26.038132
4,14,-14.256012
4,15,6.959608
4,16,7.2902737
4,17,-17.828728
4,18,4.0683484
4,19,-24.500128
4,20,2.914381
4,21,7.446412
4,22,4.3281593
4,23,40.18279
4,24,42.278336
4,25,22.638662
4,26,-10.558007
4,27,8.164172
4,28,5.5788593
4,29,-2.8673918
4,30,-4.8647203
4,31,13.0727825
5,0,-4.7986803
5,1,-4.725389
5,2,29.656092
5,3,-5.0494547
5,4,-37.109913
5,5,11.492073
5,6,28.286604
5,7,33.269577
5,8,-30.2074
5,9,11.105138
5,10,-9.166223
5,11,8.076732
5,12,-2.5283298
5,13,4.906225
5,14,20.961697
5,15,-20.071823
5,16,29.681067
5,17,-7.931406
5,18,-1.825677
5,19,4.007294
5,20,-22.220272
5,21,10.593076
5,22,-29.760254
5,23,-29.954716
5,24,-12.3175535
5,25,-8.033774
5,26,0.07634166
5,27,0.7001233
5,28,-14.358781
5,29,20.18186
5,30,-33.735157
5,31,10.943382
6,0,-24.47626
6,1,-3.1327348
6,2,-26.066622
6,3,-14.011598
6,4,26.818413
6,5,-7.4047675
6,6,16.325138
6,7,24.462214
6,8,-23.675602
6,9,-8.537311
6,10,-41.894493
6,11,14.106551
6,12,-4.336803
6,13,-17.991959
6,14,-22.978477
6,15,-15.946178
6,16,-4.9421387
6,17,0.20668826
6,18,3.8552825
6,19,-12.867864
6,20,19.460476
6,21,-30.93783
6,22,-33.375145
6,23,7.1224527
6,24,1.2659074
6,25,1.564269
6,26,-9.148575
6,27,-9.780922
6,28,-9.785506
6,29,11.0328045
6,30,-18.996527
6,31,25.753576
7,0,-19.014368
7,1,-7.5443597
7,2,-7.684444
7,3,5.6486883
7,4,18.5728
7,5,-5.5756235
7,6,1.3267766
7,7,19.070526
7,8,0.062860675
7,9,4.988532
7,10,0.5650147
7,11,-14.883745
7,12,-2.792496
7,13,17.353586
7,14,-6.626893
7,15,37.43849
7,16,6.0681944
7,17,-26.064623
7,18,-19.72756
7,19,-9.21813
7,20,-5.4347587
7,21,3.2762482
7,22,-9.608116
7,23,-13.884608
7,24,15.7451
7,25,15.608142
7,26,-8.136945
7,27,-10.585262
7,28,-9.023181
7,29,21.748997
7,30,-17.46507
7,31,-13.44804
8,0,-19.041506
8,1,3.3025959
8,2,-3.9986725
8,3,-21.358103
8,4,9.327578
8,5,6.246941
8,6,-2.1727006
8,7,8.685324
8,8,-3.3358853
8,9,14.019882
8,10,-3.136475
8,11,-1.7755499
8,12,5.9244404
8,13,12.6513195
8,14,7.5146766
8,15,17.539274
8,16,2.7851694
8,17,-22.358128
8,18,2.8052397
8,19,-11.360378
8,20,-11.771345
8,21,0.022104938
8,22,-7.468308
8,23,-0.2325974
8,24,15.868449
8,25,46.570183
8,26,18.16146
8,27,-12.70241
8,28,13.333872
8,29,10.713518
8,30,-20.77287
8,31,-1.5974059
9,0,-3.9045982
9,1,13.287614
9,2,-30.354368
9,3,-12.8985405
9,4,3.4218793
9,5,4.251345
9,6,25.161379
9,7,23.911747
9,8,-13.879214
9,9,10.003946
9,10,44.403248
9,11,-12.726645
9,12,-2.186424
9,13,-13.550287
9,14,9.9438505
9,15,-9.387972
9,16,-3.1030476
9,17,-16.563047
9,18,5.3203335
9,19,-10.353548
9,20,-31.71355
9,21,-17.258066
9,22,-18.114294
9,23,-5.3011103
9,24,3.45736
9,25,21.54983
9,26,11.993712
9,27,12.68083
9,28,-16.475851
9,29,-5.8732533
9,30,2.4123595
9,31,32.9583
10,0,-36.20008
10,1,18.612902
10,2,-26.931349
10,3,-6.6551156
10,4,-29.768997
10,5,0.5139814
10,6,-18.759636
10,7,1.5483075
10,8,-1.7318493
10,9,14.940032
10,10,-6.695358
10,11,4.7885833
10,12,23.949013
10,13,-18.736645
10,14,-20.692324
10,15,28.947842
10,16,18.290953
10,17,-21.055538
10,18,-22.004179
10,19,-9.018116
10,20,-30.098778
10,21,1.9278421
10,22,19.719631
10,23,28.402445
10,24,-10.066125
10,25,-1.3987585
10,26,1.5852752
10,27,-37.01035
10,28,-16.360449
10,29,39.710583
10,30,-3.3581176
10,31,17.411505
11,0,5.581335
11,1,-7.0128174
11,2,-8.508463
11,3,-5.792907
11,4,25.159294
11,5,13.580058
11,6,22.695004
11,7,-9.474475
11,8,-11.691367
11,9,-0.23788929
11,10,-21.335217
11,11,17.942907
11,12,-1.695767
11,13,10.55294
11,14,3.6158226
11,15,-6.4884
11,16,-23.206884
11,17,6.6424212
11,18,4.568108
11,19,20.725336
11,20,49.545197
11,21,20.359741
11,22,20.923693
11,23,-26.639145
11,24,23.843481
11,25,-3.9136574
11,26,41.850506
11,27,3.8810308
11,28,16.473263
11,29,-7.0168877
11,30,-7.191284
11,31,26.439175
12,0,18.198322
12,1,4.582118
12,2,9.071386
12,3,17.973152
12,4,6.35982
12,5,57.50987
12,6,2.9874318
12,7,22.31015
12,8,6.290889
12,9,-0.95536643
12,10,-5.8295417
12,11,-4.726247
12,12,-5.4459696
12,13,16.142664
12,14,7.734818
12,15,16.314522
12,16,-10.652046
12,17,-10.691395
12,18,-12.493606
12,19,-9.372494
12,20,11.276485
12,21,8.995606
12,22,-2.5806603
12,23,19.480885
12,24,16.677765
12,25,5.592146
12,26,-4.5749397
12,27,6.3258095
12,28,5.7986403
12,29,1.9046867
12,30,34.511524
12,31,2.605556
