season,projection,precip
DJF,0,8.07447
DJF,1,12.991964
DJF,2,-2.6015694
DJF,3,7.4533424
DJF,4,30.030064
DJF,5,22.647192
DJF,6,9.151961
DJF,7,15.081045
DJF,8,-0.51886785
DJF,9,2.3865547
DJF,10,-11.037323
DJF,11,24.414846
DJF,12,8.999376
DJF,13,14.691634
DJF,14,5.1642275
DJF,15,13.108216
DJF,16,9.405141
DJF,17,22.816467
DJF,18,18.781343
DJF,19,9.566857
DJF,20,11.713177
DJF,21,15.175739
DJF,22,-9.177793
DJF,23,22.031725
DJF,24,33.08783
DJF,25,5.46345
DJF,26,25.82772
DJF,27,14.849501
DJF,28,13.5324
DJF,29,17.954857
DJF,30,3.485091
DJF,31,-0.08370105
JJA,0,-15.2424965
JJA,1,-1.6292723
JJA,2,-4.188785
JJA,3,-2.9468746
JJA,4,16.412647
JJA,5,7.9745994
JJA,6,7.2790794
JJA,7,13.758594
JJA,8,-0.18611504
JJA,9,4.2705064
JJA,10,-15.512888
JJA,11,-0.38330635
JJA,12,-2.0115924
JJA,13,10.281794
JJA,14,16.910849
JJA,15,19.634054
JJA,16,4.9457345
JJA,17,-21.723825
JJA,18,-8.675004
JJA,19,-8.070481
JJA,20,-3.8771987
JJA,21,0.5806743
JJA,22,-21.731213
JJA,23,-1.2824372
JJA,24,18.11839
JJA,25,13.825896
JJA,26,1.2278703
JJA,27,-7.8468943
JJA,28,-0.7500669
JJA,29,22.86443
JJA,30,-8.353241
JJA,31,-3.9161913
MAM,0,-0.45405808
MAM,1,-1.982527
MAM,2,4.8461957
MAM,3,1.7827696
MAM,4,-2.1208441
MAM,5,13.609293
MAM,6,14.401152
MAM,7,-4.0410857
MAM,8,-2.367219
MAM,9,11.242103
MAM,10,4.993072
MAM,11,20.66229
MAM,12,-0.1148185
MAM,13,7.0335827
MAM,14,3.836043
MAM,15,1.2190164
MAM,16,5.9884367
MAM,17,-5.949755
MAM,18,4.376195
MAM,19,-7.495965
MAM,20,-0.24042585
MAM,21,4.0069633
MAM,22,-4.3936944
MAM,23,22.182503
MAM,24,31.273348
MAM,25,17.344587
MAM,26,-3.188328
MAM,27,7.215234
MAM,28,10.384751
MAM,29,11.243895
MAM,30,-10.697778
MAM,31,15.763179
SON,0,-14.417319
SON,1,1.474914
SON,2,-6.6279593
SON,3,-10.585184
SON,4,-2.1323838
SON,5,7.9886103
SON,6,9.655036
SON,7,1.0841041
SON,8,-27.3112
SON,9,16.223051
SON,10,10.389827
SON,11,9.622092
SON,12,2.1813328
SON,13,-4.580762
SON,14,24.162327
SON,15,7.517156
SON,16,5.52287
SON,17,-14.957777
SON,18,-4.5204396
SON,19,3.6579616
SON,20,-5.588937
SON,21,-6.3320255
SON,22,-0.35715377
SON,23,-1.6299492
SON,24,-1.1563705
SON,25,2.8073862
SON,26,-3.4141545
SON,27,1.0742887
SON,28,4.4117713
SON,29,6.982311
SON,30,1.6653512
SON,31,12.414399
