month,projection,pet_natveg
1,0,4.0745187
1,1,3.8864958
1,2,3.3342855
1,3,3.1008077
1,4,4.0734873
1,5,3.2720568
1,6,4.0343866
1,7,3.6786418
1,8,2.8633902
1,9,3.499603
1,10,3.3723423
1,11,3.3877332
1,12,3.8540206
1,13,4.983843
1,14,2.995791
1,15,3.0802095
1,16,2.7371993
1,17,5.1454096
1,18,4.4587374
1,19,4.6352124
1,20,3.075205
1,21,4.1394544
1,22,3.7304776
1,23,4.124902
1,24,4.5147276
1,25,4.320142
1,26,4.23342
1,27,3.8132963
1,28,2.9006417
1,29,4.002057
1,30,3.516238
1,31,4.2188506
2,0,6.9029565
2,1,6.8502426
2,2,6.2226634
2,3,6.243003
2,4,7.230265
2,5,7.043579
2,6,6.552341
2,7,7.446711
2,8,7.550034
2,9,6.781922
2,10,6.426369
2,11,6.9651475
2,12,6.280106
2,13,7.7703867
2,14,6.4782267
2,15,6.039288
2,16,5.1969995
2,17,8.718255
2,18,6.912583
2,19,8.321639
2,20,6.350143
2,21,7.3076625
2,22,7.459618
2,23,9.51154
2,24,8.959025
2,25,6.745183
2,26,5.137484
2,27,7.544551
2,28,4.6589828
2,29,7.8845096
2,30,7.3734646
2,31,7.3292923
3,0,19.634169
3,1,18.958277
3,2,17.828312
3,3,17.285975
3,4,21.040716
3,5,18.078417
3,6,19.053663
3,7,21.689095
3,8,20.289267
3,9,17.39096
3,10,19.621614
3,11,18.04178
3,12,18.120064
3,13,21.20238
3,14,18.410204
3,15,18.013672
3,16,16.89903
3,17,20.210854
3,18,17.903252
3,19,18.374031
3,20,16.921629
3,21,22.508486
3,22,20.559095
3,23,27.969133
3,24,28.202576
3,25,20.750698
3,26,18.152523
3,27,17.866356
3,28,17.038404
3,29,19.503479
3,30,19.505075
3,31,20.159943
4,0,42.042038
4,1,43.21572
4,2,41.77898
4,3,40.52204
4,4,46.609135
4,5,42.34849
4,6,43.59872
4,7,44.700893
4,8,42.588737
4,9,41.086132
4,10,42.202755
4,11,40.704178
