month,projection,pet_natveg
1,0,4.1968985
1,1,4.109177
1,2,3.9806917
1,3,4.3723817
1,4,4.841119
1,5,4.2068095
1,6,4.3685822
1,7,4.2937293
1,8,3.8474743
1,9,4.185448
1,10,4.045074
1,11,3.8964407
1,12,4.946544
1,13,5.462187
1,14,3.9052591
1,15,4.5833435
1,16,3.4499526
1,17,6.1057496
1,18,5.346544
1,19,4.6987987
1,20,3.9866621
1,21,5.275396
1,22,4.7807536
1,23,4.781299
1,24,5.005293
1,25,5.1481266
1,26,5.085173
1,27,4.360597
1,28,3.6336393
1,29,4.8490243
1,30,4.155003
1,31,4.677365
2,0,5.930049
2,1,5.955025
2,2,6.267487
2,3,6.6841273
2,4,6.944904
2,5,7.753903
2,6,6.8526974
2,7,6.8331857
2,8,6.6444187
2,9,6.9071584
2,10,6.254073
2,11,6.8021626
2,12,6.7527485
2,13,7.5777593
2,14,5.9819055
2,15,6.979016
2,16,5.358179
2,17,8.936781
2,18,6.9991517
2,19,7.991054
2,20,5.860471
2,21,7.5955105
2,22,7.5097404
2,23,8.508875
2,24,8.686766
2,25,7.3349133
2,26,5.4333124
2,27,6.7892346
2,28,5.091656
2,29,7.361229
2,30,6.453527
2,31,6.177552
3,0,18.350666
3,1,17.314901
3,2,18.735466
3,3,19.331234
3,4,23.705973
3,5,19.158045
3,6,19.42908
3,7,20.960062
3,8,19.60102
3,9,17.89989
3,10,19.146555
3,11,18.723946
3,12,20.522299
3,13,22.448477
3,14,19.65774
3,15,19.442558
3,16,16.468504
3,17,20.38717
3,18,16.48783
3,19,17.38193
3,20,15.780552
3,21,24.794102
3,22,21.445993
3,23,27.881916
3,24,28.249966
3,25,23.74168
3,26,16.856983
3,27,17.534283
3,28,18.029686
3,29,18.820984
3,30,19.273205
3,31,20.894064
4,0,49.890465
4,1,48.96212
4,2,47.987953
4,3,46.97568
4,4,55.80327
4,5,47.92216
4,6,48.560863
4,7,50.329857
4,8,48.709526
4,9,48.500114
4,10,49.455147
4,11,46.826534
4,12,53.02523
4,13,53.045517
4,14,50.9654
4,15,48.947372
4,16,46.253445
4,17,53.312252
4,18,47.027607
4,19,51.814754
4,20,40.67822
4,21,48.927498
4,22,47.34657
4,23,47.854
4,24,47.22347
4,25,58.178577
4,26,44.232166
4,27,49.39169
4,28,44.989002
4,29,51.334827
4,30,49.81476
4,31,51.161602
5,0,95.23705
5,1,92.545425
5,2,86.899994
5,3,93.11785
5,4,97.526825
5,5,89.15789
5,6,85.68845
5,7,88.89159
5,8,93.18499
5,9,80.897865
5,10,89.2323
5,11,88.50537
5,12,93.098625
5,13,100.32422
5,14,87.28716
5,15,95.2456
5,16,87.864876
5,17,98.73319
5,18,89.98169
5,19,93.051674
5,20,85.59074
5,21,92.34483
5,22,93.565254
5,23,89.27036
5,24,88.10383
5,25,95.4652
5,26,85.416595
5,27,86.62733
5,28,82.99526
5,29,90.728584
5,30,96.9314
5,31,99.60986
6,0,125.98968
6,1,118.97599
6,2,122.22401
6,3,116.83371
6,4,117.44191
6,5,115.47119
6,6,115.83921
6,7,116.93363
6,8,122.51219
6,9,115.16472
6,10,130.17294
6,11,112.94241
6,12,120.74303
6,13,122.65321
6,14,122.56046
6,15,114.4734
6,16,117.02479
6,17,125.081566
6,18,115.5471
6,19,127.32609
6,20,112.21644
6,21,125.31981
6,22,126.46708
6,23,111.434616
6,24,113.07419
6,25,118.12701
6,26,117.28787
6,27,118.34528
6,28,111.24224
6,29,111.93053
6,30,123.7931
6,31,119.42158
7,0,138.798
7,1,130.20683
7,2,131.53563
7,3,132.5463
7,4,121.34856
7,5,127.96201
7,6,125.457466
7,7,123.324585
7,8,131.61575
7,9,123.11659
7,10,131.0495
7,11,126.67619
7,12,131.46564
7,13,131.01921
7,14,124.966545
7,15,121.38974
7,16,122.98124
7,17,137.58572
7,18,127.68139
7,19,132.82639
7,20,122.61703
7,21,131.68
7,22,131.94032
7,23,126.44384
7,24,121.23612
7,25,124.52416
7,26,127.13964
7,27,126.78445
7,28,123.28011
7,29,122.613304
