month,projection,0
1,0,-11.838404
1,1,-5.687661
1,2,-9.740314
1,3,-9.854885
1,4,-5.2404175
1,5,-0.71861506
1,6,-1.9460127
1,7,-3.0258439
1,8,-3.6364112
1,9,3.3405316
1,10,-8.006335
1,11,-3.7692163
1,12,-3.611348
1,13,-6.840021
1,14,-7.8550816
1,15,-1.6133888
1,16,-2.942477
1,17,-10.745842
1,18,-2.5271626
1,19,-6.387078
1,20,-7.7634187
1,21,-5.245818
1,22,-1.4435467
1,23,-2.234071
1,24,-0.5927917
1,25,3.4288063
1,26,1.0668708
1,27,-5.9696035
1,28,-4.412431
1,29,2.2686327
1,30,-7.332985
1,31,1.155248
2,0,-11.086039
2,1,-5.2868285
2,2,-9.285111
2,3,-9.314864
2,4,-4.7743225
2,5,-0.40367463
2,6,-1.532008
2,7,-2.681105
2,8,-3.2563162
2,9,3.496831
2,10,-7.371369
2,11,-2.8059676
2,12,-2.7015193
2,13,-6.147958
2,14,-7.09248
2,15,-1.1069468
2,16,-2.6652913
2,17,-9.799456
2,18,-1.4192832
2,19,-5.8793573
2,20,-7.361591
2,21,-4.7382984
2,22,-0.96966463
2,23,-1.6582949
2,24,0.0130851725
2,25,3.898896
2,26,1.6123295
2,27,-5.4352455
2,28,-4.309408
2,29,2.3022823
2,30,-6.9522514
2,31,1.5775379
3,0,-9.848007
3,1,-4.8911476
3,2,-8.882157
3,3,-8.542304
3,4,-2.7310114
3,5,0.48965722
3,6,0.62815136
3,7,-1.9305358
3,8,-2.3780434
3,9,3.1453733
3,10,-6.5906568
3,11,-2.407593
3,12,-0.8610013
3,13,-4.4707837
3,14,-6.084552
3,15,-1.13688
3,16,-2.696891
3,17,-8.387999
3,18,-0.47390056
3,19,-4.2665186
3,20,-6.483796
3,21,-4.1197214
3,22,-0.54949385
3,23,0.20862858
3,24,3.438323
3,25,5.4132347
3,26,2.7338781
3,27,-3.8902473
3,28,-3.2566977
3,29,2.9814231
3,30,-6.388893
3,31,2.1414895
4,0,-8.568592
4,1,-4.517864
4,2,-7.9848194
4,3,-6.2370834
4,4,1.0011271
4,5,0.36877733
4,6,3.2264102
4,7,-3.8422334
4,8,-0.38435844
4,9,3.1330507
4,10,-4.7642803
4,11,-1.1027172
4,12,0.8553634
4,13,-2.2076416
4,14,-3.9649882
4,15,-0.74010015
4,16,-1.7915596
4,17,-6.9299393
4,18,0.58998275
4,19,-4.323083
4,20,-4.4897175
4,21,-2.8902848
4,22,1.4755149
4,23,4.702662
4,24,11.809691
4,25,9.273588
4,26,3.9379754
4,27,-1.8067973
4,28,-1.6962197
4,29,3.6349268
4,30,-5.1210685
4,31,3.9971244
5,0,-7.971395
5,1,-6.028595
5,2,-5.0363574
5,3,-6.89888
5,4,-2.5877285
5,5,4.6223903
5,6,3.2331684
5,7,-5.756078
5,8,-2.6660984
5,9,3.3020504
5,10,-4.931546
5,11,-0.15247813
5,12,-0.88053596
5,13,-0.9508981
5,14,-3.4161735
5,15,-1.9757658
5,16,-0.69599867
5,17,-6.595129
5,18,1.8736601
5,19,-4.5649514
5,20,-4.5559754
5,21,-1.531379
5,22,-0.7968216
5,23,4.425601
5,24,12.033522
5,25,7.888481
5,26,2.4122796
5,27,-0.67632496
5,28,-2.2152019
5,29,3.8539217
5,30,-7.7746925
5,31,3.38584
6,0,-13.667382
6,1,-11.040053
6,2,-9.71899
6,3,-10.400996
6,4,-9.362777
6,5,1.5732583
6,6,0.32511252
6,7,-6.9475346
6,8,-10.173752
6,9,1.0769764
6,10,-13.052501
